area_code,year,agriculture_support_level
IT,2002,306414.7
IT,2003,328357.4272727273
IT,2004,303225.5181818182
IT,2005,289963.9818181818
IT,2006,286379.0727272727
IT,2007,292128.8909090909
IT,2008,288934.16363636364
IT,2009,280462.8909090909
IT,2010,11498.511111111111
IT,2011,256520.66153846154
IT,2012,258089.96923076923
IT,2013,251744.97692307693
IT,2014,274514.8846153846
IT,2015,251219.58461538464
IT,2016,231146.73076923078
IT,2017,234240.73846153848
ITC1,2002,22545.172727272726
ITC1,2003,21819.872727272726
ITC1,2004,22341.154545454545
ITC1,2005,22476.20909090909
ITC1,2006,21073.78181818182
ITC1,2007,23636.47272727273
ITC1,2008,22720.10909090909
ITC1,2009,24146.763636363637
ITC1,2011,20286.9
ITC1,2012,22339.1
ITC1,2013,22690.96153846154
ITC1,2014,22848.507692307692
ITC1,2015,21388.146153846155
ITC2,2002,2961.2363636363634
ITC2,2003,3150.0727272727277
ITC2,2004,2996.681818181818
ITC2,2005,2609.427272727273
ITC2,2006,3584.5454545454545
ITC2,2007,6120.554545454546
ITC2,2008,3911.2
ITC2,2009,4810.418181818181
ITC2,2011,3605.861538461538
ITC2,2012,4328.3
ITC2,2013,5481.7692307692305
ITC2,2014,5160.846153846154
ITC2,2015,5262.3153846153855
ITC3,2002,6595.045454545455
ITC3,2003,7490.518181818182
ITC3,2004,6831.463636363637
ITC3,2005,6492.827272727273
ITC3,2006,6963.572727272727
ITC3,2007,6839.181818181818
ITC3,2008,7397.009090909091
ITC3,2009,7285.372727272727
ITC3,2011,6073.861538461539
ITC3,2012,7650.261538461538
ITC3,2013,7864.984615384616
ITC3,2014,9132.907692307692
ITC3,2015,11694.661538461536
ITC4,2002,28473.890909090907
ITC4,2003,30423.045454545456
ITC4,2004,32068.29090909091
ITC4,2005,30589.190909090907
ITC4,2006,31218.227272727272
ITC4,2007,26865.727272727272
ITC4,2008,30222.781818181815
ITC4,2009,26237.61818181818
ITC4,2011,27278.661538461536
ITC4,2012,28675.73076923077
ITC4,2013,28928.96153846154
ITC4,2014,28520.46153846154
ITC4,2015,29244.69230769231
ITCD,2002,97257.60909090909
ITCD,2003,98364.03636363636
ITCD,2004,95954.05454545455
ITCD,2005,93692.11818181818
ITCD,2006,92933.76363636364
ITCD,2007,92436.71818181819
ITCD,2008,95575.77272727272
ITCD,2009,92125.0
ITCD,2011,81211.76923076923
ITCD,2012,85581.28461538462
ITCD,2013,84443.66153846154
ITCD,2014,92693.96153846153
ITCD,2015,82223.42307692308
ITCD,2016,78671.78461538462
ITCD,2017,79563.28461538462
ITD10,2002,8281.127272727274
ITD10,2003,9457.045454545454
ITD10,2004,9895.363636363636
ITD10,2005,10505.936363636363
ITD10,2006,12265.19090909091
ITD10,2007,13818.563636363635
ITD10,2008,16299.618181818183
ITD10,2009,14552.745454545455
ITD10,2011,11602.561538461538
ITD10,2012,13402.346153846154
ITD10,2013,14938.638461538463
ITD10,2014,14416.638461538461
