area_code,year,housing_urban_development_support
1,2008,221.25
1,2017,182.35
1,2018,191.2
1,2019,193.1
1,2020,180.4
1,2025,230.6
2,2004,187.85
2,2005,200.4
2,2006,199.4
2,2007,208.55
2,2008,188.4
2,2009,200.45
2,2010,204.35
2,2011,209.2
2,2012,205.1
2,2013,217.75
2,2014,208.4
2,2015,212.55
2,2016,204.7
2,2017,182.35
2,2018,191.2
2,2019,193.1
2,2020,180.4
2,2021,195.95
2,2022,199.5
2,2023,206.0
2,2024,200.45
2,2025,184.85
3,2004,164.6
3,2005,168.1
3,2006,170.35
3,2007,176.95
3,2008,139.7
3,2009,189.7
3,2010,187.5
3,2011,182.65
3,2012,179.6
3,2013,185.65
3,2014,179.8
3,2015,176.65
3,2016,172.5
3,2017,168.75
3,2018,173.3
3,2019,173.25
3,2020,158.45
3,2021,170.8
3,2022,173.95
3,2023,176.2
3,2024,172.3
3,2025,156.25
4,2008,164.65
4,2017,134.25
4,2018,136.65
4,2019,146.85
4,2020,146.65
4,2025,162.8
5,2008,171.15
5,2017,147.15
5,2018,146.5
5,2019,154.3
5,2020,150.45
5,2025,168.8
6,2004,126.0
6,2005,133.4
6,2006,134.85
6,2007,134.6
6,2008,188.75
6,2009,132.85
6,2010,137.0
6,2011,132.65
6,2012,126.95
6,2013,125.0
6,2014,126.15
6,2015,126.2
6,2016,138.75
6,2017,121.35
6,2018,124.75
6,2019,134.5
6,2020,129.9
6,2021,132.4
6,2022,136.3
6,2023,134.3
6,2024,130.65
6,2025,192.65
7,2004,138.2
7,2005,147.95
7,2006,148.4
7,2007,158.55
7,2008,164.1
7,2009,162.95
7,2010,154.05
7,2011,153.05
7,2012,144.25
7,2013,145.5
7,2014,144.95
7,2015,141.75
7,2016,148.95
7,2017,134.25
7,2018,136.65
7,2019,146.85
7,2020,146.65
7,2021,151.4
7,2022,155.35
7,2023,157.0
7,2024,145.65
8,2004,142.25
8,2005,154.6
8,2006,157.05
8,2007,162.0
8,2008,170.65
8,2009,162.85
8,2010,155.0
8,2011,155.7
8,2012,155.15
8,2013,156.75
8,2014,157.25
8,2015,152.05
8,2016,157.7
8,2017,147.15
8,2018,146.5
8,2019,154.3
8,2020,150.45
8,2021,157.7
8,2022,159.75
8,2023,165.1
8,2024,157.65
9,2004,159.55
9,2005,170.25
9,2006,172.9
9,2007,178.35
9,2008,188.75
9,2009,177.75
9,2010,170.9
9,2011,175.05
9,2012,172.9
9,2013,175.85
9,2014,174.75
9,2015,167.05
9,2016,172.95
9,2017,160.9
9,2018,159.1
9,2019,168.6
9,2020,167.25
9,2021,173.7
9,2022,181.25
9,2023,182.45
9,2024,169.3
IT,2004,153.05
IT,2005,163.25
IT,2006,164.75
IT,2007,171.3
IT,2008,180.5
IT,2009,172.65
IT,2010,167.85
IT,2011,168.45
IT,2012,164.25
IT,2013,168.6
IT,2014,166.5
IT,2015,163.4
IT,2016,166.4
IT,2017,153.8
IT,2018,156.25
IT,2019,162.45
IT,2020,157.5
IT,2021,165.85
IT,2022,169.3
IT,2023,172.55
IT,2024,164.1
IT,2025,181.35
ITC,2004,178.6
ITC,2005,183.45
ITC,2006,189.25
ITC,2007,197.85
ITC,2008,205.55
ITC,2009,200.15
ITC,2010,193.75
ITC,2011,192.7
ITC,2012,187.0
ITC,2013,195.35
ITC,2014,193.95
ITC,2015,190.7
ITC,2016,188.15
ITC,2017,170.45
ITC,2018,175.95
ITC,2019,184.15
ITC,2020,178.75
ITC,2021,190.65
ITC,2022,197.1
ITC,2023,199.4
ITC,2024,192.35
ITC,2025,210.15
ITC1,2004,175.25
ITC1,2005,180.6
ITC1,2006,187.55
ITC1,2007,193.05
ITC1,2008,200.1
ITC1,2009,188.55
ITC1,2010,186.25
ITC1,2011,179.95
ITC1,2012,182.55
ITC1,2013,187.85
ITC1,2014,184.2
ITC1,2015,180.9
ITC1,2016,181.95
ITC1,2017,161.15
ITC1,2018,164.65
ITC1,2019,179.8
ITC1,2020,178.55
ITC1,2021,184.25
ITC1,2022,185.8
ITC1,2023,191.15
ITC1,2024,191.7
ITC1,2025,197.15
ITC2,2004,150.75
ITC2,2005,168.5
ITC2,2006,171.4
ITC2,2007,183.05
ITC2,2008,181.9
ITC2,2009,177.55
ITC2,2010,184.45
ITC2,2011,182.0
ITC2,2012,183.6
ITC2,2013,186.4
ITC2,2014,186.25
ITC2,2015,178.3
ITC2,2016,163.05
ITC2,2017,147.1
ITC2,2018,132.45
ITC2,2019,162.9
ITC2,2020,153.1
ITC2,2021,162.6
ITC2,2022,171.15
ITC2,2023,173.65
ITC2,2024,175.4
ITC2,2025,173.95
ITC3,2004,160.45
ITC3,2005,161.7
ITC3,2006,171.7
ITC3,2007,180.95
ITC3,2008,188.95
ITC3,2009,183.8
ITC3,2010,176.55
ITC3,2011,176.35
ITC3,2012,177.4
ITC3,2013,182.1
ITC3,2014,186.6
ITC3,2015,177.1
ITC3,2016,185.05
ITC3,2017,172.95
ITC3,2018,173.85
ITC3,2019,172.9
ITC3,2020,165.35
ITC3,2021,177.95
ITC3,2022,174.9
ITC3,2023,194.0
ITC3,2024,177.0
ITC3,2025,196.0
ITC4,2004,184.5
ITC4,2005,189.35
ITC4,2006,194.05
ITC4,2007,203.65
ITC4,2008,211.95
ITC4,2009,209.2
ITC4,2010,200.25
ITC4,2011,202.25
ITC4,2012,190.4
ITC4,2013,200.85
ITC4,2014,200.25
ITC4,2015,198.1
ITC4,2016,192.0
ITC4,2017,174.75
ITC4,2018,182.35
ITC4,2019,188.6
ITC4,2020,181.6
ITC4,2021,196.05
ITC4,2022,205.95
ITC4,2023,204.75
ITC4,2024,195.2
ITC4,2025,218.6
ITD,2004,165.5
ITD,2005,177.3
ITD,2006,180.85
ITD,2007,191.95
ITD,2008,201.7
ITD,2009,193.25
ITD,2010,184.45
ITD,2011,183.85
ITD,2012,181.35
ITD,2013,184.05
ITD,2014,179.85
ITD,2015,175.7
ITD,2016,176.55
ITD,2017,162.95
ITD,2018,167.0
ITD,2019,172.2
ITD,2020,170.85
ITD,2021,175.1
ITD,2022,177.9
ITD,2023,190.4
ITD,2024,173.35
ITD,2025,195.65
ITD1,2004,165.0
ITD1,2005,181.5
ITD1,2006,183.6
ITD1,2007,203.0
ITD1,2008,211.4
ITD1,2009,208.15
ITD1,2010,186.45
ITD1,2011,202.85
ITD1,2012,184.15
ITD1,2013,183.75
ITD1,2014,177.8
ITD1,2015,183.7
ITD1,2016,214.75
ITD1,2017,191.7
ITD1,2018,202.75
ITD1,2019,218.8
ITD1,2020,197.4
ITD1,2021,210.7
ITD1,2022,220.8
ITD1,2023,208.8
ITD1,2024,184.4
ITD1,2025,250.35
ITD2,2004,145.35
ITD2,2005,154.35
ITD2,2006,171.35
ITD2,2007,166.7
ITD2,2008,189.65
ITD2,2009,173.75
ITD2,2010,169.3
ITD2,2011,165.55
ITD2,2012,174.35
ITD2,2013,183.8
ITD2,2014,180.5
ITD2,2015,167.0
ITD2,2016,176.25
ITD2,2017,152.1
ITD2,2018,138.15
ITD2,2019,160.25
ITD2,2020,163.4
ITD2,2021,177.25
ITD2,2022,184.6
ITD2,2023,197.95
ITD2,2024,150.2
ITD2,2025,179.65
ITD3,2004,167.3
ITD3,2005,178.05
ITD3,2006,177.95
ITD3,2007,188.0
ITD3,2008,199.35
ITD3,2009,188.8
ITD3,2010,179.1
ITD3,2011,174.75
ITD3,2012,172.1
ITD3,2013,173.25
ITD3,2014,172.85
ITD3,2015,167.65
ITD3,2016,169.45
ITD3,2017,154.75
ITD3,2018,159.2
ITD3,2019,165.4
ITD3,2020,168.35
ITD3,2021,173.7
ITD3,2022,174.95
