area_code,year,property_wealth_tax_rate
ITA,2001,3.95739493367495
ITA,2002,4.80372598893418
ITA,2003,7.12563464215004
ITA,2004,5.59965660323365
ITA,2005,4.43148644428195
ITA,2006,4.69227639307661
ITA,2007,4.53445560117532
ITA,2008,4.37003468636218
ITA,2009,6.23578595852619
ITA,2010,4.814690812847
ITA,2011,5.31555636271408
ITA,2012,5.39837049414037
ITA,2013,5.20218792435232
ITA,2014,4.85278552652958
ITA,2015,4.6042776298269
ITA,2016,5.48620727154094
ITA,2017,4.88840185049191
ITA,2018,4.76737863202351
ITA,2019,4.50493469072573
ITA,2020,4.56257854574825
ITA,2021,4.64196489192699
ITA,2022,4.70395472176436
ITA,2023,4.22012606216264
ITA,2024,4.23497935077046
