area_code,year,social_welfare_spending_allocation
IT,2020,1674478.6518804242
IT,2021,1827601.5992292871
IT,2022,1939312.3686236767
ITC,2020,321028.625
ITC,2021,219875.5125
ITC,2022,377195.8125
ITC1,2020,3162.778846153846
ITC1,2021,0.0
ITC1,2022,0.0
ITC2,2020,99277.96442307692
ITC2,2021,93536.70865384616
ITC2,2022,156784.94423076924
ITC3,2020,169969.65062560153
ITC3,2021,108896.2201923077
ITC3,2022,157078.45673076922
ITC4,2020,48786.55865384615
ITC4,2021,17444.309615384616
ITC4,2022,63336.17788461538
ITCD,2020,856493.4259615385
ITCD,2021,701491.7903846154
ITCD,2022,845751.9086538461
ITCDE,2020,1094433.2240384615
ITCDE,2021,786312.3923076923
ITCDE,2022,924471.8076923077
ITD,2020,535464.8509615385
ITD,2021,481616.3105769231
ITD,2022,468556.1461538462
ITD1,2020,0.0
ITD1,2021,0.0
ITD1,2022,0.0
ITD2,2020,375803.7942307692
ITD2,2021,345332.7913461538
ITD2,2022,345883.4355769231
ITD3,2020,159661.71826923077
ITD3,2021,134755.22307692308
ITD3,2022,122673.16634615384
ITD4,2020,0.0
ITD4,2021,0.0
ITD4,2022,0.0
ITD5,2020,0.0
ITD5,2021,1528.746153846154
ITD5,2022,0.0
ITDA,2020,375803.44903846155
ITDA,2021,345332.5548076923
ITDA,2022,345883.19423076924
ITE,2020,237939.8375
ITE,2021,84820.62788461539
ITE,2022,78719.94230769231
ITE1,2020,25652.02403846154
ITE1,2021,19274.364423076924
ITE1,2022,19732.794230769232
ITE2,2020,0.0
ITE2,2021,0.0
ITE2,2022,0.0
ITE3,2020,0.0
ITE3,2021,0.0
ITE3,2022,0.0
ITE4,2020,212287.85865384617
ITE4,2021,65546.3
ITE4,2022,58987.19711538462
ITF,2020,420583.4739884393
ITF,2021,793479.2425409047
ITF,2022,742644.4028846154
ITF1,2020,0.0
ITF1,2021,0.0
ITF1,2022,0.0
ITF2,2020,7688.975
ITF2,2021,0.0
ITF2,2022,0.0
ITF3,2020,353714.5230769231
ITF3,2021,20306.242307692308
ITF3,2022,27048.139423076922
ITF4,2020,44133.18479307026
ITF4,2021,704845.656400385
ITF4,2022,630489.2059672762
ITF5,2020,13478.25
ITF5,2021,0.0
ITF5,2022,0.0
ITF6,2020,803.1039461020212
ITF6,2021,68242.70673076923
ITF6,2022,85713.87596153846
ITFG,2020,577994.0792270531
ITFG,2021,1039774.316955684
ITFG,2022,1013950.9778633302
ITG,2020,155890.3674059788
ITG,2021,245294.55534167468
ITG,2022,270852.74470134877
ITG1,2020,120178.0231436837
ITG1,2021,202910.76900866217
ITG1,2022,231173.0789980732
ITG2,2020,35609.41923076923
ITG2,2021,42343.172115384616
ITG2,2022,39603.53076923077
