area_code,year,tourism_support_level
IT,2001,8001787.055555556
IT,2002,7912543.740740741
IT,2003,7909962.388888889
IT,2004,7992088.796296297
IT,2005,8214698.814814814
IT,2006,8514984.75925926
IT,2007,8755404.333333334
IT,2008,16041463.17948718
IT,2009,15940587.282051282
IT,2010,16217312.64957265
IT,2011,16773285.504273504
IT,2012,16562209.914529914
IT,2013,16432415.213675214
IT,2014,16558056.683760684
IT,2015,17308246.393162392
IT,2016,17774576.273504272
IT,2017,18592297.811965812
IT,2018,19040884.410256412
IT,2019,19422937.572649572
IT,2020,9030742.666666666
IT,2021,12576037.914529914
IT,2022,18137544.102564104
IT,2023,19856641.2991453
IT,2024,20711315.829059828
IT,2025,17089569.5
IT108,2010,41852.40740740741
IT108,2011,46258.444444444445
IT108,2012,48826.22222222222
IT108,2013,42321.88888888889
IT108,2014,46897.2962962963
IT108,2015,57659.59259259259
IT108,2016,46914.905982905984
IT108,2017,52764.068376068375
IT108,2018,51211.86324786325
IT108,2019,58007.45299145299
IT108,2020,24806.017094017094
IT108,2021,43068.88888888889
IT108,2022,63862.94017094017
IT108,2023,57173.50427350427
IT108,2024,53799.89743589744
IT109,2010,72212.55555555556
IT109,2011,70405.22222222222
IT109,2012,68967.5925925926
IT109,2013,69657.25925925926
IT109,2014,71311.4074074074
IT109,2015,79036.4074074074
IT109,2016,76271.7264957265
IT109,2017,57973.470085470086
IT109,2018,44893.26495726496
IT109,2019,50541.05982905983
IT109,2020,36722.11965811966
IT109,2021,53367.11111111111
IT109,2022,60692.23931623931
IT109,2023,63058.70085470085
IT109,2024,58412.88888888889
IT110,2010,15025.962962962964
IT110,2011,15883.555555555555
IT110,2012,15051.111111111111
IT110,2013,15249.888888888889
IT110,2014,15499.518518518518
IT110,2015,16193.555555555555
IT110,2016,16278.564102564103
IT110,2017,16513.91452991453
IT110,2018,18363.17948717949
IT110,2019,19183.69230769231
IT110,2020,11438.97435897436
IT110,2021,15969.91452991453
IT110,2022,19250.700854700855
IT110,2023,19979.17948717949
IT110,2024,21441.606837606836
IT111,2017,94012.03418803419
IT111,2018,94984.92307692308
IT111,2019,96488.8547008547
IT111,2020,46779.24137931035
IT111,2021,73142.22222222222
IT111,2022,94561.9829059829
IT111,2023,88186.2905982906
IT111,2024,100663.82905982906
ITC1,2008,556805.5555555555
ITC1,2009,572624.5555555555
ITC1,2010,609353.074074074
ITC1,2011,633065.5185185185
ITC1,2012,618221.5185185185
ITC1,2013,628463.4814814815
ITC1,2014,648279.9629629629
