area_code,year,vat_consumption_tax_rate
ITA,2001,23.5179139633869
ITA,2002,23.7487418332624
ITA,2003,22.8904396918433
ITA,2004,23.4152716173034
ITA,2005,23.7672497143359
ITA,2006,23.7272515449648
ITA,2007,22.8084307056134
ITA,2008,21.7585490788879
ITA,2009,21.5039455460271
ITA,2010,23.0630084558176
ITA,2011,23.6593297000762
ITA,2012,23.7714706175413
ITA,2013,23.6920994838047
ITA,2014,24.6833472785557
ITA,2015,24.2970681947879
ITA,2016,24.4947257766339
ITA,2017,24.6377453487674
ITA,2018,24.6381711477941
ITA,2019,24.574814386322
ITA,2020,23.0044641685595
ITA,2021,23.8894418699696
ITA,2022,23.542496247694
ITA,2023,23.3228858950344
ITA,2024,23.6637950175407
