DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT,JAN,1,TOTAL,1,2019,13605095,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT,JAN,1,TOTAL,1,2020,13630443,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT,JAN,1,TOTAL,1,2021,13628057,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT,JAN,1,TOTAL,1,2022,13683804,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT,JAN,1,TOTAL,1,2023,13808498,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT,JAN,1,TOTAL,1,2024,13908056,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT,JAN,1,TOTAL,1,2025,14005993,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT108,JAN,1,TOTAL,1,2019,197700,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT108,JAN,1,TOTAL,1,2020,199701,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT108,JAN,1,TOTAL,1,2021,201810,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT108,JAN,1,TOTAL,1,2022,202962,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT108,JAN,1,TOTAL,1,2023,206082,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT108,JAN,1,TOTAL,1,2024,208097,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT108,JAN,1,TOTAL,1,2025,210174,,,FILTER__ITC4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT109,JAN,1,TOTAL,1,2019,38387,,,FILTER__ITE3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT109,JAN,1,TOTAL,1,2020,38437,,,FILTER__ITE3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT109,JAN,1,TOTAL,1,2021,38317,,,FILTER__ITE3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT109,JAN,1,TOTAL,1,2022,38405,,,FILTER__ITE3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT109,JAN,1,TOTAL,1,2023,38769,,,FILTER__ITE3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT109,JAN,1,TOTAL,1,2024,38977,,,FILTER__ITE3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT109,JAN,1,TOTAL,1,2025,39258,,,FILTER__ITE3,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT110,JAN,1,TOTAL,1,2019,85452,,,FILTER__ITF4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT110,JAN,1,TOTAL,1,2020,84856,,,FILTER__ITF4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT110,JAN,1,TOTAL,1,2021,83975,,,FILTER__ITF4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT110,JAN,1,TOTAL,1,2022,84033,,,FILTER__ITF4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT110,JAN,1,TOTAL,1,2023,83821,,,FILTER__ITF4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT110,JAN,1,TOTAL,1,2024,83461,,,FILTER__ITF4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT110,JAN,1,TOTAL,1,2025,83513,,,FILTER__ITF4,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT111,JAN,1,TOTAL,1,2019,82940,,,FILTER__ITG2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT111,JAN,1,TOTAL,1,2020,81973,,,FILTER__ITG2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT111,JAN,1,TOTAL,1,2021,79769,,,FILTER__ITG2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT111,JAN,1,TOTAL,1,2022,80584,,,FILTER__ITG2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT111,JAN,1,TOTAL,1,2023,80290,,,FILTER__ITG2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT111,JAN,1,TOTAL,1,2024,80285,,,FILTER__ITG2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,IT111,JAN,1,TOTAL,1,2025,80223,,,FILTER__ITG2,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC,JAN,1,TOTAL,1,2019,3643216,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC,JAN,1,TOTAL,1,2020,3668789,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC,JAN,1,TOTAL,1,2021,3691360,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC,JAN,1,TOTAL,1,2022,3704343,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC,JAN,1,TOTAL,1,2023,3756385,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC,JAN,1,TOTAL,1,2024,3801967,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC,JAN,1,TOTAL,1,2025,3837399,,,,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC1,JAN,1,TOTAL,1,2019,956198,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_1(1.0),A,ITC1,JAN,1,TOTAL,1,2020,959256,,,FILTER__ITC1,,,,,,,
