DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,CITIZENSHIP_MOTHER,MOTHER_AGE,FATHERS_AGE,YEAR_BIRTH_MOTHER,MARITAL_STATUS_MOTHER,MARITAL_STATUS_FATHER,PARENTS_CITIZENSHIP,GEOG_AREA_BIRTH,CITIZEN_FOREIN_OFBIRTH,LIVE_BIRTHS_WITHIN_MARRIGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_CITIZENSHIP_MOTHER,NOTE_MOTHER_AGE,NOTE_FATHERS_AGE,NOTE_YEAR_BIRTH_MOTHER,NOTE_MARITAL_STATUS_MOTHER,NOTE_MARITAL_STATUS_FATHER,NOTE_PARENTS_CITIZENSHIP,NOTE_GEOG_AREA_BIRTH,NOTE_CITIZEN_FOREIN_OFBIRTH,NOTE_LIVE_BIRTHS_WITHIN_MARRIGE,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2001,535282,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2002,538198,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2003,544063,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2004,562599,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2005,554022,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2006,560010,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2007,563933,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2008,576659,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2009,568857,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2010,561944,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2011,546585,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2012,534186,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2013,514308,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2014,502596,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2015,485780,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2016,473438,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2017,458151,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2018,439747,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2019,420084,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2020,404892,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2021,400249,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2022,393333,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2023,379890,,,,,,,,,,,,,,,,,
IT1:25_74(1.0),A,IT,LBIRTH,TOTAL,TOTAL,TOTAL,ALL,99,99,ALL,ALL,WORLD,ALL,2024,369944,,,,,,,,,,,,,,,,,
