DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,CITIZENSHIP,COUNTRY_BIRTH,EDU_LEV_HIGHEST,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,NOTE_CITIZENSHIP,NOTE_COUNTRY_BIRTH,NOTE_EDU_LEV_HIGHEST,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2011,9.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2012,10.1,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2013,9.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2014,9.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2015,10.5,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2016,10.1,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2017,10.6,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2018,10.4,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2019,10.4,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2020,12.4,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2021,11.8,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2022,11.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2023,11.2,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,1,TOTAL,99,TOTAL,X1033,99,2024,10.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,2,TOTAL,99,TOTAL,X1033,99,2011,9.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,2,TOTAL,99,TOTAL,X1033,99,2012,10.2,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,2,TOTAL,99,TOTAL,X1033,99,2013,10,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,2,TOTAL,99,TOTAL,X1033,99,2014,9.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,2,TOTAL,99,TOTAL,X1033,99,2015,10.9,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,2,TOTAL,99,TOTAL,X1033,99,2016,10.3,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,2,TOTAL,99,TOTAL,X1033,99,2017,11,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,2,TOTAL,99,TOTAL,X1033,99,2018,10.8,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,2,TOTAL,99,TOTAL,X1033,99,2019,10.8,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,2,TOTAL,99,TOTAL,X1033,99,2020,12.5,,,,,,,,,,,,,
IT1:26_29_DF_DCIS_DECESSI_1(1.0),A,IT,DEATHRATE,2,TOTAL,99,TOTAL,X1033,99,2021,11.9,,,,,,,,,,,,,
