DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,IMPUTED_RENTS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_IMPUTED_RENTS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2003,0.31,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2004,0.306,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2005,0.303,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2006,0.294,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2007,0.288,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2008,0.294,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2009,0.293,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2010,0.298,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2011,0.298,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2012,0.301,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2013,0.296,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2014,0.295,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2015,0.303,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2016,0.303,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2017,0.307,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2018,0.303,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2019,0.3,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2020,0.305,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2021,0.301,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2022,0.296,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2023,0.301,,,,,MISURA1__16_N1,,,,,
IT1:32_221_DF_DCCV_GINIREDD_1(1.0),A,IT,DISUG_REDDNET_GINI,16,1,2024,0.288,,,,,MISURA1__16_N1,,,,,
