DATAFLOW,FREQ,REF_AREA,DATA_TYPE,POVERTY_LINES,NUMBER_HOUSEHOLD_COMP,HOUSEHOLD_TYPOLOGY,AGE_REFERENCE_PERSON,EDU_LEV_REFPERS,LABPROF_STATUS_B_REF,SEX,AGE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_POVERTY_LINES,NOTE_NUMBER_HOUSEHOLD_COMP,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_AGE_REFERENCE_PERSON,NOTE_EDU_LEV_REFPERS,NOTE_LABPROF_STATUS_B_REF,NOTE_SEX,NOTE_AGE,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:34_727_DF_DCCV_POVERTA_1(1.0),A,IT,INCID_POVREL_FAM,ALL,TOT,HH,TOTAL,99,ALL,9,TOTAL,2014,10.2,,,,,,,,,,,,,,,,
IT1:34_727_DF_DCCV_POVERTA_1(1.0),A,IT,INCID_POVREL_FAM,ALL,TOT,HH,TOTAL,99,ALL,9,TOTAL,2015,10.2,,,,,,,,,,,,,,,,
IT1:34_727_DF_DCCV_POVERTA_1(1.0),A,IT,INCID_POVREL_FAM,ALL,TOT,HH,TOTAL,99,ALL,9,TOTAL,2016,10.4,,,,,,,,,,,,,,,,
IT1:34_727_DF_DCCV_POVERTA_1(1.0),A,IT,INCID_POVREL_FAM,ALL,TOT,HH,TOTAL,99,ALL,9,TOTAL,2017,12,,,,,,,,,,,,,,,,
IT1:34_727_DF_DCCV_POVERTA_1(1.0),A,IT,INCID_POVREL_FAM,ALL,TOT,HH,TOTAL,99,ALL,9,TOTAL,2018,11.5,,,,,,,,,,,,,,,,
IT1:34_727_DF_DCCV_POVERTA_1(1.0),A,IT,INCID_POVREL_FAM,ALL,TOT,HH,TOTAL,99,ALL,9,TOTAL,2019,11.2,,,,,,,,,,,,,,,,
IT1:34_727_DF_DCCV_POVERTA_1(1.0),A,IT,INCID_POVREL_FAM,ALL,TOT,HH,TOTAL,99,ALL,9,TOTAL,2020,9.8,,,,,,,,,,,,,,,,
IT1:34_727_DF_DCCV_POVERTA_1(1.0),A,IT,INCID_POVREL_FAM,ALL,TOT,HH,TOTAL,99,ALL,9,TOTAL,2021,10.9,,,,,,,,,,,,,,,,
IT1:34_727_DF_DCCV_POVERTA_1(1.0),A,IT,INCID_POVREL_FAM,ALL,TOT,HH,TOTAL,99,ALL,9,TOTAL,2022,10.1,,,,,,,,,,,,,,,,
IT1:34_727_DF_DCCV_POVERTA_1(1.0),A,IT,INCID_POVREL_FAM,ALL,TOT,HH,TOTAL,99,ALL,9,TOTAL,2023,10.6,,,,,,,,,,,,,,,,
IT1:34_727_DF_DCCV_POVERTA_1(1.0),A,IT,INCID_POVREL_FAM,ALL,TOT,HH,TOTAL,99,ALL,9,TOTAL,2024,10.9,,,,,,,,,,,,,TIME_PERIOD__2024_N1,,,
