DATAFLOW,FREQ,REF_AREA,DATA_TYPE_AGGR,BRKDW_INDUSTRY_NACE_REV2,NONFIN_ASSETS,EXPEND_PURPOSE_COICOPCOFOG,VALUATION,ADJUSTMENT,PRICE,EDITION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE_AGGR,NOTE_BRKDW_INDUSTRY_NACE_REV2,NOTE_NONFIN_ASSETS,NOTE_EXPEND_PURPOSE_COICOPCOFOG,NOTE_VALUATION,NOTE_ADJUSTMENT,NOTE_PRICE,NOTE_EDITION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2001,50114.554,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2002,51490.369,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2003,53096.703,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2004,54926.894,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2005,56451.463,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2006,57361.391,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2007,59221.933,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2008,60570.931,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2009,60132.589,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2010,61621.285,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2011,62897.202,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2012,62651.77,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2013,63750.185,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2014,63947.973,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2015,64525.995,,,,,,,,,,,,,,
IT1:93_1227_DF_DCCN_TNA1_6(1.0),A,IT,B1G_B_W2_S1_R_FT,Z,Z,Z,V,N,Z,2025M12,2016,65124.267,,,,,,,,,,,,,,
