area_code,frequency,year,death_rate,data_type
IT,A,2011,9.9,DEATHRATE
IT,A,2012,10.1,DEATHRATE
IT,A,2013,9.9,DEATHRATE
IT,A,2014,9.9,DEATHRATE
IT,A,2015,10.5,DEATHRATE
IT,A,2016,10.1,DEATHRATE
IT,A,2017,10.6,DEATHRATE
IT,A,2018,10.4,DEATHRATE
IT,A,2019,10.4,DEATHRATE
IT,A,2020,12.4,DEATHRATE
IT,A,2021,11.8,DEATHRATE
IT,A,2022,11.9,DEATHRATE
IT,A,2023,11.2,DEATHRATE
IT,A,2024,10.9,DEATHRATE
IT,A,2011,9.9,DEATHRATE
IT,A,2012,10.2,DEATHRATE
IT,A,2013,10.0,DEATHRATE
IT,A,2014,9.9,DEATHRATE
IT,A,2015,10.9,DEATHRATE
IT,A,2016,10.3,DEATHRATE
IT,A,2017,11.0,DEATHRATE
IT,A,2018,10.8,DEATHRATE
IT,A,2019,10.8,DEATHRATE
IT,A,2020,12.5,DEATHRATE
IT,A,2021,11.9,DEATHRATE
IT,A,2022,12.3,DEATHRATE
IT,A,2023,11.6,DEATHRATE
IT,A,2024,11.3,DEATHRATE
IT,A,2011,9.9,DEATHRATE
IT,A,2012,10.2,DEATHRATE
IT,A,2013,10.0,DEATHRATE
IT,A,2014,9.9,DEATHRATE
IT,A,2015,10.8,DEATHRATE
IT,A,2016,10.2,DEATHRATE
IT,A,2017,10.8,DEATHRATE
IT,A,2018,10.6,DEATHRATE
IT,A,2019,10.6,DEATHRATE
IT,A,2020,12.5,DEATHRATE
IT,A,2021,11.9,DEATHRATE
IT,A,2022,12.1,DEATHRATE
IT,A,2023,11.4,DEATHRATE
IT,A,2024,11.1,DEATHRATE
IT,A,2011,85.0,LEXISPOINT
IT,A,2012,86.0,LEXISPOINT
IT,A,2013,86.0,LEXISPOINT
IT,A,2014,87.0,LEXISPOINT
IT,A,2015,87.0,LEXISPOINT
IT,A,2016,87.0,LEXISPOINT
IT,A,2017,87.0,LEXISPOINT
IT,A,2018,87.0,LEXISPOINT
IT,A,2019,87.0,LEXISPOINT
IT,A,2020,86.0,LEXISPOINT
IT,A,2021,87.0,LEXISPOINT
IT,A,2022,88.0,LEXISPOINT
IT,A,2023,88.0,LEXISPOINT
IT,A,2024,88.0,LEXISPOINT
IT,A,2011,88.0,LEXISPOINT
IT,A,2012,89.0,LEXISPOINT
IT,A,2013,90.0,LEXISPOINT
IT,A,2014,90.0,LEXISPOINT
IT,A,2015,89.0,LEXISPOINT
IT,A,2016,90.0,LEXISPOINT
IT,A,2017,90.0,LEXISPOINT
IT,A,2018,90.0,LEXISPOINT
IT,A,2019,90.0,LEXISPOINT
IT,A,2020,90.0,LEXISPOINT
IT,A,2021,89.0,LEXISPOINT
IT,A,2022,89.0,LEXISPOINT
IT,A,2023,90.0,LEXISPOINT
IT,A,2024,91.0,LEXISPOINT
IT,A,2011,88.0,LEXISPOINT
IT,A,2012,88.0,LEXISPOINT
IT,A,2013,89.0,LEXISPOINT
IT,A,2014,88.0,LEXISPOINT
IT,A,2015,88.0,LEXISPOINT
IT,A,2016,89.0,LEXISPOINT
IT,A,2017,89.0,LEXISPOINT
IT,A,2018,89.0,LEXISPOINT
IT,A,2019,89.0,LEXISPOINT
IT,A,2020,88.0,LEXISPOINT
IT,A,2021,88.0,LEXISPOINT
IT,A,2022,89.0,LEXISPOINT
IT,A,2023,90.0,LEXISPOINT
IT,A,2024,89.0,LEXISPOINT
IT,A,2011,79.6,LIFEEXP0
IT,A,2012,79.7,LIFEEXP0
IT,A,2013,80.0,LIFEEXP0
IT,A,2014,80.3,LIFEEXP0
IT,A,2015,80.1,LIFEEXP0
IT,A,2016,80.6,LIFEEXP0
IT,A,2017,80.5,LIFEEXP0
IT,A,2018,80.8,LIFEEXP0
IT,A,2019,81.1,LIFEEXP0
IT,A,2020,79.8,LIFEEXP0
IT,A,2021,80.3,LIFEEXP0
IT,A,2022,80.6,LIFEEXP0
IT,A,2023,81.0,LIFEEXP0
IT,A,2024,81.5,LIFEEXP0
IT,A,2011,84.5,LIFEEXP0
IT,A,2012,84.5,LIFEEXP0
IT,A,2013,84.8,LIFEEXP0
IT,A,2014,85.0,LIFEEXP0
IT,A,2015,84.5,LIFEEXP0
IT,A,2016,85.1,LIFEEXP0
IT,A,2017,84.8,LIFEEXP0
IT,A,2018,85.2,LIFEEXP0
IT,A,2019,85.4,LIFEEXP0
IT,A,2020,84.5,LIFEEXP0
IT,A,2021,84.8,LIFEEXP0
IT,A,2022,84.8,LIFEEXP0
IT,A,2023,85.1,LIFEEXP0
IT,A,2024,85.6,LIFEEXP0
IT,A,2011,82.0,LIFEEXP0
IT,A,2012,82.0,LIFEEXP0
IT,A,2013,82.3,LIFEEXP0
IT,A,2014,82.6,LIFEEXP0
IT,A,2015,82.3,LIFEEXP0
IT,A,2016,82.8,LIFEEXP0
IT,A,2017,82.6,LIFEEXP0
IT,A,2018,82.9,LIFEEXP0
IT,A,2019,83.2,LIFEEXP0
IT,A,2020,82.1,LIFEEXP0
IT,A,2021,82.5,LIFEEXP0
IT,A,2022,82.6,LIFEEXP0
IT,A,2023,83.0,LIFEEXP0
IT,A,2024,83.5,LIFEEXP0
IT,A,2011,18.4,LIFEEXP65
IT,A,2012,18.4,LIFEEXP65
IT,A,2013,18.7,LIFEEXP65
IT,A,2014,18.9,LIFEEXP65
IT,A,2015,18.7,LIFEEXP65
IT,A,2016,19.1,LIFEEXP65
IT,A,2017,19.0,LIFEEXP65
IT,A,2018,19.3,LIFEEXP65
IT,A,2019,19.4,LIFEEXP65
IT,A,2020,18.3,LIFEEXP65
IT,A,2021,18.8,LIFEEXP65
IT,A,2022,18.9,LIFEEXP65
IT,A,2023,19.4,LIFEEXP65
IT,A,2024,19.9,LIFEEXP65
IT,A,2011,21.9,LIFEEXP65
IT,A,2012,21.8,LIFEEXP65
IT,A,2013,22.1,LIFEEXP65
IT,A,2014,22.3,LIFEEXP65
IT,A,2015,21.9,LIFEEXP65
IT,A,2016,22.4,LIFEEXP65
IT,A,2017,22.1,LIFEEXP65
IT,A,2018,22.4,LIFEEXP65
IT,A,2019,22.6,LIFEEXP65
IT,A,2020,21.7,LIFEEXP65
IT,A,2021,22.0,LIFEEXP65
IT,A,2022,21.9,LIFEEXP65
IT,A,2023,22.3,LIFEEXP65
IT,A,2024,22.7,LIFEEXP65
IT,A,2011,20.1,LIFEEXP65
IT,A,2012,20.1,LIFEEXP65
IT,A,2013,20.4,LIFEEXP65
IT,A,2014,20.6,LIFEEXP65
IT,A,2015,20.3,LIFEEXP65
IT,A,2016,20.8,LIFEEXP65
IT,A,2017,20.5,LIFEEXP65
IT,A,2018,20.9,LIFEEXP65
IT,A,2019,21.0,LIFEEXP65
IT,A,2020,20.0,LIFEEXP65
IT,A,2021,20.4,LIFEEXP65
IT,A,2022,20.4,LIFEEXP65
IT,A,2023,20.9,LIFEEXP65
IT,A,2024,21.3,LIFEEXP65
IT,A,2011,5.6,LIFEEXP85
IT,A,2012,5.6,LIFEEXP85
IT,A,2013,5.8,LIFEEXP85
IT,A,2014,5.9,LIFEEXP85
IT,A,2015,5.6,LIFEEXP85
IT,A,2016,5.9,LIFEEXP85
IT,A,2017,5.7,LIFEEXP85
IT,A,2018,6.0,LIFEEXP85
