area_code,frequency,year,income,measure_code,institutional_sector,edition
IT,A,2001,844951.6,B6N_B_W0,S14,2025M12
IT,A,2002,879201.2,B6N_B_W0,S14,2025M12
IT,A,2003,911284.1,B6N_B_W0,S14,2025M12
IT,A,2004,945194.9,B6N_B_W0,S14,2025M12
IT,A,2005,967777.8,B6N_B_W0,S14,2025M12
IT,A,2006,1002262.3,B6N_B_W0,S14,2025M12
IT,A,2007,1036078.1,B6N_B_W0,S14,2025M12
IT,A,2008,1049966.5,B6N_B_W0,S14,2025M12
IT,A,2009,1022313.6,B6N_B_W0,S14,2025M12
IT,A,2010,1018188.6,B6N_B_W0,S14,2025M12
IT,A,2011,1042315.9,B6N_B_W0,S14,2025M12
IT,A,2012,1007428.7,B6N_B_W0,S14,2025M12
IT,A,2013,1010061.7,B6N_B_W0,S14,2025M12
IT,A,2014,1017906.8,B6N_B_W0,S14,2025M12
IT,A,2015,1031247.6,B6N_B_W0,S14,2025M12
IT,A,2016,1045364.8,B6N_B_W0,S14,2025M12
IT,A,2017,1068372.6,B6N_B_W0,S14,2025M12
IT,A,2018,1084105.1,B6N_B_W0,S14,2025M12
IT,A,2019,1092044.3,B6N_B_W0,S14,2025M12
IT,A,2020,1064838.6,B6N_B_W0,S14,2025M12
IT,A,2021,1117105.3,B6N_B_W0,S14,2025M12
IT,A,2022,1188900.3,B6N_B_W0,S14,2025M12
IT,A,2023,1257612.5,B6N_B_W0,S14,2025M12
IT,A,2024,1296443.8,B6N_B_W0,S14,2025M12
ITC,A,2001,263280.7,B6N_B_W0,S14,2025M12
ITC,A,2002,273803.7,B6N_B_W0,S14,2025M12
ITC,A,2003,281557.6,B6N_B_W0,S14,2025M12
ITC,A,2004,296741.9,B6N_B_W0,S14,2025M12
ITC,A,2005,304379.5,B6N_B_W0,S14,2025M12
ITC,A,2006,316288.4,B6N_B_W0,S14,2025M12
ITC,A,2007,326364.1,B6N_B_W0,S14,2025M12
ITC,A,2008,331914.4,B6N_B_W0,S14,2025M12
ITC,A,2009,319096.8,B6N_B_W0,S14,2025M12
ITC,A,2010,318628.6,B6N_B_W0,S14,2025M12
ITC,A,2011,327951.7,B6N_B_W0,S14,2025M12
ITC,A,2012,317121.3,B6N_B_W0,S14,2025M12
ITC,A,2013,317692.3,B6N_B_W0,S14,2025M12
ITC,A,2014,320028.8,B6N_B_W0,S14,2025M12
ITC,A,2015,323463.9,B6N_B_W0,S14,2025M12
ITC,A,2016,327319.7,B6N_B_W0,S14,2025M12
ITC,A,2017,337118.8,B6N_B_W0,S14,2025M12
ITC,A,2018,338653.1,B6N_B_W0,S14,2025M12
ITC,A,2019,341841.7,B6N_B_W0,S14,2025M12
ITC,A,2020,333752.8,B6N_B_W0,S14,2025M12
ITC,A,2021,350586.5,B6N_B_W0,S14,2025M12
ITC,A,2022,372739.3,B6N_B_W0,S14,2025M12
ITC,A,2023,397385.5,B6N_B_W0,S14,2025M12
ITC,A,2024,409081.6,B6N_B_W0,S14,2025M12
ITC1,A,2001,69517.7,B6N_B_W0,S14,2025M12
ITC1,A,2002,72846.8,B6N_B_W0,S14,2025M12
ITC1,A,2003,75465.1,B6N_B_W0,S14,2025M12
ITC1,A,2004,80130.6,B6N_B_W0,S14,2025M12
ITC1,A,2005,81489.7,B6N_B_W0,S14,2025M12
ITC1,A,2006,84850.4,B6N_B_W0,S14,2025M12
ITC1,A,2007,86841.5,B6N_B_W0,S14,2025M12
ITC1,A,2008,87963.9,B6N_B_W0,S14,2025M12
ITC1,A,2009,83816.1,B6N_B_W0,S14,2025M12
ITC1,A,2010,83901.6,B6N_B_W0,S14,2025M12
ITC1,A,2011,85934.3,B6N_B_W0,S14,2025M12
ITC1,A,2012,82633.5,B6N_B_W0,S14,2025M12
ITC1,A,2013,82511.5,B6N_B_W0,S14,2025M12
ITC1,A,2014,83035.9,B6N_B_W0,S14,2025M12
ITC1,A,2015,83333.6,B6N_B_W0,S14,2025M12
ITC1,A,2016,84305.2,B6N_B_W0,S14,2025M12
ITC1,A,2017,86429.3,B6N_B_W0,S14,2025M12
ITC1,A,2018,87409.1,B6N_B_W0,S14,2025M12
ITC1,A,2019,87812.4,B6N_B_W0,S14,2025M12
ITC1,A,2020,84984.5,B6N_B_W0,S14,2025M12
ITC1,A,2021,88835.7,B6N_B_W0,S14,2025M12
ITC1,A,2022,93843.3,B6N_B_W0,S14,2025M12
ITC1,A,2023,99782.4,B6N_B_W0,S14,2025M12
ITC1,A,2024,103792.8,B6N_B_W0,S14,2025M12
ITC2,A,2001,2098.0,B6N_B_W0,S14,2025M12
ITC2,A,2002,2194.3,B6N_B_W0,S14,2025M12
ITC2,A,2003,2218.3,B6N_B_W0,S14,2025M12
ITC2,A,2004,2291.9,B6N_B_W0,S14,2025M12
ITC2,A,2005,2320.3,B6N_B_W0,S14,2025M12
ITC2,A,2006,2387.6,B6N_B_W0,S14,2025M12
ITC2,A,2007,2445.5,B6N_B_W0,S14,2025M12
ITC2,A,2008,2530.2,B6N_B_W0,S14,2025M12
ITC2,A,2009,2480.7,B6N_B_W0,S14,2025M12
ITC2,A,2010,2473.5,B6N_B_W0,S14,2025M12
ITC2,A,2011,2499.0,B6N_B_W0,S14,2025M12
ITC2,A,2012,2422.7,B6N_B_W0,S14,2025M12
ITC2,A,2013,2396.2,B6N_B_W0,S14,2025M12
ITC2,A,2014,2414.3,B6N_B_W0,S14,2025M12
ITC2,A,2015,2421.7,B6N_B_W0,S14,2025M12
ITC2,A,2016,2421.4,B6N_B_W0,S14,2025M12
ITC2,A,2017,2465.6,B6N_B_W0,S14,2025M12
ITC2,A,2018,2489.0,B6N_B_W0,S14,2025M12
ITC2,A,2019,2495.8,B6N_B_W0,S14,2025M12
ITC2,A,2020,2371.9,B6N_B_W0,S14,2025M12
ITC2,A,2021,2462.4,B6N_B_W0,S14,2025M12
ITC2,A,2022,2631.1,B6N_B_W0,S14,2025M12
ITC2,A,2023,2780.5,B6N_B_W0,S14,2025M12
ITC2,A,2024,2875.0,B6N_B_W0,S14,2025M12
ITC3,A,2001,27107.0,B6N_B_W0,S14,2025M12
ITC3,A,2002,27605.7,B6N_B_W0,S14,2025M12
ITC3,A,2003,28356.0,B6N_B_W0,S14,2025M12
ITC3,A,2004,29297.7,B6N_B_W0,S14,2025M12
ITC3,A,2005,29796.7,B6N_B_W0,S14,2025M12
ITC3,A,2006,30644.0,B6N_B_W0,S14,2025M12
ITC3,A,2007,31825.5,B6N_B_W0,S14,2025M12
ITC3,A,2008,32021.3,B6N_B_W0,S14,2025M12
ITC3,A,2009,30705.2,B6N_B_W0,S14,2025M12
ITC3,A,2010,29732.1,B6N_B_W0,S14,2025M12
ITC3,A,2011,30238.5,B6N_B_W0,S14,2025M12
ITC3,A,2012,29273.8,B6N_B_W0,S14,2025M12
ITC3,A,2013,29090.9,B6N_B_W0,S14,2025M12
ITC3,A,2014,29217.1,B6N_B_W0,S14,2025M12
ITC3,A,2015,29188.2,B6N_B_W0,S14,2025M12
ITC3,A,2016,29565.0,B6N_B_W0,S14,2025M12
ITC3,A,2017,30563.6,B6N_B_W0,S14,2025M12
ITC3,A,2018,30337.2,B6N_B_W0,S14,2025M12
ITC3,A,2019,30534.3,B6N_B_W0,S14,2025M12
ITC3,A,2020,29319.2,B6N_B_W0,S14,2025M12
ITC3,A,2021,30752.4,B6N_B_W0,S14,2025M12
ITC3,A,2022,32997.7,B6N_B_W0,S14,2025M12
ITC3,A,2023,34975.3,B6N_B_W0,S14,2025M12
ITC3,A,2024,35603.7,B6N_B_W0,S14,2025M12
ITC4,A,2001,164558.0,B6N_B_W0,S14,2025M12
ITC4,A,2002,171156.9,B6N_B_W0,S14,2025M12
ITC4,A,2003,175518.3,B6N_B_W0,S14,2025M12
ITC4,A,2004,185021.7,B6N_B_W0,S14,2025M12
ITC4,A,2005,190772.7,B6N_B_W0,S14,2025M12
ITC4,A,2006,198406.4,B6N_B_W0,S14,2025M12
ITC4,A,2007,205251.6,B6N_B_W0,S14,2025M12
ITC4,A,2008,209399.0,B6N_B_W0,S14,2025M12
ITC4,A,2009,202094.8,B6N_B_W0,S14,2025M12
ITC4,A,2010,202521.4,B6N_B_W0,S14,2025M12
ITC4,A,2011,209280.0,B6N_B_W0,S14,2025M12
ITC4,A,2012,202791.3,B6N_B_W0,S14,2025M12
ITC4,A,2013,203693.7,B6N_B_W0,S14,2025M12
ITC4,A,2014,205361.5,B6N_B_W0,S14,2025M12
ITC4,A,2015,208520.4,B6N_B_W0,S14,2025M12
ITC4,A,2016,211028.1,B6N_B_W0,S14,2025M12
ITC4,A,2017,217660.4,B6N_B_W0,S14,2025M12
ITC4,A,2018,218417.8,B6N_B_W0,S14,2025M12
ITC4,A,2019,220999.2,B6N_B_W0,S14,2025M12
ITC4,A,2020,217077.3,B6N_B_W0,S14,2025M12
ITC4,A,2021,228536.1,B6N_B_W0,S14,2025M12
ITC4,A,2022,243267.2,B6N_B_W0,S14,2025M12
ITC4,A,2023,259847.3,B6N_B_W0,S14,2025M12
ITC4,A,2024,266810.2,B6N_B_W0,S14,2025M12
ITCD,A,2001,446667.7,B6N_B_W0,S14,2025M12
ITCD,A,2002,463551.5,B6N_B_W0,S14,2025M12
ITCD,A,2003,478724.4,B6N_B_W0,S14,2025M12
ITCD,A,2004,499898.6,B6N_B_W0,S14,2025M12
ITCD,A,2005,512031.6,B6N_B_W0,S14,2025M12
ITCD,A,2006,532604.9,B6N_B_W0,S14,2025M12
ITCD,A,2007,551113.0,B6N_B_W0,S14,2025M12
ITCD,A,2008,559118.1,B6N_B_W0,S14,2025M12
ITCD,A,2009,539807.9,B6N_B_W0,S14,2025M12
ITCD,A,2010,538660.3,B6N_B_W0,S14,2025M12
ITCD,A,2011,554094.7,B6N_B_W0,S14,2025M12
ITCD,A,2012,535686.9,B6N_B_W0,S14,2025M12
ITCD,A,2013,538837.8,B6N_B_W0,S14,2025M12
ITCD,A,2014,543050.9,B6N_B_W0,S14,2025M12
ITCD,A,2015,549813.4,B6N_B_W0,S14,2025M12
ITCD,A,2016,558189.2,B6N_B_W0,S14,2025M12
ITCD,A,2017,574531.0,B6N_B_W0,S14,2025M12
ITCD,A,2018,580792.3,B6N_B_W0,S14,2025M12
ITCD,A,2019,584842.7,B6N_B_W0,S14,2025M12
ITCD,A,2020,569372.5,B6N_B_W0,S14,2025M12
ITCD,A,2021,596574.7,B6N_B_W0,S14,2025M12
ITCD,A,2022,634794.9,B6N_B_W0,S14,2025M12
ITCD,A,2023,674861.6,B6N_B_W0,S14,2025M12
ITCD,A,2024,694196.1,B6N_B_W0,S14,2025M12
ITCDE,A,2001,619969.0,B6N_B_W0,S14,2025M12
ITCDE,A,2002,643790.0,B6N_B_W0,S14,2025M12
ITCDE,A,2003,667131.0,B6N_B_W0,S14,2025M12
ITCDE,A,2004,696285.8,B6N_B_W0,S14,2025M12
ITCDE,A,2005,712885.1,B6N_B_W0,S14,2025M12
ITCDE,A,2006,739318.1,B6N_B_W0,S14,2025M12
ITCDE,A,2007,765753.4,B6N_B_W0,S14,2025M12
ITCDE,A,2008,776953.6,B6N_B_W0,S14,2025M12
ITCDE,A,2009,753448.4,B6N_B_W0,S14,2025M12
ITCDE,A,2010,752238.9,B6N_B_W0,S14,2025M12
ITCDE,A,2011,771075.4,B6N_B_W0,S14,2025M12
ITCDE,A,2012,744669.9,B6N_B_W0,S14,2025M12
ITCDE,A,2013,748100.1,B6N_B_W0,S14,2025M12
ITCDE,A,2014,754573.1,B6N_B_W0,S14,2025M12
ITCDE,A,2015,763608.3,B6N_B_W0,S14,2025M12
