area_code,frequency,year,migrations
IT,A,2002,62740
IT,A,2003,64934
IT,A,2004,88821
IT,A,2005,101898
IT,A,2006,109809
IT,A,2007,108085
IT,A,2008,107580
IT,A,2009,103740
IT,A,2010,106027
IT,A,2011,111000
IT,A,2012,129084
IT,A,2013,114733
IT,A,2014,109898
IT,A,2015,92064
IT,A,2016,108427
IT,A,2017,112615
IT,A,2018,124072
IT,A,2019,151135
IT,A,2020,122281
IT,A,2021,136406
IT,A,2022,127032
IT,A,2023,132567
IT,A,2024,133007
IT,A,2025,157948
IT,A,2002,24766
IT,A,2003,24490
IT,A,2004,34855
IT,A,2005,40430
IT,A,2006,45795
IT,A,2007,44904
IT,A,2008,43703
IT,A,2009,39935
IT,A,2010,41985
IT,A,2011,43870
IT,A,2012,51132
IT,A,2013,45834
IT,A,2014,42842
IT,A,2015,34716
IT,A,2016,40854
IT,A,2017,42565
IT,A,2018,45908
IT,A,2019,55534
IT,A,2020,45077
IT,A,2021,51452
IT,A,2022,48956
IT,A,2023,51924
IT,A,2024,51380
IT,A,2025,60088
IT,A,2002,5173
IT,A,2003,4732
IT,A,2004,7045
IT,A,2005,7827
IT,A,2006,8219
IT,A,2007,8851
IT,A,2008,9485
IT,A,2009,9453
IT,A,2010,9525
IT,A,2011,10235
IT,A,2012,12032
IT,A,2013,10368
IT,A,2014,9854
IT,A,2015,7988
IT,A,2016,9487
IT,A,2017,9923
IT,A,2018,10239
IT,A,2019,12583
IT,A,2020,10395
IT,A,2021,11214
IT,A,2022,11305
IT,A,2023,12325
IT,A,2024,12781
IT,A,2025,14536
IT,A,2002,160
IT,A,2003,163
IT,A,2004,232
IT,A,2005,309
IT,A,2006,282
IT,A,2007,355
IT,A,2008,322
IT,A,2009,347
IT,A,2010,357
IT,A,2011,339
IT,A,2012,423
IT,A,2013,329
IT,A,2014,327
IT,A,2015,255
IT,A,2016,313
IT,A,2017,325
IT,A,2018,340
IT,A,2019,356
IT,A,2020,286
IT,A,2021,314
IT,A,2022,345
IT,A,2023,319
IT,A,2024,353
IT,A,2025,365
IT,A,2002,1189
IT,A,2003,1157
IT,A,2004,1629
IT,A,2005,1914
IT,A,2006,2011
IT,A,2007,1964
IT,A,2008,2531
IT,A,2009,2550
IT,A,2010,2979
IT,A,2011,2939
IT,A,2012,3377
IT,A,2013,3015
IT,A,2014,2746
IT,A,2015,2293
IT,A,2016,2572
IT,A,2017,2801
IT,A,2018,3092
IT,A,2019,3781
IT,A,2020,2986
IT,A,2021,3698
IT,A,2022,3382
IT,A,2023,3390
IT,A,2024,3390
IT,A,2025,4080
IT,A,2002,18244
IT,A,2003,18438
IT,A,2004,25949
IT,A,2005,30380
IT,A,2006,35283
IT,A,2007,33734
IT,A,2008,31365
IT,A,2009,27585
IT,A,2010,29124
IT,A,2011,30357
IT,A,2012,35300
IT,A,2013,32122
IT,A,2014,29915
IT,A,2015,24180
IT,A,2016,28482
IT,A,2017,29516
IT,A,2018,32237
IT,A,2019,38814
IT,A,2020,31410
IT,A,2021,36226
IT,A,2022,33924
IT,A,2023,35890
IT,A,2024,34856
IT,A,2025,41107
IT,A,2002,47354
IT,A,2003,48851
IT,A,2004,66876
IT,A,2005,77594
IT,A,2006,83974
IT,A,2007,82870
IT,A,2008,79617
IT,A,2009,71822
IT,A,2010,74224
IT,A,2011,78011
IT,A,2012,87646
IT,A,2013,77896
IT,A,2014,73528
IT,A,2015,59697
IT,A,2016,70244
IT,A,2017,73492
IT,A,2018,79904
IT,A,2019,95053
IT,A,2020,78276
IT,A,2021,87701
IT,A,2022,83112
IT,A,2023,86170
IT,A,2024,85945
IT,A,2025,100197
IT,A,2002,22588
IT,A,2003,24361
IT,A,2004,32021
IT,A,2005,37164
IT,A,2006,38179
IT,A,2007,37966
IT,A,2008,35914
IT,A,2009,31887
IT,A,2010,32239
IT,A,2011,34141
IT,A,2012,36514
IT,A,2013,32062
IT,A,2014,30686
IT,A,2015,24981
IT,A,2016,29390
IT,A,2017,30927
IT,A,2018,33996
IT,A,2019,39519
IT,A,2020,33199
IT,A,2021,36249
IT,A,2022,34156
IT,A,2023,34246
IT,A,2024,34565
IT,A,2025,40109
IT,A,2002,601
IT,A,2003,770
IT,A,2004,818
IT,A,2005,1026
IT,A,2006,1173
IT,A,2007,1091
IT,A,2008,1072
IT,A,2009,1034
IT,A,2010,1064
IT,A,2011,1187
IT,A,2012,1303
IT,A,2013,1228
IT,A,2014,1174
IT,A,2015,1155
IT,A,2016,1340
IT,A,2017,1737
IT,A,2018,1779
IT,A,2019,1931
IT,A,2020,1549
IT,A,2021,1836
IT,A,2022,1781
IT,A,2023,1739
IT,A,2024,1671
IT,A,2025,1755
IT,A,2002,1003
IT,A,2003,1155
IT,A,2004,1235
IT,A,2005,1486
IT,A,2006,1608
IT,A,2007,1549
IT,A,2008,1601
IT,A,2009,1581
IT,A,2010,1625
