area_code,frequency,year,population,sex,age_group,marital_status
IT,A,2019,13605095,1,TOTAL,1
IT,A,2020,13630443,1,TOTAL,1
IT,A,2021,13628057,1,TOTAL,1
IT,A,2022,13683804,1,TOTAL,1
IT,A,2023,13808498,1,TOTAL,1
IT,A,2024,13908056,1,TOTAL,1
IT,A,2025,14005993,1,TOTAL,1
IT108,A,2019,197700,1,TOTAL,1
IT108,A,2020,199701,1,TOTAL,1
IT108,A,2021,201810,1,TOTAL,1
IT108,A,2022,202962,1,TOTAL,1
IT108,A,2023,206082,1,TOTAL,1
IT108,A,2024,208097,1,TOTAL,1
IT108,A,2025,210174,1,TOTAL,1
IT109,A,2019,38387,1,TOTAL,1
IT109,A,2020,38437,1,TOTAL,1
IT109,A,2021,38317,1,TOTAL,1
IT109,A,2022,38405,1,TOTAL,1
IT109,A,2023,38769,1,TOTAL,1
IT109,A,2024,38977,1,TOTAL,1
IT109,A,2025,39258,1,TOTAL,1
IT110,A,2019,85452,1,TOTAL,1
IT110,A,2020,84856,1,TOTAL,1
IT110,A,2021,83975,1,TOTAL,1
IT110,A,2022,84033,1,TOTAL,1
IT110,A,2023,83821,1,TOTAL,1
IT110,A,2024,83461,1,TOTAL,1
IT110,A,2025,83513,1,TOTAL,1
IT111,A,2019,82940,1,TOTAL,1
IT111,A,2020,81973,1,TOTAL,1
IT111,A,2021,79769,1,TOTAL,1
IT111,A,2022,80584,1,TOTAL,1
IT111,A,2023,80290,1,TOTAL,1
IT111,A,2024,80285,1,TOTAL,1
IT111,A,2025,80223,1,TOTAL,1
ITC,A,2019,3643216,1,TOTAL,1
ITC,A,2020,3668789,1,TOTAL,1
ITC,A,2021,3691360,1,TOTAL,1
ITC,A,2022,3704343,1,TOTAL,1
ITC,A,2023,3756385,1,TOTAL,1
ITC,A,2024,3801967,1,TOTAL,1
ITC,A,2025,3837399,1,TOTAL,1
ITC1,A,2019,956198,1,TOTAL,1
ITC1,A,2020,959256,1,TOTAL,1
ITC1,A,2021,961660,1,TOTAL,1
ITC1,A,2022,967301,1,TOTAL,1
ITC1,A,2023,978135,1,TOTAL,1
ITC1,A,2024,989655,1,TOTAL,1
ITC1,A,2025,999301,1,TOTAL,1
ITC11,A,2019,494390,1,TOTAL,1
ITC11,A,2020,496745,1,TOTAL,1
ITC11,A,2021,499981,1,TOTAL,1
ITC11,A,2022,503314,1,TOTAL,1
ITC11,A,2023,508864,1,TOTAL,1
ITC11,A,2024,515347,1,TOTAL,1
ITC11,A,2025,520495,1,TOTAL,1
ITC12,A,2019,37284,1,TOTAL,1
ITC12,A,2020,37397,1,TOTAL,1
ITC12,A,2021,37091,1,TOTAL,1
ITC12,A,2022,37435,1,TOTAL,1
ITC12,A,2023,37922,1,TOTAL,1
ITC12,A,2024,38333,1,TOTAL,1
ITC12,A,2025,38781,1,TOTAL,1
ITC13,A,2019,37498,1,TOTAL,1
ITC13,A,2020,37403,1,TOTAL,1
ITC13,A,2021,36871,1,TOTAL,1
ITC13,A,2022,37163,1,TOTAL,1
ITC13,A,2023,37370,1,TOTAL,1
ITC13,A,2024,37580,1,TOTAL,1
ITC13,A,2025,37870,1,TOTAL,1
ITC14,A,2019,34954,1,TOTAL,1
ITC14,A,2020,34814,1,TOTAL,1
ITC14,A,2021,34640,1,TOTAL,1
ITC14,A,2022,34753,1,TOTAL,1
