area_code,year,exports,imports
ITTOT,2001,272746,263355
ITTOT,2002,269339,260561
ITTOT,2003,262646,260946
ITTOT,2004,284817,285730
ITTOT,2005,300484,309917
ITTOT,2006,334371,354728
ITTOT,2007,364496,373729
ITTOT,2008,367355,380700
ITTOT,2009,290600,296815
ITTOT,2010,334775,365805
ITTOT,2011,377255,402902
ITTOT,2012,390675,381507
ITTOT,2013,391902,361970
ITTOT,2014,397975,356328
ITTOT,2015,410948,368661
ITTOT,2016,417093,368341
ITTOT,2017,452600,403538
ITTOT,2018,465192,425903
ITTOT,2019,481194,424042
ITTOT,2020,435187,372134
ITTOT,2021,517380,479004
ITTOT,2022,626473,661646
ITTOT,2023,630340,594880
ITTOT,2024,620659,573099
ITTOT,2025,642514,591685
