area_code,frequency,year,gdp_per_capita,measure_code,edition,unit
IT,A,2001,50114.554,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2002,51490.369,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2003,53096.703,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2004,54926.894,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2005,56451.463,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2006,57361.391,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2007,59221.933,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2008,60570.931,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2009,60132.589,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2010,61621.285,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2011,62897.202,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2012,62651.77,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2013,63750.185,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2014,63947.973,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2015,64525.995,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2016,65124.267,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2017,66069.995,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2018,66776.102,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2019,67534.836,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2020,70955.747,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2021,71124.59,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2022,74876.808,B1G_B_W2_S1_R_FT,2025M12,
IT,A,2023,78216.147,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2001,55887.739,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2002,57869.62,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2003,59876.906,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2004,61472.875,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2005,63165.759,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2006,63783.817,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2007,65996.088,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2008,68239.763,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2009,66832.882,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2010,70040.866,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2011,71354.758,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2012,70298.637,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2013,71688.844,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2014,72266.42,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2015,73033.048,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2016,73882.992,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2017,75134.172,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2018,76046.024,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2019,76444.747,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2020,81241.765,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2021,81277.691,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2022,85443.047,B1G_B_W2_S1_R_FT,2025M12,
ITC,A,2023,89301.139,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2001,53014.752,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2002,54776.691,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2003,56751.853,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2004,58035.452,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2005,59006.804,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2006,60011.669,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2007,61593.863,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2008,62274.979,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2009,59939.222,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2010,62569.363,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2011,63642.729,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2012,62580.421,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2013,64389.368,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2014,64394.585,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2015,64994.032,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2016,66162.764,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2017,68067.291,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2018,69174.321,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2019,69452.588,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2020,72171.744,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2021,71882.214,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2022,74906.818,B1G_B_W2_S1_R_FT,2025M12,
ITC1,A,2023,79091.501,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2001,53729.852,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2002,55153.358,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2003,60377.382,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2004,63141.907,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2005,66960.087,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2006,68011.304,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2007,68229.402,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2008,72153.885,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2009,70090.545,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2010,71380.069,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2011,72567.608,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2012,73339.948,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2013,72862.203,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2014,71892.096,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2015,72715.183,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2016,72201.882,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2017,74070.421,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2018,73943.323,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2019,74758.139,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2020,78995.839,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2021,76430.776,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2022,81929.53,B1G_B_W2_S1_R_FT,2025M12,
ITC2,A,2023,86296.379,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2001,53671.664,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2002,54702.023,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2003,58782.076,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2004,60968.833,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2005,61758.362,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2006,61617.807,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2007,64091.641,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2008,66592.694,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2009,64417.058,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2010,64837.903,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2011,65329.629,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2012,63558.523,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2013,65249.92,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2014,66043.905,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2015,66917.385,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2016,67118.948,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2017,67856.556,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2018,68823.987,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2019,69271.328,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2020,72372.191,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2021,72733.767,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2022,76359.454,B1G_B_W2_S1_R_FT,2025M12,
ITC3,A,2023,81796.075,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2001,57389.25,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2002,59598.719,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2003,61259.431,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2004,62890.775,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2005,64999.907,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2006,65568.668,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2007,68028.106,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2008,70830.616,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2009,69933.027,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2010,73818.354,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2011,75381.496,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2012,74388.974,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2013,75597.682,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2014,76353.614,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2015,77156.865,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2016,77962.599,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2017,78996.948,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2018,79771.41,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2019,80193.19,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2020,86074.104,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2021,86178.597,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2022,90849.815,B1G_B_W2_S1_R_FT,2025M12,
ITC4,A,2023,94317.554,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2001,54413.075,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2002,56005.166,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2003,57892.556,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2004,59875.94,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2005,61524.285,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2006,62312.603,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2007,64402.767,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2008,65984.058,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2009,64928.41,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2010,67349.168,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2011,68854.573,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2012,68146.247,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2013,69621.441,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2014,70258.059,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2015,71125.104,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2016,72049.931,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2017,73108.41,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2018,73703.929,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2019,74299.077,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2020,78882.804,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2021,78801.32,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2022,82718.515,B1G_B_W2_S1_R_FT,2025M12,
ITCD,A,2023,86838.247,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2001,54113.3,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2002,55814.512,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2003,57460.905,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2004,59364.327,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2005,60934.67,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2006,61846.183,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2007,63739.219,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2008,65148.004,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2009,64378.23,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2010,66187.238,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2011,67747.347,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2012,67109.051,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2013,68287.478,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2014,68737.181,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2015,69312.59,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2016,70197.657,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2017,71128.843,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2018,71729.322,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2019,72561.11,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2020,76564.894,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2021,76340.434,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2022,80525.046,B1G_B_W2_S1_R_FT,2025M12,
ITCDE,A,2023,84313.77,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2001,52372.228,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2002,53434.459,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2003,55165.068,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2004,57661.62,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2005,59250.352,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2006,60283.923,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2007,62223.21,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2008,62899.205,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2009,62324.011,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2010,63701.974,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2011,65478.471,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2012,65230.996,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2013,66842.581,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2014,67553.237,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2015,68543.408,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2016,69568.036,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2017,70377.308,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2018,70578.766,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2019,71434.349,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2020,75728.59,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2021,75488.446,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2022,79089.75,B1G_B_W2_S1_R_FT,2025M12,
ITD,A,2023,83516.096,B1G_B_W2_S1_R_FT,2025M12,
ITD1,A,2001,54254.283,B1G_B_W2_S1_R_FT,2025M12,
ITD1,A,2002,55687.692,B1G_B_W2_S1_R_FT,2025M12,
ITD1,A,2003,58481.254,B1G_B_W2_S1_R_FT,2025M12,
