area_code,vocational_training_attendance,year,value
001272,0,2024,375721.376456961
001272,1,2024,24058.623550415112
001272,9,2024,399780.0000073761
010025,0,2024,251491.104401848
010025,1,2024,15497.896048819894
010025,9,2024,266989.0004506679
015146,0,2024,589105.4220565904
015146,1,2024,41199.57923345881
015146,9,2024,630305.0012900492
017029,0,2024,85971.06968318732
017029,1,2024,6448.930344125248
017029,9,2024,92420.00002731256
023091,0,2024,111866.83121304135
023091,1,2024,8171.16878716609
023091,9,2024,120038.00000020744
027042,0,2024,110343.90636795346
027042,1,2024,6666.093633249203
027042,9,2024,117010.00000120266
028060,0,2024,90399.03749926182
028060,1,2024,7307.962531904105
028060,9,2024,97707.00003116592
032006,0,2024,87561.9601397307
032006,1,2024,5918.0398602691685
032006,9,2024,93479.99999999988
034027,0,2024,84513.358911501
034027,1,2024,6638.641098076418
034027,9,2024,91152.00000957742
035033,0,2024,71933.03647016136
035033,1,2024,5087.963529838651
035033,9,2024,77021.0
036023,0,2024,78494.82743642377
036023,1,2024,5965.172564239601
036023,9,2024,84460.00000066338
037006,0,2024,168885.26501654938
037006,1,2024,14726.734985313942
037006,9,2024,183612.0000018633
039014,0,2024,68230.46101264648
039014,1,2024,4350.53899199272
039014,9,2024,72581.00000463921
048017,0,2024,160981.1110111299
048017,1,2024,11851.888993329709
048017,9,2024,172833.0000044596
049009,0,2024,67527.34153611066
049009,1,2024,4171.6584641166655
049009,9,2024,71699.00000022732
054039,0,2024,71508.6231183583
054039,1,2024,4046.3768976082974
054039,9,2024,75555.0000159666
058091,0,2024,1218734.0531525586
058091,1,2024,75806.94687175487
058091,9,2024,1294541.0000243136
063049,0,2024,406607.6354906727
063049,1,2024,12418.364594886158
063049,9,2024,419026.00008555886
072006,0,2024,141558.93393264554
072006,1,2024,6587.066372841771
072006,9,2024,148146.0003054873
073027,0,2024,84150.81112473426
073027,1,2024,2922.188875847035
073027,9,2024,87073.0000005813
080063,0,2024,74945.9753255604
080063,1,2024,3622.024715099667
080063,9,2024,78568.00004066007
082053,0,2024,280442.8444734472
082053,1,2024,10013.155533223266
082053,9,2024,290456.0000066705
083048,0,2024,98204.44541111158
083048,1,2024,3069.554605829428
083048,9,2024,101274.000016941
087015,0,2024,130977.92191853434
087015,1,2024,5180.078115266197
087015,9,2024,136158.00003380052
092009,0,2024,67918.6872749803
092009,1,2024,4721.312881652175
092009,9,2024,72640.00015663248
099014,0,2024,66099.7004452487
099014,1,2024,4002.299556518794
099014,9,2024,70102.00000176749
100005,0,2024,85417.11123844757
100005,1,2024,4305.888762323431
100005,9,2024,89723.000000771
IT,0,2024,25594956.021930337
IT,1,2024,1342496.9839585735
IT,9,2024,26937453.00588891
IT108,0,2024,375004.1057122613
IT108,1,2024,23454.894287755887
IT108,9,2024,398459.0000000172
IT109,0,2024,73305.38051314253
IT109,1,2024,3339.619487173616
IT109,9,2024,76645.00000031614
IT110,0,2024,164195.93998809124
