area_code,year,enrolled_students,graduates,completion_rate
IT,2015,2689267,451959.0,16.806029300921033
IT,2016,2685951,462742.0,17.228236851677487
IT,2017,2684695,464577.0,17.304647269056634
IT,2018,2687748,474664.0,17.6602866042501
IT,2019,2690676,486696.0,18.088242508574055
IT,2020,2684841,497856.0,18.543220995209772
IT,2021,2730359,508474.0,18.622972290457042
IT,2022,2727637,506612.0,18.573292560556993
IT,2023,2714886,504482.0,18.582069376025366
IT,2024,2709690,494049.0,18.232676062575422
IT108,2020,34288,6196.0,18.070461969202054
IT108,2021,35051,6659.0,18.998031439901858
IT108,2022,35167,6437.0,18.30409190434214
IT108,2023,34955,6261.0,17.911600629380633
IT108,2024,34935,6301.0,18.036353227422357
IT109,2020,6985,1444.0,20.672870436649966
IT109,2021,7152,1423.0,19.896532438478747
IT109,2022,7165,1384.0,19.31612002791347
IT109,2023,7133,1371.0,19.220524323566522
IT109,2024,7110,1340.0,18.846694796061886
IT110,2020,19370,3335.0,17.217346411977285
IT110,2021,19416,3449.0,17.76370004120313
IT110,2022,18968,3345.0,17.634964150147617
IT110,2023,18548,3345.0,18.03428941125728
IT110,2024,18140,3154.0,17.386990077177508
IT111,2020,10711,1856.0,17.32798058071142
IT111,2021,10619,1870.0,17.609944439212732
IT111,2022,10426,1730.0,16.593132553232305
IT111,2023,10121,1672.0,16.52010670882324
IT111,2024,10143,1597.0,15.744848664103323
ITC,2015,623642,100904.0,16.179795459574564
ITC,2016,628286,105079.0,16.724708174302787
ITC,2017,633006,106251.0,16.78514895593407
ITC,2018,637518,108198.0,16.971756091592706
ITC,2019,640096,111673.0,17.446289306604008
ITC,2020,642078,113928.0,17.743638623344825
ITC,2021,655851,115450.0,17.603083627226308
ITC,2022,655630,114985.0,17.5380931317969
ITC,2023,655733,113087.0,17.245891239269643
ITC,2024,660788,114382.0,17.309939042476557
ITC1,2015,170584,28161.0,16.508582282042862
ITC1,2016,171946,29262.0,17.018133600083747
ITC1,2017,173021,29157.0,16.851711641939417
ITC1,2018,174002,29535.0,16.973942828243356
ITC1,2019,174388,30950.0,17.747780810606233
ITC1,2020,174307,31026.0,17.79962938952538
