area_code,school_level,year,enrollment_count,enrollment_total
IT,LOW,2015,1738729,7248692
IT,PRI,2015,2820696,7248692
IT,UPP,2015,2689267,7248692
IT,LOW,2016,1735404,7227116
IT,PRI,2016,2805761,7227116
IT,UPP,2016,2685951,7227116
IT,LOW,2017,1729226,7206335
IT,PRI,2017,2792414,7206335
IT,UPP,2017,2684695,7206335
IT,LOW,2018,1731272,7173077
IT,PRI,2018,2754057,7173077
IT,UPP,2018,2687748,7173077
IT,LOW,2019,1725037,7129086
IT,PRI,2019,2713373,7129086
IT,UPP,2019,2690676,7129086
IT,LOW,2020,1726984,7069109
IT,PRI,2020,2657284,7069109
IT,UPP,2020,2684841,7069109
IT,LOW,2021,1706482,7025224
IT,PRI,2021,2588383,7025224
IT,UPP,2021,2730359,7025224
IT,LOW,2022,1687186,6941555
IT,PRI,2022,2526732,6941555
IT,UPP,2022,2727637,6941555
IT,LOW,2023,1667818,6870340
IT,PRI,2023,2487636,6870340
IT,UPP,2023,2714886,6870340
IT,LOW,2024,1642229,6785381
IT,PRI,2024,2433462,6785381
IT,UPP,2024,2709690,6785381
IT108,LOW,2015,24801,98494
IT108,PRI,2015,41804,98494
IT108,UPP,2015,31889,98494
IT108,LOW,2016,25184,99632
IT108,PRI,2016,42105,99632
IT108,UPP,2016,32343,99632
IT108,LOW,2017,25364,100903
IT108,PRI,2017,42347,100903
IT108,UPP,2017,33192,100903
IT108,LOW,2018,25800,101462
IT108,PRI,2018,42157,101462
IT108,UPP,2018,33505,101462
IT108,LOW,2019,26090,101950
IT108,PRI,2019,41989,101950
IT108,UPP,2019,33871,101950
IT108,LOW,2020,26467,102214
IT108,PRI,2020,41459,102214
IT108,UPP,2020,34288,102214
IT108,LOW,2021,26435,101918
IT108,PRI,2021,40432,101918
IT108,UPP,2021,35051,101918
IT108,LOW,2022,26148,101026
IT108,PRI,2022,39711,101026
IT108,UPP,2022,35167,101026
IT108,LOW,2023,25970,99994
IT108,PRI,2023,39069,99994
IT108,UPP,2023,34955,99994
IT108,LOW,2024,25808,98794
IT108,PRI,2024,38051,98794
IT108,UPP,2024,34935,98794
IT109,LOW,2015,4601,19097
IT109,PRI,2015,7315,19097
IT109,UPP,2015,7181,19097
IT109,LOW,2016,4534,19076
IT109,PRI,2016,7300,19076
IT109,UPP,2016,7242,19076
IT109,LOW,2017,4443,18778
IT109,PRI,2017,7278,18778
IT109,UPP,2017,7057,18778
IT109,LOW,2018,4516,18729
IT109,PRI,2018,7183,18729
IT109,UPP,2018,7030,18729
IT109,LOW,2019,4584,18664
IT109,PRI,2019,7099,18664
IT109,UPP,2019,6981,18664
IT109,LOW,2020,4474,18503
IT109,PRI,2020,7044,18503
IT109,UPP,2020,6985,18503
IT109,LOW,2021,4419,18382
IT109,PRI,2021,6811,18382
IT109,UPP,2021,7152,18382
IT109,LOW,2022,4341,18235
IT109,PRI,2022,6729,18235
IT109,UPP,2022,7165,18235
IT109,LOW,2023,4497,18263
IT109,PRI,2023,6633,18263
IT109,UPP,2023,7133,18263
IT109,LOW,2024,4427,18089
IT109,PRI,2024,6552,18089
IT109,UPP,2024,7110,18089
IT110,LOW,2015,13529,54831
IT110,PRI,2015,20696,54831
IT110,UPP,2015,20606,54831
IT110,LOW,2016,13401,54187
IT110,PRI,2016,20220,54187
IT110,UPP,2016,20566,54187
IT110,LOW,2017,13075,53100
IT110,PRI,2017,19808,53100
IT110,UPP,2017,20217,53100
IT110,LOW,2018,12863,52050
IT110,PRI,2018,19261,52050
IT110,UPP,2018,19926,52050
IT110,LOW,2019,12494,50853
IT110,PRI,2019,18639,50853
IT110,UPP,2019,19720,50853
IT110,LOW,2020,12248,49746
IT110,PRI,2020,18128,49746
IT110,UPP,2020,19370,49746
IT110,LOW,2021,11917,48755
IT110,PRI,2021,17422,48755
IT110,UPP,2021,19416,48755
IT110,LOW,2022,11608,47362
IT110,PRI,2022,16786,47362
IT110,UPP,2022,18968,47362
IT110,LOW,2023,11373,46313
IT110,PRI,2023,16392,46313
IT110,UPP,2023,18548,46313
IT110,LOW,2024,10929,45101
IT110,PRI,2024,16032,45101
IT110,UPP,2024,18140,45101
IT111,LOW,2020,8042,31182
IT111,PRI,2020,12429,31182
IT111,UPP,2020,10711,31182
IT111,LOW,2021,7967,30567
IT111,PRI,2021,11981,30567
IT111,UPP,2021,10619,30567
IT111,LOW,2022,7822,29860
IT111,PRI,2022,11612,29860
IT111,UPP,2022,10426,29860
IT111,LOW,2023,7881,29118
IT111,PRI,2023,11116,29118
IT111,UPP,2023,10121,29118
IT111,LOW,2024,7574,28444
IT111,PRI,2024,10727,28444
IT111,UPP,2024,10143,28444
ITC,LOW,2015,441115,1795167
ITC,PRI,2015,730410,1795167
ITC,UPP,2015,623642,1795167
ITC,LOW,2016,441293,1802170
ITC,PRI,2016,732591,1802170
ITC,UPP,2016,628286,1802170
ITC,LOW,2017,443400,1808628
ITC,PRI,2017,732222,1808628
ITC,UPP,2017,633006,1808628
ITC,LOW,2018,446989,1811283
ITC,PRI,2018,726776,1811283
ITC,UPP,2018,637518,1811283
ITC,LOW,2019,449831,1808731
ITC,PRI,2019,718804,1808731
ITC,UPP,2019,640096,1808731
ITC,LOW,2020,454140,1802166
ITC,PRI,2020,705948,1802166
ITC,UPP,2020,642078,1802166
ITC,LOW,2021,452247,1795863
ITC,PRI,2021,687765,1795863
ITC,UPP,2021,655851,1795863
ITC,LOW,2022,449170,1778033
ITC,PRI,2022,673233,1778033
ITC,UPP,2022,655630,1778033
ITC,LOW,2023,445589,1766187
ITC,PRI,2023,664865,1766187
ITC,UPP,2023,655733,1766187
ITC,LOW,2024,439954,1751563
ITC,PRI,2024,650821,1751563
ITC,UPP,2024,660788,1751563
ITC1,LOW,2015,117169,479043
ITC1,PRI,2015,191290,479043
ITC1,UPP,2015,170584,479043
ITC1,LOW,2016,117010,480167
ITC1,PRI,2016,191211,480167
ITC1,UPP,2016,171946,480167
ITC1,LOW,2017,117033,480312
ITC1,PRI,2017,190258,480312
ITC1,UPP,2017,173021,480312
ITC1,LOW,2018,116875,479393
ITC1,PRI,2018,188516,479393
ITC1,UPP,2018,174002,479393
ITC1,LOW,2019,117185,477516
ITC1,PRI,2019,185943,477516
ITC1,UPP,2019,174388,477516
ITC1,LOW,2020,117845,474177
ITC1,PRI,2020,182025,474177
ITC1,UPP,2020,174307,474177
ITC1,LOW,2021,117200,472766
ITC1,PRI,2021,177669,472766
ITC1,UPP,2021,177897,472766
ITC1,LOW,2022,116125,468072
ITC1,PRI,2022,173613,468072
ITC1,UPP,2022,178334,468072
ITC1,LOW,2023,115026,464059
ITC1,PRI,2023,171079,464059
ITC1,UPP,2023,177954,464059
ITC1,LOW,2024,113594,459237
ITC1,PRI,2024,166754,459237
ITC1,UPP,2024,178889,459237
ITC11,LOW,2015,61005,251291
ITC11,PRI,2015,100855,251291
ITC11,UPP,2015,89431,251291
ITC11,LOW,2016,61358,252608
ITC11,PRI,2016,100874,252608
ITC11,UPP,2016,90376,252608
ITC11,LOW,2017,61688,253123
ITC11,PRI,2017,100455,253123
ITC11,UPP,2017,90980,253123
ITC11,LOW,2018,61579,252823
ITC11,PRI,2018,99668,252823
ITC11,UPP,2018,91576,252823
ITC11,LOW,2019,61585,252020
ITC11,PRI,2019,98336,252020
ITC11,UPP,2019,92099,252020
ITC11,LOW,2020,61864,250114
ITC11,PRI,2020,95827,250114
ITC11,UPP,2020,92423,250114
ITC11,LOW,2021,61600,249348
ITC11,PRI,2021,93467,249348
ITC11,UPP,2021,94281,249348
ITC11,LOW,2022,61059,246729
ITC11,PRI,2022,90905,246729
ITC11,UPP,2022,94765,246729
ITC11,LOW,2023,60241,243675
ITC11,PRI,2023,88962,243675
ITC11,UPP,2023,94472,243675
ITC11,LOW,2024,59238,240723
ITC11,PRI,2024,86507,240723
ITC11,UPP,2024,94978,240723
ITC12,LOW,2015,4539,19268
ITC12,PRI,2015,7010,19268
ITC12,UPP,2015,7719,19268
ITC12,LOW,2016,4471,19102
ITC12,PRI,2016,7045,19102
ITC12,UPP,2016,7586,19102
ITC12,LOW,2017,4349,18704
ITC12,PRI,2017,6934,18704
ITC12,UPP,2017,7421,18704
ITC12,LOW,2018,4288,18358
ITC12,PRI,2018,6807,18358
ITC12,UPP,2018,7263,18358
ITC12,LOW,2019,4374,18244
ITC12,PRI,2019,6682,18244
ITC12,UPP,2019,7188,18244
ITC12,LOW,2020,4358,17997
ITC12,PRI,2020,6542,17997
ITC12,UPP,2020,7097,17997
ITC12,LOW,2021,4329,17833
ITC12,PRI,2021,6422,17833
ITC12,UPP,2021,7082,17833
ITC12,LOW,2022,4241,17433
ITC12,PRI,2022,6315,17433
ITC12,UPP,2022,6877,17433
ITC12,LOW,2023,4225,17396
ITC12,PRI,2023,6295,17396
ITC12,UPP,2023,6876,17396
ITC12,LOW,2024,4204,17365
ITC12,PRI,2024,6151,17365
ITC12,UPP,2024,7010,17365
ITC13,LOW,2015,4479,18350
ITC13,PRI,2015,7067,18350
ITC13,UPP,2015,6804,18350
ITC13,LOW,2016,4427,18241
ITC13,PRI,2016,6969,18241
ITC13,UPP,2016,6845,18241
ITC13,LOW,2017,4329,18013
ITC13,PRI,2017,6853,18013
ITC13,UPP,2017,6831,18013
ITC13,LOW,2018,4306,17900
ITC13,PRI,2018,6665,17900
ITC13,UPP,2018,6929,17900
ITC13,LOW,2019,4342,17671
ITC13,PRI,2019,6541,17671
ITC13,UPP,2019,6788,17671
ITC13,LOW,2020,4307,17226
ITC13,PRI,2020,6326,17226
ITC13,UPP,2020,6593,17226
ITC13,LOW,2021,4175,16905
ITC13,PRI,2021,6068,16905
ITC13,UPP,2021,6662,16905
ITC13,LOW,2022,4085,16494
ITC13,PRI,2022,5849,16494
ITC13,UPP,2022,6560,16494
ITC13,LOW,2023,4019,16194
ITC13,PRI,2023,5794,16194
ITC13,UPP,2023,6381,16194
ITC13,LOW,2024,3961,15834
ITC13,PRI,2024,5555,15834
ITC13,UPP,2024,6318,15834
ITC14,LOW,2015,4114,17510
ITC14,PRI,2015,6378,17510
ITC14,UPP,2015,7018,17510
ITC14,LOW,2016,4065,17514
ITC14,PRI,2016,6335,17514
ITC14,UPP,2016,7114,17514
ITC14,LOW,2017,4076,17537
ITC14,PRI,2017,6313,17537
ITC14,UPP,2017,7148,17537
ITC14,LOW,2018,4022,17383
ITC14,PRI,2018,6229,17383
ITC14,UPP,2018,7132,17383
ITC14,LOW,2019,3949,17366
ITC14,PRI,2019,6160,17366
ITC14,UPP,2019,7257,17366
ITC14,LOW,2020,3924,17083
ITC14,PRI,2020,6004,17083
ITC14,UPP,2020,7155,17083
ITC14,LOW,2021,3851,16989
ITC14,PRI,2021,5823,16989
ITC14,UPP,2021,7315,16989
ITC14,LOW,2022,3825,16653
ITC14,PRI,2022,5633,16653
ITC14,UPP,2022,7195,16653
ITC14,LOW,2023,3851,16509
ITC14,PRI,2023,5542,16509
ITC14,UPP,2023,7116,16509
ITC14,LOW,2024,3769,16341
ITC14,PRI,2024,5365,16341
ITC14,UPP,2024,7207,16341
ITC15,LOW,2015,10112,40222
ITC15,PRI,2015,16627,40222
ITC15,UPP,2015,13483,40222
ITC15,LOW,2016,10179,40381
ITC15,PRI,2016,16622,40381
ITC15,UPP,2016,13580,40381
ITC15,LOW,2017,10113,40642
ITC15,PRI,2017,16639,40642
ITC15,UPP,2017,13890,40642
ITC15,LOW,2018,10241,40836
ITC15,PRI,2018,16483,40836
ITC15,UPP,2018,14112,40836
ITC15,LOW,2019,10386,40851
ITC15,PRI,2019,16270,40851
ITC15,UPP,2019,14195,40851
ITC15,LOW,2020,10525,40926
ITC15,PRI,2020,16130,40926
ITC15,UPP,2020,14271,40926
ITC15,LOW,2021,10436,41031
ITC15,PRI,2021,15800,41031
ITC15,UPP,2021,14795,41031
ITC15,LOW,2022,10325,40852
ITC15,PRI,2022,15506,40852
ITC15,UPP,2022,15021,40852
ITC15,LOW,2023,10323,40738
ITC15,PRI,2023,15352,40738
ITC15,UPP,2023,15063,40738
ITC15,LOW,2024,10307,40498
ITC15,PRI,2024,15045,40498
ITC15,UPP,2024,15146,40498
ITC16,LOW,2015,16778,68542
ITC16,PRI,2015,27235,68542
ITC16,UPP,2015,24529,68542
ITC16,LOW,2016,16553,68805
ITC16,PRI,2016,27363,68805
ITC16,UPP,2016,24889,68805
ITC16,LOW,2017,16604,68870
