area_code,year,total_enrolled,stem_enrolled,stem_participation_rate
1001,2015,51,5.0,9.803921568627452
1001,2016,42,6.0,14.285714285714285
1001,2017,46,4.0,8.695652173913043
1002,2015,76,20.0,26.31578947368421
1002,2016,70,22.0,31.428571428571427
1002,2017,69,24.0,34.78260869565217
1003,2015,10,0.0,0.0
1003,2016,11,1.0,9.090909090909092
1003,2017,9,0.0,0.0
1004,2015,39,7.0,17.94871794871795
1004,2016,30,5.0,16.666666666666664
1004,2017,35,5.0,14.285714285714285
1005,2015,12,2.0,16.666666666666664
1005,2016,13,2.0,15.384615384615385
1005,2017,18,4.0,22.22222222222222
1006,2015,160,41.0,25.624999999999996
1006,2016,160,42.0,26.25
1006,2017,173,48.0,27.74566473988439
1007,2015,5,1.0,20.0
1007,2016,5,1.0,20.0
1007,2017,2,1.0,50.0
1008,2015,408,111.0,27.205882352941174
1008,2016,383,122.0,31.853785900783286
1008,2017,404,119.0,29.455445544554454
1009,2015,39,8.0,20.51282051282051
1009,2016,39,8.0,20.51282051282051
1009,2017,41,10.0,24.390243902439025
1010,2015,10,2.0,20.0
1010,2016,7,1.0,14.285714285714285
1010,2017,9,1.0,11.11111111111111
1011,2015,13,3.0,23.076923076923077
1011,2016,15,3.0,20.0
1011,2017,16,4.0,25.0
1012,2015,25,4.0,16.0
1012,2016,15,4.0,26.666666666666668
1012,2017,14,4.0,28.57142857142857
1013,2015,283,66.0,23.32155477031802
1013,2016,292,81.0,27.73972602739726
1013,2017,277,72.0,25.992779783393498
1014,2015,28,8.0,28.57142857142857
1014,2016,26,8.0,30.76923076923077
1014,2017,23,6.0,26.08695652173913
1015,2015,15,3.0,20.0
1015,2016,12,0.0,0.0
1015,2017,12,2.0,16.666666666666664
1016,2015,68,18.0,26.47058823529412
1016,2016,64,17.0,26.5625
1016,2017,65,23.0,35.38461538461539
1017,2015,11,0.0,0.0
1017,2016,11,2.0,18.181818181818183
1017,2017,11,3.0,27.27272727272727
1018,2015,138,27.0,19.565217391304348
1018,2016,158,34.0,21.518987341772153
1018,2017,161,38.0,23.60248447204969
1019,2015,3,2.0,66.66666666666666
1019,2016,5,2.0,40.0
1019,2017,5,2.0,40.0
1020,2015,56,11.0,19.642857142857142
1020,2016,66,15.0,22.727272727272727
1020,2017,61,15.0,24.59016393442623
1021,2015,28,8.0,28.57142857142857
1021,2016,31,9.0,29.03225806451613
1021,2017,30,11.0,36.666666666666664
1022,2015,79,15.0,18.9873417721519
1022,2016,82,13.0,15.853658536585366
1022,2017,84,14.0,16.666666666666664
1023,2015,13,3.0,23.076923076923077
1023,2016,17,6.0,35.294117647058826
1023,2017,16,6.0,37.5
1024,2015,379,79.0,20.844327176781004
1024,2016,349,74.0,21.20343839541547
1024,2017,382,83.0,21.727748691099478
1025,2015,51,17.0,33.33333333333333
1025,2016,48,15.0,31.25
1025,2017,51,17.0,33.33333333333333
1026,2015,11,2.0,18.181818181818183
1026,2016,9,2.0,22.22222222222222
1026,2017,9,2.0,22.22222222222222
1027,2015,39,6.0,15.384615384615385
1027,2016,39,9.0,23.076923076923077
1027,2017,41,10.0,24.390243902439025
1028,2015,284,59.0,20.774647887323944
1028,2016,288,66.0,22.916666666666664
1028,2017,317,77.0,24.290220820189273
1029,2015,10,0.0,0.0
1029,2016,11,0.0,0.0
1029,2017,8,0.0,0.0
1030,2015,58,15.0,25.862068965517242
1030,2016,66,14.0,21.21212121212121
1030,2017,77,19.0,24.675324675324674
1031,2015,13,5.0,38.46153846153847
1031,2016,10,4.0,40.0
1031,2017,14,5.0,35.714285714285715
1032,2015,40,11.0,27.500000000000004
1032,2016,41,15.0,36.58536585365854
1032,2017,40,16.0,40.0
1033,2015,45,17.0,37.77777777777778
1033,2016,51,15.0,29.411764705882355
1033,2017,58,17.0,29.310344827586203
1034,2015,152,29.0,19.078947368421055
1034,2016,159,30.0,18.867924528301888
1034,2017,166,34.0,20.481927710843372
1035,2015,95,29.0,30.526315789473685
1035,2016,100,28.0,28.000000000000004
1035,2017,96,25.0,26.041666666666668
1036,2015,5,0.0,0.0
1036,2016,6,0.0,0.0
1036,2017,7,0.0,0.0
1037,2015,10,4.0,40.0
1037,2016,10,4.0,40.0
1037,2017,12,3.0,25.0
1038,2015,197,50.0,25.380710659898476
1038,2016,207,48.0,23.18840579710145
1038,2017,235,50.0,21.27659574468085
1039,2015,32,6.0,18.75
1039,2016,30,6.0,20.0
1039,2017,25,4.0,16.0
1040,2015,23,7.0,30.434782608695656
1040,2016,27,6.0,22.22222222222222
1040,2017,28,8.0,28.57142857142857
1041,2015,34,8.0,23.52941176470588
1041,2016,38,8.0,21.052631578947366
1041,2017,42,11.0,26.190476190476193
1042,2015,21,7.0,33.33333333333333
1042,2016,25,7.0,28.000000000000004
1042,2017,28,7.0,25.0
1043,2015,16,2.0,12.5
1043,2016,14,2.0,14.285714285714285
1043,2017,22,4.0,18.181818181818183
1044,2015,152,33.0,21.710526315789476
1044,2016,142,36.0,25.352112676056336
1044,2017,141,35.0,24.822695035460992
1045,2015,152,41.0,26.973684210526315
1045,2016,145,38.0,26.20689655172414
1045,2017,149,29.0,19.463087248322147
1046,2015,79,21.0,26.582278481012654
1046,2016,71,20.0,28.169014084507044
1046,2017,66,24.0,36.36363636363637
1047,2015,145,41.0,28.27586206896552
1047,2016,144,46.0,31.944444444444443
1047,2017,149,49.0,32.88590604026846
1048,2015,164,42.0,25.609756097560975
1048,2016,161,38.0,23.60248447204969
1048,2017,170,45.0,26.47058823529412
1049,2015,19,4.0,21.052631578947366
1049,2016,20,6.0,30.0
1049,2017,24,8.0,33.33333333333333
1050,2015,22,6.0,27.27272727272727
1050,2016,23,6.0,26.08695652173913
1050,2017,27,8.0,29.629629629629626
1051,2015,155,29.0,18.70967741935484
1051,2016,139,24.0,17.26618705035971
1051,2017,143,32.0,22.377622377622377
1052,2015,1,0.0,0.0
1052,2016,1,0.0,0.0
1052,2017,1,0.0,0.0
1053,2015,58,13.0,22.413793103448278
1053,2016,57,13.0,22.807017543859647
1053,2017,62,18.0,29.03225806451613
1054,2015,8,1.0,12.5
1054,2016,11,2.0,18.181818181818183
1054,2017,13,3.0,23.076923076923077
1055,2015,49,10.0,20.408163265306122
1055,2016,43,6.0,13.953488372093023
1055,2017,45,10.0,22.22222222222222
1056,2015,18,3.0,16.666666666666664
1056,2016,17,6.0,35.294117647058826
1056,2017,16,5.0,31.25
1057,2015,11,2.0,18.181818181818183
1057,2016,12,2.0,16.666666666666664
1057,2017,10,3.0,30.0
1058,2015,150,37.0,24.666666666666668
1058,2016,151,35.0,23.178807947019866
1058,2017,169,37.0,21.893491124260358
1059,2015,524,123.0,23.473282442748094
1059,2016,530,136.0,25.660377358490567
1059,2017,543,147.0,27.071823204419886
1060,2015,43,12.0,27.906976744186046
1060,2016,44,9.0,20.454545454545457
1060,2017,52,9.0,17.307692307692307
1061,2015,30,9.0,30.0
1061,2016,30,7.0,23.333333333333332
1061,2017,33,7.0,21.21212121212121
1062,2015,65,17.0,26.153846153846157
1062,2016,71,15.0,21.12676056338028
1062,2017,71,20.0,28.169014084507044
1063,2015,428,100.0,23.364485981308412
1063,2016,433,97.0,22.401847575057737
1063,2017,438,98.0,22.37442922374429
1064,2015,62,20.0,32.25806451612903
1064,2016,63,22.0,34.92063492063492
1064,2017,61,25.0,40.98360655737705
1065,2015,34,6.0,17.647058823529413
1065,2016,31,6.0,19.35483870967742
1065,2017,30,5.0,16.666666666666664
1066,2015,171,50.0,29.239766081871345
1066,2016,158,48.0,30.37974683544304
1066,2017,174,46.0,26.436781609195403
1067,2015,4,0.0,0.0
1067,2016,5,0.0,0.0
1067,2017,3,0.0,0.0
1068,2015,218,55.0,25.229357798165136
1068,2016,205,56.0,27.31707317073171
1068,2017,209,53.0,25.358851674641148
1069,2015,60,15.0,25.0
1069,2016,50,16.0,32.0
1069,2017,49,18.0,36.734693877551024
1070,2015,104,28.0,26.923076923076923
1070,2016,98,31.0,31.63265306122449
1070,2017,102,32.0,31.372549019607842
1071,2015,20,6.0,30.0
1071,2016,24,10.0,41.66666666666667
1071,2017,28,10.0,35.714285714285715
1072,2015,26,6.0,23.076923076923077
1072,2016,23,5.0,21.73913043478261
1072,2017,28,5.0,17.857142857142858
1073,2015,1,0.0,0.0
1073,2016,5,1.0,20.0
1073,2017,6,1.0,16.666666666666664
1074,2015,15,3.0,20.0
1074,2016,13,3.0,23.076923076923077
1074,2017,14,2.0,14.285714285714285
1075,2015,2,1.0,50.0
1075,2016,3,1.0,33.33333333333333
1075,2017,4,1.0,25.0
1076,2015,44,15.0,34.090909090909086
1076,2016,39,15.0,38.46153846153847
1076,2017,44,14.0,31.818181818181817
1077,2015,58,11.0,18.96551724137931
1077,2016,59,16.0,27.11864406779661
1077,2017,61,15.0,24.59016393442623
1078,2015,936,195.0,20.833333333333336
1078,2016,972,219.0,22.530864197530864
1078,2017,992,219.0,22.076612903225808
1079,2015,5,1.0,20.0
1079,2016,3,1.0,33.33333333333333
1079,2017,2,0.0,0.0
1080,2015,18,5.0,27.77777777777778
1080,2016,19,5.0,26.31578947368421
1080,2017,20,6.0,30.0
1081,2015,40,3.0,7.5
1081,2016,47,4.0,8.51063829787234
1081,2017,42,4.0,9.523809523809524
1082,2015,654,147.0,22.477064220183486
1082,2016,646,154.0,23.8390092879257
1082,2017,637,157.0,24.646781789638933
1083,2015,9,1.0,11.11111111111111
1083,2016,7,1.0,14.285714285714285
1083,2017,10,1.0,10.0
1084,2015,2,0.0,0.0
1084,2017,1,0.0,0.0
1085,2015,11,3.0,27.27272727272727
1085,2016,8,2.0,25.0
1085,2017,9,4.0,44.44444444444444
1086,2015,413,96.0,23.24455205811138
1086,2016,449,102.0,22.717149220489976
1086,2017,477,104.0,21.80293501048218
1087,2015,12,3.0,25.0
1087,2016,8,2.0,25.0
1087,2017,9,2.0,22.22222222222222
1088,2015,30,10.0,33.33333333333333
