area_code,year,electricity_price_proxy
2,2001,78.7
2,2002,75.3
2,2003,76.0
2,2005,70.6
2,2006,72.0
2,2007,71.9
2,2008,69.3
2,2009,71.8
2,2010,66.8
2,2011,59.7
2,2012,62.8
2,2013,56.0
2,2014,54.6
2,2015,54.2
2,2016,57.3
2,2017,58.9
2,2018,53.3
2,2019,57.9
2,2020,58.7
2,2021,58.7
2,2022,59.3
2,2023,58.6
2,2024,59.3
2,2025,58.4
3,2001,74.5
3,2002,73.7
3,2003,73.4
3,2005,73.9
3,2006,72.0
3,2007,75.4
3,2008,64.9
3,2009,64.1
3,2010,65.5
3,2011,63.0
3,2012,65.1
3,2013,59.5
3,2014,60.4
3,2015,57.0
3,2016,60.5
3,2017,59.0
3,2018,56.3
3,2019,61.1
3,2020,64.0
3,2021,64.6
3,2022,60.7
3,2023,62.0
3,2024,57.9
3,2025,61.3
6,2001,76.9
6,2002,79.6
6,2003,73.9
6,2005,72.4
6,2006,67.5
6,2007,68.7
6,2008,69.5
6,2009,70.9
6,2010,66.0
6,2011,65.7
6,2012,67.1
6,2013,54.5
6,2014,64.7
6,2015,62.1
6,2016,68.8
6,2017,59.6
6,2018,58.1
6,2019,62.6
6,2020,64.5
6,2021,68.0
6,2022,63.2
6,2023,62.1
6,2024,59.7
6,2025,61.5
7,2001,76.8
7,2002,75.3
7,2003,72.1
7,2005,70.5
7,2006,72.8
7,2007,73.2
7,2008,63.5
7,2009,70.6
7,2010,68.0
7,2011,66.9
7,2012,65.5
7,2013,60.5
7,2014,61.6
7,2015,62.5
7,2016,63.1
7,2017,61.7
7,2018,61.4
7,2019,64.6
7,2020,64.2
7,2021,64.8
7,2022,62.9
7,2023,62.6
7,2024,64.4
7,2025,60.3
8,2001,75.9
8,2002,70.4
8,2003,73.3
8,2005,69.3
8,2006,69.0
8,2007,71.5
8,2008,65.1
8,2009,66.6
8,2010,65.9
8,2011,66.6
8,2012,62.1
8,2013,57.7
8,2014,61.7
8,2015,62.8
8,2016,63.7
8,2017,64.4
8,2018,57.0
8,2019,62.9
8,2020,65.2
8,2021,63.4
8,2022,62.0
8,2023,63.9
8,2024,60.8
8,2025,56.2
9,2001,77.5
9,2002,74.1
9,2003,72.7
9,2005,75.1
9,2006,72.7
9,2007,71.8
9,2008,69.2
9,2009,68.0
9,2010,65.9
9,2011,66.4
9,2012,64.2
9,2013,62.0
9,2014,58.0
9,2015,60.0
9,2016,66.2
9,2017,60.9
9,2018,56.2
9,2019,62.0
9,2020,64.6
9,2021,62.9
9,2022,61.9
9,2023,61.4
9,2024,58.1
9,2025,58.2
IT,2001,76.8
IT,2002,74.0
IT,2003,73.4
IT,2005,71.5
IT,2006,71.3
IT,2007,72.3
IT,2008,66.4
IT,2009,68.6
IT,2010,66.5
IT,2011,65.0
IT,2012,64.0
IT,2013,58.8
IT,2014,59.9
IT,2015,60.1
IT,2016,62.9
IT,2017,61.4
IT,2018,57.2
IT,2019,62.0
IT,2020,63.6
IT,2021,63.3
IT,2022,61.6
IT,2023,62.0
IT,2024,60.4
IT,2025,58.9
ITC,2001,82.7
ITC,2002,82.1
ITC,2003,79.7
ITC,2005,78.5
ITC,2006,78.6
ITC,2007,75.8
ITC,2008,72.5
ITC,2009,71.0
ITC,2010,71.4
ITC,2011,69.4
ITC,2012,69.4
ITC,2013,62.3
ITC,2014,64.0
ITC,2015,60.5
ITC,2016,66.3
ITC,2017,64.8
ITC,2018,61.6
ITC,2019,63.6
ITC,2020,67.1
ITC,2021,65.2
ITC,2022,64.2
ITC,2023,62.8
ITC,2024,61.8
ITC,2025,61.6
ITC1,2001,81.7
ITC1,2002,81.8
ITC1,2003,81.7
ITC1,2005,73.8
ITC1,2006,77.7
ITC1,2007,75.2
ITC1,2008,72.4
ITC1,2009,68.9
ITC1,2010,69.5
ITC1,2011,66.2
ITC1,2012,67.3
ITC1,2013,59.6
ITC1,2014,62.0
ITC1,2015,56.9
ITC1,2016,64.4
ITC1,2017,61.0
ITC1,2018,57.2
ITC1,2019,64.3
ITC1,2020,64.7
ITC1,2021,64.5
ITC1,2022,60.8
ITC1,2023,62.3
ITC1,2024,59.2
ITC1,2025,60.0
ITC2,2001,83.6
ITC2,2002,83.7
ITC2,2003,83.0
ITC2,2005,80.6
ITC2,2006,78.8
ITC2,2007,83.6
ITC2,2008,75.3
ITC2,2009,72.8
ITC2,2010,69.8
ITC2,2011,70.9
ITC2,2012,68.1
ITC2,2013,68.9
ITC2,2014,70.5
ITC2,2015,70.4
ITC2,2016,73.3
ITC2,2017,73.9
ITC2,2018,67.0
ITC2,2019,72.0
ITC2,2020,76.6
ITC2,2021,71.5
ITC2,2022,69.7
ITC2,2023,71.1
ITC2,2024,74.2
ITC2,2025,70.9
ITC3,2001,84.8
ITC3,2002,80.9
ITC3,2003,80.4
ITC3,2005,80.4
ITC3,2006,82.7
ITC3,2007,77.9
ITC3,2008,80.4
ITC3,2009,77.4
ITC3,2010,77.8
ITC3,2011,76.5
ITC3,2012,73.6
ITC3,2013,70.2
ITC3,2014,70.2
ITC3,2015,64.9
ITC3,2016,69.3
ITC3,2017,65.1
ITC3,2018,60.5
ITC3,2019,66.0
ITC3,2020,68.6
ITC3,2021,63.8
ITC3,2022,66.4
ITC3,2023,65.1
ITC3,2024,60.8
ITC3,2025,61.0
ITC4,2001,82.8
ITC4,2002,82.4
ITC4,2003,78.6
ITC4,2005,80.4
ITC4,2006,78.2
ITC4,2007,75.6
ITC4,2008,71.1
ITC4,2009,70.9
ITC4,2010,71.2
ITC4,2011,69.5
ITC4,2012,69.7
ITC4,2013,62.1
ITC4,2014,63.7
ITC4,2015,61.3
ITC4,2016,66.5
ITC4,2017,66.4
ITC4,2018,63.7
ITC4,2019,62.7
ITC4,2020,67.9
ITC4,2021,65.6
ITC4,2022,65.3
ITC4,2023,62.6
ITC4,2024,63.0
ITC4,2025,62.3
ITCD,2001,82.3
ITCD,2002,80.0
ITCD,2003,78.3
ITCD,2005,76.2
ITCD,2006,76.5
ITCD,2007,75.8
ITCD,2008,70.8
ITCD,2009,70.2
ITCD,2010,70.2
ITCD,2011,67.6
ITCD,2012,67.1
ITCD,2013,61.5
ITCD,2014,64.3
ITCD,2015,61.7
ITCD,2016,65.2
ITCD,2017,64.3
ITCD,2018,60.3
ITCD,2019,64.1
ITCD,2020,65.8
ITCD,2021,65.2
ITCD,2022,63.8
ITCD,2023,63.2
ITCD,2024,61.7
ITCD,2025,60.8
ITD,2001,81.7
ITD,2002,77.0
ITD,2003,76.1
ITD,2005,72.9
ITD,2006,73.4
ITD,2007,75.7
ITD,2008,68.2
ITD,2009,69.0
ITD,2010,68.5
ITD,2011,65.1
ITD,2012,63.7
ITD,2013,60.4
ITD,2014,64.6
ITD,2015,63.3
ITD,2016,63.6
ITD,2017,63.7
ITD,2018,58.4
ITD,2019,64.8
ITD,2020,63.8
ITD,2021,65.2
ITD,2022,63.1
ITD,2023,63.7
ITD,2024,61.5
ITD,2025,59.6
ITD1,2001,85.4
ITD1,2002,79.3
ITD1,2003,85.4
ITD1,2005,81.9
ITD1,2006,82.2
ITD1,2007,82.8
ITD1,2008,78.2
ITD1,2009,76.4
ITD1,2010,75.7
ITD1,2011,80.0
ITD1,2012,73.9
ITD1,2013,72.9
ITD1,2014,70.9
ITD1,2015,74.3
ITD1,2016,80.4
ITD1,2017,80.6
ITD1,2018,72.2
ITD1,2019,76.5
ITD1,2020,75.2
ITD1,2021,79.0
ITD1,2022,72.8
ITD1,2023,70.0
ITD1,2024,69.3
ITD1,2025,76.9
ITD2,2001,86.3
ITD2,2002,85.5
ITD2,2003,81.3
ITD2,2005,81.4
ITD2,2006,74.6
ITD2,2007,77.4
ITD2,2008,73.4
ITD2,2009,69.6
ITD2,2010,67.5
ITD2,2011,72.8
ITD2,2012,75.6
ITD2,2013,74.9
ITD2,2014,74.8
ITD2,2015,81.1
ITD2,2016,77.4
ITD2,2017,75.6
ITD2,2018,71.5
ITD2,2019,77.0
ITD2,2020,74.7
ITD2,2021,73.8
ITD2,2022,71.7
ITD2,2023,72.7
ITD2,2024,70.1
ITD2,2025,72.9
ITD3,2001,83.7
ITD3,2002,76.2
ITD3,2003,75.1
ITD3,2005,73.7
ITD3,2006,72.4
ITD3,2007,79.7
ITD3,2008,69.1
ITD3,2009,67.2
ITD3,2010,68.6
ITD3,2011,65.0
ITD3,2012,64.6
ITD3,2013,56.0
ITD3,2014,62.0
ITD3,2015,59.8
ITD3,2016,64.6
ITD3,2017,61.4
ITD3,2018,57.7
ITD3,2019,65.9
ITD3,2020,66.7
ITD3,2021,64.2
ITD3,2022,61.1
ITD3,2023,62.6
ITD3,2024,61.2
ITD3,2025,58.3
ITD4,2001,80.6
ITD4,2002,74.6
ITD4,2003,75.8
ITD4,2005,76.6
ITD4,2006,78.7
ITD4,2007,76.6
ITD4,2008,69.5
ITD4,2009,72.0
ITD4,2010,66.0
ITD4,2011,68.2
ITD4,2012,67.4
ITD4,2013,65.8
ITD4,2014,66.0
ITD4,2015,63.4
ITD4,2016,66.5
ITD4,2017,67.7
ITD4,2018,60.2
ITD4,2019,61.1
ITD4,2020,59.9
ITD4,2021,64.5
ITD4,2022,66.4
ITD4,2023,65.7
ITD4,2024,63.7
ITD4,2025,62.0
ITD5,2001,79.2
ITD5,2002,77.1
ITD5,2003,75.7
ITD5,2005,69.1
ITD5,2006,71.8
ITD5,2007,70.4
ITD5,2008,65.3
ITD5,2009,69.2
ITD5,2010,68.5
ITD5,2011,61.8
ITD5,2012,59.2
ITD5,2013,60.3
ITD5,2014,65.0
ITD5,2015,63.6
ITD5,2016,58.3
ITD5,2017,61.7
ITD5,2018,55.6
ITD5,2019,62.1
ITD5,2020,59.2
ITD5,2021,63.8
ITD5,2022,62.2
ITD5,2023,62.4
ITD5,2024,59.2
ITD5,2025,56.7
ITDA,2001,85.9
ITDA,2002,82.5
ITDA,2003,83.2
ITDA,2005,81.6
ITDA,2006,78.3
ITDA,2007,80.0
ITDA,2008,75.7
ITDA,2009,72.9
ITDA,2010,71.4
ITDA,2011,76.2
ITDA,2012,74.8
ITDA,2013,73.9
ITDA,2014,72.9
ITDA,2015,77.9
ITDA,2016,78.9
ITDA,2017,78.0
ITDA,2018,71.9
ITDA,2019,76.8
ITDA,2020,75.0
ITDA,2021,76.4
ITDA,2022,72.2
ITDA,2023,71.4
ITDA,2024,69.7
ITDA,2025,74.9
ITE,2001,75.4
ITE,2002,71.5
ITE,2003,71.9
ITE,2005,70.0
ITE,2006,69.1
ITE,2007,71.8
ITE,2008,66.0
ITE,2009,70.1
ITE,2010,66.1
ITE,2011,62.9
ITE,2012,64.5
ITE,2013,56.7
ITE,2014,54.9
ITE,2015,58.2
ITE,2016,61.7
ITE,2017,61.1
ITE,2018,53.9
ITE,2019,60.3
ITE,2020,60.1
ITE,2021,59.6
ITE,2022,59.3
ITE,2023,60.3
ITE,2024,59.0
ITE,2025,56.4
ITE1,2001,79.4
ITE1,2002,72.1
ITE1,2003,70.7
ITE1,2005,72.5
ITE1,2006,69.1
ITE1,2007,72.4
ITE1,2008,66.4
ITE1,2009,71.0
ITE1,2010,66.2
ITE1,2011,69.7
ITE1,2012,62.9
ITE1,2013,57.4
ITE1,2014,57.8
ITE1,2015,61.6
ITE1,2016,66.3
ITE1,2017,64.7
ITE1,2018,55.8
ITE1,2019,60.6
ITE1,2020,62.3
ITE1,2021,62.0
ITE1,2022,60.2
ITE1,2023,63.3
ITE1,2024,59.9
ITE1,2025,58.3
ITE2,2001,81.2
ITE2,2002,79.9
ITE2,2003,72.3
ITE2,2005,75.0
ITE2,2006,73.8
ITE2,2007,80.1
ITE2,2008,75.5
ITE2,2009,67.3
ITE2,2010,70.6
ITE2,2011,63.1
ITE2,2012,66.1
ITE2,2013,66.3
ITE2,2014,66.8
ITE2,2015,64.1
ITE2,2016,68.8
ITE2,2017,58.3
ITE2,2018,54.3
ITE2,2019,61.6
ITE2,2020,69.4
ITE2,2021,68.0
ITE2,2022,56.5
ITE2,2023,58.0
ITE2,2024,59.0
ITE2,2025,56.3
ITE3,2001,73.4
ITE3,2002,75.1
ITE3,2003,75.4
ITE3,2005,76.7
ITE3,2006,73.9
ITE3,2007,72.8
ITE3,2008,69.5
ITE3,2009,68.0
ITE3,2010,70.6
ITE3,2011,70.9
ITE3,2012,69.0
ITE3,2013,62.0
ITE3,2014,63.3
ITE3,2015,68.0
ITE3,2016,68.0
ITE3,2017,62.8
ITE3,2018,64.5
ITE3,2019,65.0
ITE3,2020,63.5
ITE3,2021,64.4
ITE3,2022,61.4
ITE3,2023,62.7
ITE3,2024,60.8
ITE3,2025,57.6
ITE4,2001,72.4
ITE4,2002,68.9
ITE4,2003,71.7
ITE4,2005,65.5
ITE4,2006,67.1
ITE4,2007,69.8
ITE4,2008,63.3
ITE4,2009,70.5
ITE4,2010,64.1
ITE4,2011,56.3
ITE4,2012,64.1
ITE4,2013,53.4
ITE4,2014,49.3
ITE4,2015,52.9
ITE4,2016,56.1
ITE4,2017,58.9
ITE4,2018,50.0
ITE4,2019,58.7
ITE4,2020,56.5
ITE4,2021,55.7
ITE4,2022,58.7
ITE4,2023,58.1
ITE4,2024,58.0
ITE4,2025,54.9
ITF,2001,69.3
ITF,2002,66.1
ITF,2003,69.5
ITF,2005,65.4
ITF,2006,66.2
ITF,2007,67.9
ITF,2008,60.9
ITF,2009,67.7
ITF,2010,61.5
ITF,2011,64.2
ITF,2012,60.9
ITF,2013,56.2
ITF,2014,57.2
ITF,2015,57.8
ITF,2016,61.2
ITF,2017,59.1
ITF,2018,54.6
ITF,2019,59.8
ITF,2020,62.6
ITF,2021,63.3
ITF,2022,57.7
ITF,2023,60.8
ITF,2024,59.1
ITF,2025,56.9
ITF1,2001,68.9
ITF1,2002,72.3
ITF1,2003,71.1
ITF1,2005,71.7
ITF1,2006,72.6
ITF1,2007,72.5
ITF1,2008,60.8
ITF1,2009,70.2
ITF1,2010,62.0
ITF1,2011,63.5
ITF1,2012,57.1
ITF1,2013,56.5
ITF1,2014,65.1
ITF1,2015,58.8
ITF1,2016,68.0
ITF1,2017,60.2
ITF1,2018,56.1
ITF1,2019,57.4
ITF1,2020,60.3
ITF1,2021,59.2
ITF1,2022,56.7
ITF1,2023,57.3
ITF1,2024,58.3
ITF1,2025,56.1
ITF2,2001,72.1
ITF2,2002,77.5
ITF2,2003,69.7
ITF2,2005,68.6
ITF2,2006,61.4
ITF2,2007,64.8
ITF2,2008,67.0
ITF2,2009,61.8
ITF2,2010,63.3
ITF2,2011,74.2
ITF2,2012,70.9
ITF2,2013,63.8
ITF2,2014,61.4
ITF2,2015,61.2
ITF2,2016,68.4
ITF2,2017,63.8
ITF2,2018,61.7
ITF2,2019,64.3
ITF2,2020,71.2
ITF2,2021,74.4
ITF2,2022,63.9
ITF2,2023,60.8
ITF2,2024,62.1
ITF2,2025,64.3
ITF3,2001,68.8
ITF3,2002,62.0
ITF3,2003,66.8
ITF3,2005,64.0
ITF3,2006,60.3
ITF3,2007,64.6
ITF3,2008,57.4
ITF3,2009,67.2
ITF3,2010,58.8
ITF3,2011,61.8
ITF3,2012,59.7
ITF3,2013,57.4
ITF3,2014,53.3
ITF3,2015,56.0
ITF3,2016,60.6
ITF3,2017,52.7
ITF3,2018,54.7
ITF3,2019,59.0
ITF3,2020,62.4
ITF3,2021,61.9
ITF3,2022,59.3
ITF3,2023,60.9
ITF3,2024,59.1
ITF3,2025,57.1
ITF4,2001,76.6
ITF4,2002,67.8
ITF4,2003,71.3
ITF4,2005,64.9
ITF4,2006,68.5
ITF4,2007,68.1
ITF4,2008,62.2
ITF4,2009,65.1
ITF4,2010,60.9
ITF4,2011,63.1
ITF4,2012,62.7
ITF4,2013,51.7
ITF4,2014,57.6
ITF4,2015,55.7
ITF4,2016,56.9
ITF4,2017,63.1
ITF4,2018,51.8
ITF4,2019,59.3
ITF4,2020,62.8
ITF4,2021,65.2
ITF4,2022,54.8
ITF4,2023,58.9
ITF4,2024,57.4
ITF4,2025,56.0
ITF5,2001,72.8
ITF5,2002,74.6
ITF5,2003,76.1
ITF5,2005,67.1
ITF5,2006,75.1
ITF5,2007,75.3
ITF5,2008,68.9
ITF5,2009,72.6
ITF5,2010,67.2
ITF5,2011,77.3
ITF5,2012,71.3
ITF5,2013,66.9
ITF5,2014,55.9
ITF5,2015,70.5
ITF5,2016,64.9
ITF5,2017,63.5
ITF5,2018,59.8
ITF5,2019,67.4
ITF5,2020,60.4
ITF5,2021,62.9
ITF5,2022,54.4
ITF5,2023,63.2
ITF5,2024,60.9
ITF5,2025,57.8
ITF6,2001,55.8
ITF6,2002,64.6
ITF6,2003,70.2
ITF6,2005,64.9
ITF6,2006,70.4
ITF6,2007,71.1
ITF6,2008,64.1
ITF6,2009,71.9
ITF6,2010,67.4
ITF6,2011,67.6
ITF6,2012,58.4
ITF6,2013,57.1
ITF6,2014,61.7
ITF6,2015,61.9
ITF6,2016,64.6
ITF6,2017,65.5
ITF6,2018,55.8
ITF6,2019,62.0
ITF6,2020,63.6
ITF6,2021,64.8
ITF6,2022,60.3
ITF6,2023,66.3
