area_code,year,pm10_annual_avg
IT,2013,78.0
IT,2014,78.0
IT,2015,89.0
IT,2016,85.0
IT,2017,84.0
IT,2018,82.0
IT,2019,79.0
IT,2020,71.0
IT,2021,81.0
IT,2022,84.0
IT,2023,70.0
IT108,2013,39.0
IT108,2014,34.0
IT108,2015,39.0
IT108,2016,35.0
IT108,2017,39.0
IT108,2018,33.0
IT108,2019,29.0
IT108,2020,32.0
IT108,2021,28.0
IT108,2022,33.0
IT108,2023,28.0
IT109,2020,0.0
IT109,2021,0.0
IT110,2013,24.0
IT110,2014,23.0
IT110,2015,26.0
IT110,2016,24.0
IT110,2017,23.0
IT110,2018,23.0
IT110,2019,23.0
IT110,2020,23.0
IT110,2021,25.0
IT110,2022,31.0
IT110,2023,31.0
IT111,2013,11.0
IT111,2014,13.0
IT111,2015,14.0
IT111,2016,20.0
IT111,2017,17.0
IT111,2018,13.0
IT111,2019,9.0
IT111,2020,10.0
IT111,2021,11.0
IT111,2022,14.0
IT111,2023,18.0
ITC,2013,23.0
ITC,2014,20.0
ITC,2015,23.0
ITC,2016,22.0
ITC,2017,23.0
ITC,2018,22.0
ITC,2019,20.0
ITC,2020,18.0
ITC,2021,20.0
ITC,2022,22.0
ITC,2023,17.0
ITC1,2013,7.0
ITC1,2014,6.0
ITC1,2015,7.0
ITC1,2016,7.0
ITC1,2017,7.0
ITC1,2018,7.0
ITC1,2019,6.0
ITC1,2020,6.0
ITC1,2021,7.0
ITC1,2022,7.0
ITC1,2023,6.0
ITC11,2013,48.0
ITC11,2014,40.0
ITC11,2015,43.0
ITC11,2016,37.0
ITC11,2017,47.0
ITC11,2018,39.0
ITC11,2019,34.0
ITC11,2020,36.0
ITC11,2021,33.0
ITC11,2022,40.0
ITC11,2023,35.0
ITC12,2013,37.0
ITC12,2014,34.0
ITC12,2015,37.0
ITC12,2016,33.0
ITC12,2017,38.0
ITC12,2018,30.0
ITC12,2019,31.0
ITC12,2020,32.0
ITC12,2021,28.0
ITC12,2022,30.0
ITC12,2023,22.0
ITC13,2013,27.0
ITC13,2014,22.0
ITC13,2015,30.0
ITC13,2016,24.0
ITC13,2017,27.0
ITC13,2018,25.0
ITC13,2019,25.0
ITC13,2020,25.0
ITC13,2021,23.0
ITC13,2022,23.0
ITC13,2023,19.0
ITC14,2013,17.0
ITC14,2014,14.0
ITC14,2015,17.0
ITC14,2016,15.0
ITC14,2017,18.0
ITC14,2018,15.0
ITC14,2019,14.0
ITC14,2020,14.0
ITC14,2021,15.0
ITC14,2022,18.0
ITC14,2023,16.0
ITC15,2013,30.0
ITC15,2014,24.0
ITC15,2015,30.0
ITC15,2016,40.0
ITC15,2017,33.0
ITC15,2018,27.0
ITC15,2019,27.0
ITC15,2020,26.0
ITC15,2021,26.0
ITC15,2022,29.0
ITC15,2023,24.0
ITC16,2013,22.0
ITC16,2014,20.0
ITC16,2015,23.0
ITC16,2016,23.0
ITC16,2017,26.0
ITC16,2018,21.0
ITC16,2019,17.0
ITC16,2020,19.0
ITC16,2021,23.0
ITC16,2022,24.0
ITC16,2023,22.0
ITC17,2013,38.0
ITC17,2014,34.0
ITC17,2015,40.0
ITC17,2016,34.0
ITC17,2017,40.0
ITC17,2018,36.0
ITC17,2019,30.0
ITC17,2020,32.0
ITC17,2021,32.0
ITC17,2022,37.0
ITC17,2023,31.0
ITC18,2013,35.0
ITC18,2014,38.0
ITC18,2015,39.0
ITC18,2016,36.0
ITC18,2017,42.0
ITC18,2018,37.0
ITC18,2019,35.0
ITC18,2020,33.0
ITC18,2021,35.0
