area_code,year,urban_green_availability
IT,2011,31.9
IT,2012,31.9
IT,2013,31.8
IT,2014,31.8
IT,2015,31.5
IT,2016,31.6
IT,2017,32.0
IT,2018,32.1
IT,2019,32.1
IT,2020,32.5
IT,2021,32.9
IT,2022,33.2
IT,2023,33.3
IT108,2011,74.6
IT108,2012,74.3
IT108,2013,73.9
IT108,2014,73.7
IT108,2015,73.5
IT108,2016,73.4
IT108,2017,73.0
IT108,2018,73.0
IT108,2019,72.5
IT108,2020,73.3
IT108,2021,74.3
IT108,2022,74.5
IT108,2023,74.4
IT109,2011,24.1
IT109,2012,24.5
IT109,2013,24.4
IT109,2014,24.3
IT109,2015,24.4
IT109,2016,24.5
IT109,2017,24.6
IT109,2018,24.6
IT109,2019,25.1
IT109,2020,25.7
IT109,2021,26.0
IT109,2022,26.1
IT109,2023,26.2
IT110,2011,5.2
IT110,2012,5.2
IT110,2013,5.2
IT110,2014,5.2
IT110,2015,5.2
IT110,2016,5.2
IT110,2017,5.2
IT110,2018,5.2
IT110,2019,5.3
IT110,2020,5.4
IT110,2021,5.4
IT110,2022,5.5
IT110,2023,5.5
IT111,2011,81.4
IT111,2012,81.9
IT111,2013,82.4
IT111,2014,83.2
IT111,2015,84.2
IT111,2016,85.1
IT111,2017,86.0
IT111,2018,86.0
IT111,2019,88.3
IT111,2020,89.4
IT111,2021,89.9
IT111,2022,90.5
IT111,2023,91.5
ITC,2011,25.2
ITC,2012,25.1
ITC,2014,25.1
ITC,2015,25.3
ITC,2016,25.4
ITC,2017,25.5
ITC,2018,25.5
ITC,2019,25.5
ITC,2020,25.8
ITC,2021,26.2
ITC,2022,26.5
ITC,2023,26.6
ITC1,2012,26.7
ITC1,2013,26.7
ITC1,2014,26.8
ITC1,2015,27.1
ITC1,2016,27.2
ITC1,2017,27.5
ITC1,2018,27.7
ITC1,2019,27.7
ITC1,2020,28.2
ITC1,2021,28.7
ITC1,2022,28.9
ITC1,2023,28.9
ITC11,2011,25.8
ITC11,2012,25.7
ITC11,2013,25.7
ITC11,2014,25.8
ITC11,2015,26.0
ITC11,2016,26.2
ITC11,2017,26.6
ITC11,2018,26.6
ITC11,2019,27.0
ITC11,2020,27.3
ITC11,2021,27.7
ITC11,2022,27.9
ITC11,2023,27.9
ITC12,2011,29.1
ITC12,2012,29.0
ITC12,2013,29.2
ITC12,2014,29.5
ITC12,2015,31.2
ITC12,2016,31.2
ITC12,2017,31.2
ITC12,2018,31.2
ITC12,2019,31.4
ITC12,2020,31.7
ITC12,2021,32.1
ITC12,2022,32.1
ITC12,2023,32.0
ITC13,2011,18.7
ITC13,2012,18.8
ITC13,2013,19.2
ITC13,2014,19.3
ITC13,2015,19.5
ITC13,2016,19.5
ITC13,2017,19.5
ITC13,2018,19.5
ITC13,2019,19.7
ITC13,2020,20.1
ITC13,2021,20.4
ITC13,2022,20.5
ITC13,2023,20.5
ITC14,2011,108.0
ITC14,2012,108.0
ITC14,2013,107.9
ITC14,2014,108.0
ITC14,2015,108.2
ITC14,2016,108.4
ITC14,2017,108.8
ITC14,2018,108.8
ITC14,2019,109.9
ITC14,2020,110.8
ITC14,2021,111.6
ITC14,2022,111.5
ITC14,2023,111.1
ITC15,2011,12.0
ITC15,2012,12.0
ITC15,2013,11.9
ITC15,2014,12.0
ITC15,2015,12.0
ITC15,2016,12.0
ITC15,2017,12.0
ITC15,2018,12.0
ITC15,2019,12.7
ITC15,2020,12.9
ITC15,2021,14.2
ITC15,2022,14.3
ITC15,2023,14.3
ITC16,2011,31.1
ITC16,2012,30.9
ITC16,2013,30.9
ITC16,2014,30.8
ITC16,2015,32.1
ITC16,2016,32.1
ITC16,2017,32.0
ITC16,2018,32.0
ITC16,2019,32.1
ITC16,2020,32.2
ITC16,2021,32.5
ITC16,2022,32.7
ITC16,2023,32.5
ITC17,2011,27.3
ITC17,2012,27.1
ITC17,2013,27.1
ITC17,2014,27.1
ITC17,2015,27.3
ITC17,2016,27.5
ITC17,2017,27.4
ITC17,2018,27.4
ITC17,2019,27.6
ITC17,2020,27.9
ITC17,2021,28.1
ITC17,2022,28.2
ITC17,2023,28.2
ITC18,2011,25.3
ITC18,2012,25.3
ITC18,2013,25.2
ITC18,2014,25.1
ITC18,2015,25.2
ITC18,2016,25.2
ITC18,2017,25.2
ITC18,2018,25.2
ITC18,2019,26.1
ITC18,2020,26.7
ITC18,2021,27.3
ITC18,2022,27.3
ITC18,2023,27.3
ITC2,2011,18.7
ITC2,2012,18.8
ITC2,2013,18.6
ITC2,2014,18.6
ITC2,2015,18.7
ITC2,2016,18.8
ITC2,2017,18.8
ITC2,2018,18.8
ITC2,2019,18.8
ITC2,2020,19.1
ITC2,2021,19.3
ITC2,2022,19.4
ITC2,2023,19.5
ITC20,2011,18.7
ITC20,2012,18.8
ITC20,2013,18.6
ITC20,2014,18.6
ITC20,2015,18.7
ITC20,2016,18.8
ITC20,2017,18.8
ITC20,2018,18.8
ITC20,2019,18.9
ITC20,2020,19.1
ITC20,2021,19.3
ITC20,2022,19.4
ITC20,2023,19.5
ITC3,2011,19.0
ITC3,2012,19.1
ITC3,2013,19.1
ITC3,2014,19.3
ITC3,2015,19.5
ITC3,2016,19.6
ITC3,2017,19.8
ITC3,2018,19.9
ITC3,2019,19.9
ITC3,2020,20.1
ITC3,2021,20.2
ITC3,2022,20.3
ITC3,2023,20.7
ITC31,2011,6.1
ITC31,2012,6.1
ITC31,2013,6.1
ITC31,2014,6.1
ITC31,2015,6.6
ITC31,2016,6.6
ITC31,2017,6.6
ITC31,2018,6.6
ITC31,2019,6.6
ITC31,2020,6.6
ITC31,2021,6.6
ITC31,2022,6.6
ITC31,2023,6.6
ITC32,2011,5.6
ITC32,2012,5.6
ITC32,2013,5.6
ITC32,2014,5.6
ITC32,2015,5.7
ITC32,2016,5.7
ITC32,2017,5.7
ITC32,2018,5.7
ITC32,2019,5.8
ITC32,2020,5.8
ITC32,2021,5.9
ITC32,2022,5.9
ITC32,2023,5.9
ITC33,2011,22.4
ITC33,2012,22.5
ITC33,2013,22.5
ITC33,2014,22.7
ITC33,2015,23.0
ITC33,2016,23.2
ITC33,2017,23.3
ITC33,2018,23.3
ITC33,2019,23.6
ITC33,2020,23.8
ITC33,2021,23.9
ITC33,2022,24.0
ITC33,2023,24.5
ITC34,2011,12.2
ITC34,2012,12.2
ITC34,2013,12.2
ITC34,2014,12.3
ITC34,2015,12.7
ITC34,2016,12.7
ITC34,2017,12.8
ITC34,2018,12.8
ITC34,2019,12.9
ITC34,2020,12.9
ITC34,2021,12.9
ITC34,2022,13.3
ITC34,2023,13.3
ITC4,2011,26.5
ITC4,2012,26.5
ITC4,2013,26.4
ITC4,2014,26.3
ITC4,2015,26.3
ITC4,2016,26.4
ITC4,2017,26.4
ITC4,2018,26.2
ITC4,2019,26.2
ITC4,2020,26.5
ITC4,2021,27.0
ITC4,2022,27.4
ITC4,2023,27.3
ITC41,2011,18.6
ITC41,2012,18.6
ITC41,2013,19.1
ITC41,2014,19.1
ITC41,2015,19.1
ITC41,2016,19.1
ITC41,2017,19.2
ITC41,2018,19.2
ITC41,2019,19.3
ITC41,2020,19.4
ITC41,2021,19.7
ITC41,2022,19.8
ITC41,2023,20.3
ITC42,2011,20.5
ITC42,2012,20.3
ITC42,2013,20.1
ITC42,2014,20.0
ITC42,2015,19.9
ITC42,2016,19.7
ITC42,2017,19.7
ITC42,2018,19.7
ITC42,2019,19.9
ITC42,2020,20.4
ITC42,2021,20.7
ITC42,2022,20.7
ITC42,2023,20.7
ITC43,2011,15.7
ITC43,2012,15.6
ITC43,2013,15.5
ITC43,2014,15.5
ITC43,2015,15.5
ITC43,2016,15.4
ITC43,2017,15.5
ITC43,2018,15.5
ITC43,2019,15.4
ITC43,2020,15.6
ITC43,2021,15.8
ITC43,2022,15.8
ITC43,2023,15.8
ITC44,2011,290.4
ITC44,2012,291.1
ITC44,2013,291.9
ITC44,2014,292.6
ITC44,2015,294.5
ITC44,2016,296.1
ITC44,2017,297.6
ITC44,2018,297.6
ITC44,2019,298.2
ITC44,2020,300.9
ITC44,2021,303.3
ITC44,2022,303.8
ITC44,2023,303.1
ITC45,2011,17.2
ITC45,2012,17.2
ITC45,2013,17.2
ITC45,2014,17.2
ITC45,2015,17.5
ITC45,2016,17.7
ITC45,2017,17.7
ITC45,2018,17.7
ITC45,2019,17.6
ITC45,2020,17.9
ITC45,2021,18.4
ITC45,2022,18.9
ITC45,2023,18.8
ITC46,2011,25.6
ITC46,2012,25.7
ITC46,2013,25.8
ITC46,2014,25.8
ITC46,2015,25.8
ITC46,2016,25.6
ITC46,2017,25.6
ITC46,2018,25.6
ITC46,2019,25.4
ITC46,2020,25.5
ITC46,2021,25.8
ITC46,2022,25.8
ITC46,2023,25.8
ITC47,2011,25.8
ITC47,2012,25.8
ITC47,2013,25.8
ITC47,2014,25.7
ITC47,2015,25.6
ITC47,2016,25.6
ITC47,2017,25.6
ITC47,2018,25.6
ITC47,2019,25.3
ITC47,2020,25.2
ITC47,2021,25.4
ITC47,2022,25.4
ITC47,2023,25.3
ITC48,2011,24.4
ITC48,2012,24.9
ITC48,2013,24.8
ITC48,2014,24.6
ITC48,2015,24.4
ITC48,2016,24.4
ITC48,2017,24.3
ITC48,2018,24.3
ITC48,2019,24.1
ITC48,2020,24.6
ITC48,2021,24.9
ITC48,2022,24.9
ITC48,2023,24.7
