area_code,year,waste_separate_collection_pct
IT,2004,22.7
IT,2005,24.2
IT,2006,25.8
IT,2007,27.5
IT,2008,30.6
IT,2009,33.6
IT,2010,35.3
IT,2011,37.7
IT,2012,40.0
IT,2013,42.3
IT,2014,45.2
IT,2015,47.5
IT,2016,52.6
IT,2017,55.5
IT,2018,58.2
IT,2019,61.3
IT,2020,63.0
IT,2021,64.0
IT,2022,65.2
IT,2023,66.6
IT108,2010,56.9
IT108,2011,58.8
IT108,2012,59.8
IT108,2013,59.1
IT108,2014,60.1
IT108,2015,62.0
IT108,2016,71.1
IT108,2017,74.0
IT108,2018,75.6
IT108,2019,78.0
IT108,2020,79.2
IT108,2022,79.4
IT108,2023,79.9
IT109,2010,32.7
IT109,2011,35.0
IT109,2012,41.6
IT109,2013,47.4
IT109,2014,54.2
IT109,2015,54.9
IT109,2016,57.9
IT109,2017,56.2
IT109,2018,63.3
IT109,2020,69.7
IT109,2022,70.5
IT109,2023,70.8
IT110,2010,15.4
IT110,2011,16.4
IT110,2012,19.8
IT110,2013,34.7
IT110,2014,41.1
IT110,2015,50.2
IT110,2016,50.4
IT110,2017,50.2
IT110,2019,55.2
IT110,2020,59.8
IT110,2021,65.5
IT110,2022,64.7
IT110,2023,66.4
IT111,2017,70.9
IT111,2018,73.6
IT111,2020,77.9
IT111,2022,78.6
IT111,2023,79.4
ITC,2004,35.7
ITC,2005,37.6
ITC,2006,39.5
ITC,2007,41.5
ITC,2008,43.9
ITC,2009,45.5
ITC,2010,46.3
ITC,2011,47.7
ITC,2012,49.6
ITC,2013,51.0
ITC,2014,53.1
ITC,2015,55.2
ITC,2016,62.3
ITC,2017,64.5
ITC,2018,65.8
ITC,2019,67.6
ITC,2020,68.7
ITC,2021,69.1
ITC,2022,69.7
ITC,2023,70.6
ITC1,2004,32.8
ITC1,2005,37.2
ITC1,2006,40.8
ITC1,2008,48.6
ITC1,2010,50.7
ITC1,2011,51.4
ITC1,2012,53.3
ITC1,2013,54.6
ITC1,2014,54.3
ITC1,2015,55.1
ITC1,2016,56.6
ITC1,2017,59.3
ITC1,2019,63.2
ITC1,2020,64.3
ITC1,2021,65.8
ITC1,2022,67.0
ITC1,2023,67.9
ITC11,2004,31.1
ITC11,2005,36.4
ITC11,2006,41.1
ITC11,2007,45.9
ITC11,2008,49.3
ITC11,2009,49.9
ITC11,2010,50.0
ITC11,2011,50.3
ITC11,2012,51.0
ITC11,2013,51.9
ITC11,2014,50.5
ITC11,2015,51.4
ITC11,2016,52.7
ITC11,2017,55.0
ITC11,2018,56.9
ITC11,2020,59.3
ITC11,2021,61.3
ITC11,2022,62.0
ITC11,2023,64.1
ITC12,2004,21.7
ITC12,2005,23.0
ITC12,2006,23.5
ITC12,2007,25.5
ITC12,2008,26.5
ITC12,2010,31.0
ITC12,2011,39.7
ITC12,2012,53.9
ITC12,2013,65.6
ITC12,2014,63.7
ITC12,2015,62.2
ITC12,2016,63.9
ITC12,2017,64.3
ITC12,2018,64.6
ITC12,2019,66.7
ITC12,2020,68.0
ITC12,2022,70.9
ITC12,2023,70.1
ITC13,2004,32.6
ITC13,2005,31.8
ITC13,2006,31.9
ITC13,2007,35.6
ITC13,2008,41.8
