area_code,year,green_urban_space_per_capita
001272,2011,25.8
001272,2011,20.9
001272,2012,25.7
001272,2012,20.9
001272,2013,25.7
001272,2013,20.9
001272,2014,25.8
001272,2014,21.2
001272,2015,26.0
001272,2015,21.2
001272,2016,26.2
001272,2016,21.3
001272,2017,26.6
001272,2017,21.6
001272,2018,26.9
001272,2018,21.9
001272,2019,27.0
001272,2019,22.0
001272,2020,27.3
001272,2020,22.3
001272,2021,27.7
001272,2021,22.5
001272,2022,27.9
001272,2022,22.7
001272,2023,27.9
001272,2023,22.7
002158,2011,29.1
002158,2011,26.5
002158,2012,29.0
002158,2012,13.7
002158,2013,29.2
002158,2013,26.8
002158,2014,29.5
002158,2014,14.3
002158,2015,31.2
002158,2015,14.3
002158,2016,31.2
002158,2016,14.3
002158,2017,31.2
002158,2017,27.3
002158,2018,31.3
002158,2018,14.4
002158,2019,31.4
002158,2019,14.4
002158,2020,31.7
002158,2020,28.0
002158,2021,32.1
002158,2021,14.7
002158,2022,32.1
002158,2022,14.7
002158,2023,32.0
002158,2023,14.7
003106,2011,12.0
003106,2011,11.2
003106,2012,12.0
003106,2012,10.8
003106,2013,11.9
003106,2013,11.5
003106,2014,12.0
003106,2014,10.8
003106,2015,12.0
003106,2015,10.8
003106,2016,12.0
003106,2016,10.8
003106,2017,12.0
003106,2017,11.6
003106,2018,12.0
003106,2018,10.8
003106,2019,12.7
003106,2019,10.9
003106,2020,12.9
003106,2020,12.5
003106,2021,14.2
003106,2021,11.2
003106,2022,14.3
003106,2022,11.3
003106,2023,14.3
003106,2023,11.3
004078,2011,31.1
004078,2011,31.1
004078,2012,30.9
004078,2012,30.9
004078,2013,30.9
004078,2013,30.9
004078,2014,30.8
004078,2014,30.8
004078,2015,32.1
004078,2015,30.8
004078,2016,32.1
004078,2016,30.7
004078,2017,32.0
004078,2017,32.0
004078,2018,32.1
004078,2018,30.7
004078,2019,32.1
004078,2019,30.7
004078,2020,32.2
004078,2020,32.2
004078,2021,32.5
004078,2021,31.2
004078,2022,32.7
004078,2022,31.3
004078,2023,32.5
004078,2023,31.2
005005,2011,27.3
005005,2011,21.0
005005,2012,27.1
005005,2012,20.9
005005,2013,27.1
005005,2013,20.9
005005,2014,27.1
005005,2014,21.1
005005,2015,27.3
005005,2015,21.1
005005,2016,27.5
005005,2016,21.2
005005,2017,27.4
005005,2017,21.2
005005,2018,27.4
005005,2018,21.2
005005,2019,27.6
005005,2019,21.3
005005,2020,27.9
005005,2020,21.5
005005,2021,28.1
005005,2021,21.7
005005,2022,28.2
005005,2022,21.8
005005,2023,28.2
005005,2023,21.8
006003,2011,25.3
006003,2011,23.1
006003,2012,25.3
006003,2012,23.1
006003,2013,25.2
006003,2013,23.0
006003,2014,25.1
006003,2014,23.1
006003,2015,25.2
006003,2015,23.1
006003,2016,25.2
006003,2016,23.1
006003,2017,25.2
006003,2017,23.0
006003,2018,26.0
006003,2018,23.9
006003,2019,26.1
006003,2019,24.0
006003,2020,26.7
006003,2020,24.6
006003,2021,27.3
006003,2021,25.1
006003,2022,27.3
006003,2022,25.1
006003,2023,27.3
006003,2023,25.1
007003,2011,18.7
007003,2011,17.5
007003,2012,18.8
007003,2012,17.6
007003,2013,18.6
007003,2013,17.4
007003,2014,18.6
007003,2014,17.5
007003,2015,18.7
007003,2015,17.5
007003,2016,18.8
007003,2016,17.6
007003,2017,18.8
007003,2017,17.6
007003,2018,18.8
007003,2018,17.6
007003,2019,18.9
007003,2019,17.7
007003,2020,19.1
007003,2020,17.8
007003,2021,19.3
007003,2021,18.0
007003,2022,19.4
007003,2022,18.1
007003,2023,19.5
007003,2023,18.2
008031,2011,6.1
008031,2011,5.6
008031,2012,6.1
008031,2012,6.1
008031,2013,6.1
008031,2013,5.6
008031,2014,6.1
008031,2014,6.6
008031,2015,6.6
008031,2015,6.6
008031,2016,6.6
008031,2016,6.6
008031,2017,6.6
008031,2017,5.7
008031,2018,6.6
008031,2018,6.6
008031,2019,6.6
008031,2019,6.6
008031,2020,6.6
008031,2020,5.7
008031,2021,6.6
008031,2021,6.6
008031,2022,6.6
008031,2022,6.6
008031,2023,6.6
008031,2023,6.6
009056,2011,5.6
009056,2011,5.6
009056,2012,5.6
009056,2012,5.6
009056,2013,5.6
009056,2013,5.6
009056,2014,5.6
009056,2014,5.7
009056,2015,5.7
009056,2015,5.7
009056,2016,5.7
009056,2016,5.7
009056,2017,5.7
009056,2017,5.7
009056,2018,5.8
009056,2018,5.8
009056,2019,5.8
009056,2019,5.8
009056,2020,5.8
009056,2020,5.8
009056,2021,5.9
009056,2021,5.9
009056,2022,5.9
009056,2022,5.9
009056,2023,5.9
009056,2023,5.9
010025,2011,22.4
010025,2011,5.8
010025,2012,22.5
010025,2012,7.3
010025,2013,22.5
010025,2013,5.8
010025,2014,22.7
010025,2014,7.5
010025,2015,23.0
010025,2015,7.5
010025,2016,23.2
010025,2016,7.6
010025,2017,23.3
010025,2017,6.0
010025,2018,23.5
010025,2018,7.7
010025,2019,23.6
010025,2019,7.7
010025,2020,23.8
010025,2020,6.2
010025,2021,23.9
010025,2021,7.9
010025,2022,24.0
010025,2022,7.9
010025,2023,24.5
010025,2023,7.9
011015,2011,12.2
011015,2011,11.5
011015,2012,12.2
011015,2012,11.5
011015,2013,12.2
011015,2013,11.5
011015,2014,12.3
011015,2014,12.0
011015,2015,12.7
011015,2015,12.0
011015,2016,12.7
011015,2016,12.0
011015,2017,12.8
011015,2017,12.0
011015,2018,12.9
011015,2018,12.1
011015,2019,12.9
011015,2019,12.1
011015,2020,12.9
011015,2020,12.1
011015,2021,12.9
011015,2021,12.2
011015,2022,13.3
011015,2022,12.5
011015,2023,13.3
011015,2023,12.5
012133,2011,18.6
012133,2011,15.7
012133,2012,18.6
012133,2012,16.0
012133,2013,19.1
012133,2013,16.1
012133,2014,19.1
012133,2014,15.9
012133,2015,19.1
012133,2015,15.9
012133,2016,19.1
012133,2016,15.9
012133,2017,19.2
012133,2017,16.4
012133,2018,19.2
012133,2018,16.0
012133,2019,19.3
012133,2019,16.1
012133,2020,19.4
012133,2020,16.6
012133,2021,19.7
012133,2021,16.4
012133,2022,19.8
012133,2022,16.5
012133,2023,20.3
012133,2023,16.5
013075,2011,20.5
013075,2011,16.0
013075,2012,20.3
013075,2012,15.8
013075,2013,20.1
013075,2013,15.6
013075,2014,20.0
013075,2014,15.5
013075,2015,19.9
013075,2015,15.5
013075,2016,19.7
013075,2016,15.4
013075,2017,19.7
013075,2017,15.4
013075,2018,19.8
013075,2018,15.4
013075,2019,19.9
013075,2019,15.5
013075,2020,20.4
013075,2020,15.9
013075,2021,20.7
013075,2021,16.2
013075,2022,20.7
013075,2022,16.2
013075,2023,20.7
013075,2023,16.2
014061,2011,290.4
014061,2011,41.2
014061,2012,291.1
014061,2012,41.6
014061,2013,291.9
014061,2013,42.1
014061,2014,292.6
