area_code,year,waste_recycling_rate
1272,2020,78.0
1272,2020,22.0
1272,2021,85.0
1272,2021,15.0
1272,2022,93.0
1272,2022,7.0
2158,2020,100.0
2158,2020,100.0
2158,2021,100.0
2158,2021,100.0
2158,2022,100.0
2158,2022,100.0
3106,2020,100.0
3106,2020,0.0
3106,2021,100.0
3106,2021,0.0
3106,2022,100.0
3106,2022,0.0
4078,2020,99.0
4078,2020,1.0
4078,2021,100.0
4078,2021,100.0
4078,2022,100.0
4078,2022,100.0
5005,2020,100.0
5005,2020,100.0
5005,2021,95.0
5005,2021,5.0
5005,2022,100.0
5005,2022,100.0
6003,2020,16.0
6003,2020,84.0
6003,2021,16.0
6003,2021,84.0
6003,2022,16.0
6003,2022,84.0
7003,2020,90.0
7003,2020,10.0
7003,2021,100.0
7003,2021,0.0
7003,2022,90.0
7003,2022,10.0
8031,2020,90.0
8031,2020,10.0
8031,2021,90.0
8031,2021,10.0
8031,2022,90.0
8031,2022,10.0
9056,2020,0.0
9056,2020,100.0
9056,2021,0.0
9056,2021,100.0
9056,2022,0.0
9056,2022,100.0
10025,2020,1.0
10025,2020,99.0
10025,2021,1.0
10025,2021,99.0
10025,2022,1.0
10025,2022,99.0
11015,2020,100.0
11015,2020,99.0
11015,2021,100.0
11015,2021,99.0
11015,2022,100.0
11015,2022,100.0
12133,2020,100.0
12133,2020,0.0
12133,2021,100.0
12133,2021,0.0
12133,2022,100.0
12133,2022,0.0
13075,2020,100.0
13075,2020,0.0
13075,2021,100.0
13075,2021,0.0
13075,2022,100.0
13075,2022,0.0
14061,2020,100.0
14061,2020,100.0
14061,2021,100.0
14061,2021,100.0
14061,2022,100.0
14061,2022,100.0
15146,2020,100.0
15146,2020,0.0
15146,2021,100.0
15146,2021,0.0
15146,2022,100.0
15146,2022,0.0
16024,2020,100.0
16024,2020,0.0
16024,2021,100.0
16024,2021,0.0
16024,2022,100.0
16024,2022,0.0
17029,2020,100.0
17029,2020,100.0
17029,2021,100.0
17029,2021,100.0
17029,2022,100.0
17029,2022,100.0
18110,2020,100.0
18110,2020,100.0
18110,2021,90.0
18110,2021,10.0
18110,2022,90.0
18110,2022,10.0
19036,2020,100.0
19036,2020,0.0
19036,2021,100.0
19036,2021,10.0
19036,2022,100.0
19036,2022,0.0
20030,2020,100.0
20030,2020,0.0
20030,2021,100.0
20030,2021,0.0
20030,2022,100.0
20030,2022,12.0
21008,2020,100.0
21008,2020,100.0
21008,2021,100.0
21008,2021,100.0
21008,2022,100.0
21008,2022,100.0
22205,2020,95.0
22205,2020,5.0
22205,2021,93.0
22205,2021,7.0
22205,2022,93.0
22205,2022,7.0
23091,2020,25.0
23091,2020,75.0
23091,2021,25.0
23091,2021,75.0
23091,2022,25.0
23091,2022,75.0
24116,2020,30.0
24116,2020,70.0
24116,2021,30.0
24116,2021,70.0
24116,2022,30.0
24116,2022,70.0
25006,2020,50.0
25006,2020,50.0
25006,2021,50.0
25006,2021,50.0
25006,2022,50.0
25006,2022,50.0
26086,2020,100.0
26086,2020,0.0
26086,2021,100.0
26086,2021,0.0
26086,2022,100.0
26086,2022,0.0
27042,2020,29.0
27042,2020,71.0
27042,2021,29.0
27042,2021,71.0
27042,2022,29.0
27042,2022,71.0
28060,2020,51.0
28060,2020,49.0
28060,2021,86.0
28060,2021,82.0
28060,2022,64.0
28060,2022,36.0
29041,2020,35.0
29041,2020,65.0
29041,2021,35.0
29041,2021,65.0
29041,2022,35.0
29041,2022,65.0
30129,2020,100.0
30129,2020,0.0
30129,2021,100.0
30129,2021,0.0
30129,2022,100.0
30129,2022,0.0
31007,2020,100.0
31007,2020,100.0
31007,2021,100.0
31007,2021,100.0
31007,2022,100.0
31007,2022,100.0
32006,2020,0.0
32006,2020,100.0
32006,2021,1.0
32006,2021,100.0
32006,2022,0.0
32006,2022,100.0
33032,2020,100.0
33032,2020,100.0
33032,2021,100.0
33032,2021,100.0
33032,2022,100.0
33032,2022,100.0
34027,2020,100.0
34027,2020,100.0
34027,2021,100.0
34027,2021,100.0
34027,2022,100.0
34027,2022,100.0
35033,2020,100.0
35033,2020,61.0
35033,2021,100.0
35033,2021,61.0
35033,2022,100.0
35033,2022,61.0
36023,2020,20.0
36023,2020,80.0
36023,2021,25.0
36023,2021,75.0
36023,2022,18.0
36023,2022,82.0
37006,2020,25.0
37006,2020,75.0
37006,2021,25.0
37006,2021,75.0
37006,2022,25.0
37006,2022,75.0
38008,2020,25.0
38008,2020,75.0
38008,2021,25.0
38008,2021,75.0
38008,2022,7.0
38008,2022,93.0
39014,2020,100.0
39014,2020,100.0
39014,2021,14.0
39014,2021,86.0
39014,2022,38.0
39014,2022,62.0
40007,2020,85.0
40007,2020,80.0
40007,2021,100.0
40007,2021,80.0
40007,2022,100.0
40007,2022,80.0
40012,2020,100.0
40012,2020,100.0
40012,2021,100.0
40012,2021,100.0
40012,2022,100.0
40012,2022,100.0
41044,2020,45.0
41044,2020,55.0
41044,2021,45.0
41044,2021,55.0
41044,2022,45.0
41044,2022,55.0
42002,2020,82.0
42002,2020,18.0
42002,2021,81.0
42002,2021,19.0
42002,2022,100.0
42002,2022,0.0
43023,2020,85.0
43023,2020,15.0
43023,2021,85.0
43023,2021,15.0
43023,2022,85.0
43023,2022,15.0
44007,2020,85.0
44007,2020,15.0
44007,2021,80.0
44007,2021,20.0
