area_code,year,water_quality
001272,2010,558.0
001272,2010,496653.1
001272,2010,320.2
001272,2010,285012.6
001272,2010,237.8
001272,2010,211640.6
001272,2011,540.4
001272,2011,480625.0
001272,2011,307.4
001272,2011,273409.5
001272,2011,233.0
001272,2011,207215.5
001272,2012,503.4
001272,2012,448863.5
001272,2012,291.6
001272,2012,259983.7
001272,2012,211.8
001272,2012,188879.8
001272,2013,503.4
001272,2013,449698.6
001272,2013,282.7
001272,2013,252595.4
001272,2013,220.6
001272,2013,197103.1
001272,2014,495.9
001272,2014,440669.9
001272,2014,289.8
001272,2014,257517.6
001272,2014,206.1
001272,2014,183152.3
001272,2015,497.9
001272,2015,439698.0
001272,2015,286.7
001272,2015,253171.7
001272,2015,211.2
001272,2015,186526.2
001272,2016,486.4
001272,2016,427741.3
001272,2016,281.9
001272,2016,247856.5
001272,2016,204.6
001272,2016,179884.7
001272,2017,503.4
001272,2017,439496.7
001272,2017,278.6
001272,2017,243191.1
001272,2017,224.9
001272,2017,196305.6
001272,2018,520.9
001272,2018,450467.0
001272,2018,278.2
001272,2018,240631.2
001272,2018,242.6
001272,2018,209835.9
001272,2019,509.5
001272,2019,437804.7
001272,2019,266.6
001272,2019,229103.9
001272,2019,242.9
001272,2019,208700.8
001272,2020,473.4
001272,2020,406165.9
001272,2020,233.0
001272,2020,199942.5
001272,2020,240.3
001272,2020,206223.4
001272,2021,482.9
001272,2021,412115.5
001272,2021,225.3
001272,2021,192295.2
001272,2021,257.6
001272,2021,219820.3
001272,2022,477.6
001272,2022,405001.3
001272,2022,217.7
001272,2022,184607.1
001272,2022,259.9
001272,2022,220394.2
001272,2023,497.1
001272,2023,422223.6
001272,2023,213.0
001272,2023,180928.1
001272,2023,284.1
001272,2023,241295.5
002158,2010,609.0
002158,2010,28228.3
002158,2010,419.7
002158,2010,19453.1
002158,2010,189.3
002158,2010,8775.2
002158,2011,590.0
002158,2011,27477.6
002158,2011,334.0
002158,2011,15555.4
002158,2011,256.0
002158,2011,11922.2
002158,2012,481.3
002158,2012,22514.5
002158,2012,143.3
002158,2012,6704.5
002158,2012,338.0
002158,2012,15810.0
002158,2013,481.3
002158,2013,22565.3
002158,2013,153.0
002158,2013,7174.5
002158,2013,328.3
002158,2013,15390.9
002158,2014,542.3
002158,2014,25375.2
002158,2014,168.4
002158,2014,7877.6
002158,2014,374.0
002158,2014,17497.6
002158,2015,539.5
002158,2015,25181.7
002158,2015,185.1
002158,2015,8638.9
002158,2015,354.4
002158,2015,16542.8
002158,2016,504.8
002158,2016,23547.8
002158,2016,163.0
002158,2016,7601.7
002158,2016,341.9
002158,2016,15946.1
002158,2017,492.8
002158,2017,22957.7
002158,2017,161.7
002158,2017,7534.9
002158,2017,331.1
002158,2017,15422.8
002158,2018,575.1
002158,2018,26710.5
002158,2018,170.6
002158,2018,7924.6
002158,2018,404.4
002158,2018,18786.0
002158,2019,597.7
002158,2019,27711.7
002158,2019,169.4
002158,2019,7854.1
002158,2019,428.3
002158,2019,19857.7
002158,2020,591.6
002158,2020,27150.5
002158,2020,168.3
002158,2020,7725.4
002158,2020,423.3
002158,2020,19425.1
002158,2021,604.8
002158,2021,27397.7
002158,2021,161.6
002158,2021,7318.6
002158,2021,443.2
002158,2021,20079.1
002158,2022,661.5
002158,2022,29955.7
002158,2022,165.7
002158,2022,7503.4
002158,2022,495.8
002158,2022,22452.3
002158,2023,566.5
002158,2023,25787.4
002158,2023,169.3
002158,2023,7706.0
002158,2023,397.2
002158,2023,18081.4
003106,2010,457.2
003106,2010,47193.1
003106,2010,133.1
003106,2010,13742.7
003106,2010,324.1
003106,2010,33450.3
003106,2011,448.7
003106,2011,46423.5
003106,2011,138.5
003106,2011,14331.8
003106,2011,310.2
003106,2011,32091.7
003106,2014,411.6
003106,2014,42696.4
003106,2014,134.3
003106,2014,13927.3
003106,2014,277.3
003106,2014,28769.1
003106,2015,420.7
003106,2015,43556.1
003106,2015,135.4
