area_code,year,healthcare_spending_per_capita
ITA,2001,1586.67272949
ITA,2002,1762.359375
ITA,2003,2160.91210938
ITA,2004,2560.45776367
ITA,2005,2669.72802734
ITA,2006,2821.77392578
ITA,2007,3077.41381836
ITA,2008,3483.39086914
ITA,2009,3314.15844727
ITA,2010,3190.72045898
ITA,2011,3358.95654297
ITA,2012,3071.00048828
ITA,2013,3139.87939453
ITA,2014,3190.46777344
ITA,2015,2707.43310547
ITA,2016,2735.27783203
ITA,2017,2851.28686523
ITA,2018,3031.46459961
ITA,2019,2908.83154297
ITA,2020,3058.90014648
ITA,2021,3414.57299805
ITA,2022,3154.57104492
ITA,2023,3283.47216797
ITA,2024,3397.68798828
