area_code,year,households_with_internet_pct
2,2005,35.1
2,2006,38.0
2,2007,40.6
2,2008,46.3
2,2009,52.2
2,2010,58.2
2,2011,58.6
2,2012,61.1
2,2013,64.1
2,2014,66.2
2,2015,69.7
2,2016,72.9
2,2017,76.8
2,2018,79.0
2,2019,80.4
2,2020,82.4
2,2021,84.5
2,2022,85.3
2,2024,89.6
3,2005,34.9
3,2006,38.1
3,2007,42.1
3,2008,46.3
3,2009,52.0
3,2010,56.9
3,2011,59.3
3,2012,59.8
3,2013,64.7
3,2014,68.5
3,2015,68.1
3,2016,74.9
3,2017,75.5
3,2018,77.6
3,2019,79.3
3,2020,83.4
3,2021,84.0
3,2022,86.6
3,2024,88.3
6,2005,31.3
6,2006,28.7
6,2007,32.9
6,2008,34.7
6,2009,40.6
6,2010,45.8
6,2011,45.7
6,2012,48.1
6,2013,51.4
6,2014,55.7
6,2015,57.2
6,2016,60.8
6,2017,61.1
6,2018,68.4
6,2019,69.6
6,2020,73.2
6,2021,74.7
6,2022,73.3
6,2024,82.1
7,2005,32.8
7,2006,35.5
7,2007,38.1
7,2008,41.5
7,2009,45.3
7,2010,50.5
7,2011,53.3
7,2012,53.5
7,2013,59.5
7,2014,62.6
7,2015,65.3
7,2016,66.4
7,2017,68.8
7,2018,74.0
7,2019,73.4
7,2020,75.7
7,2021,78.1
7,2022,81.2
7,2024,83.7
8,2005,35.1
8,2006,33.7
8,2007,37.1
8,2008,38.9
8,2009,45.9
8,2010,51.0
8,2011,53.2
8,2012,53.9
8,2013,58.1
8,2014,63.5
8,2015,65.2
8,2016,68.2
8,2017,70.7
8,2018,74.5
8,2019,74.5
8,2020,77.8
8,2021,82.0
8,2022,83.1
8,2024,85.1
9,2005,36.3
9,2006,37.2
9,2007,40.2
9,2008,42.8
9,2009,46.5
9,2010,50.8
9,2011,54.0
9,2012,54.9
9,2013,62.9
9,2014,64.3
9,2015,67.2
9,2016,69.7
9,2017,73.6
9,2018,73.9
9,2019,77.4
9,2020,80.3
9,2021,82.0
9,2022,83.6
9,2024,87.4
IT,2005,34.5
IT,2006,35.6
IT,2007,38.8
IT,2008,42.0
IT,2009,47.3
IT,2010,52.4
IT,2011,54.5
IT,2012,55.5
IT,2013,60.6
IT,2014,64.0
IT,2015,66.2
IT,2016,69.2
IT,2017,71.7
IT,2018,75.1
IT,2019,76.1
IT,2020,79.0
IT,2021,81.5
IT,2022,83.1
IT,2024,86.2
ITC,2005,36.2
ITC,2006,38.4
ITC,2007,41.8
ITC,2008,44.5
ITC,2009,48.4
ITC,2010,54.6
