area_code,year,total_employees,startup_employees,startup_share
IT,2012,11648406.13,936288.77,8.037913166408458
IT,2013,11392124.2,800106.65,7.023331522316094
IT,2014,11270573.91,841135.9,7.463115070419693
IT,2015,11398921.18,899667.68,7.8925686544663005
IT,2016,11806686.3,1087235.59,9.208642987321515
IT,2017,12193379.08,1094861.79,8.979149937164097
IT108,2012,195064.55,10995.61,5.636908397758589
IT108,2013,192005.06,9862.34,5.136500048488306
IT108,2014,190227.86,11153.17,5.863058124083402
IT108,2015,192818.9,10918.76,5.662702152123054
IT108,2016,194337.14,12787.92,6.58027590608774
IT108,2017,207640.47,13107.52,6.312603703892599
IT109,2012,34715.33,2989.9,8.612621570931344
IT109,2013,33441.6,2722.02,8.139622506100187
IT109,2014,32276.28,2732.6,8.466279261426658
IT109,2015,32032.72,2639.79,8.240917411946285
IT109,2016,32323.7,3036.58,9.394283451461312
IT109,2017,33261.53,3024.66,9.093568455810662
IT110,2012,40289.68,4796.21,11.90431395831389
IT110,2013,39658.46,3640.51,9.1796554883876
IT110,2014,39317.29,3827.41,9.734673981853785
IT110,2015,40162.61,4342.53,10.812370012805442
IT110,2016,44143.07,5662.64,12.827925198677844
IT110,2017,45415.1,5343.02,11.764853539901928
IT111,2015,25366.2,1986.36,7.8307353880360475
IT111,2016,26006.82,2293.94,8.82053246033156
IT111,2017,26499.62,2417.69,9.123489317960033
ITC,2012,4116236.25,270422.78,6.569661301632043
ITC,2013,4038273.48,232480.94,5.756938977793054
ITC,2014,3994314.38,250255.54,6.2652940202468494
ITC,2015,4039529.34,259180.46,6.416105397070838
ITC,2016,4180868.13,300270.2,7.18200600122731
ITC,2017,4349743.54,304043.95,6.989928192410167
ITC1,2012,935764.52,52788.87,5.6412557723389645
ITC1,2013,908870.47,45832.12,5.042755982598929
ITC1,2014,884745.33,48462.19,5.477529901175066
ITC1,2015,893093.71,48502.52,5.4308433098246764
ITC1,2016,914538.38,55792.86,6.100658126562168
ITC1,2017,941383.58,60052.64,6.3791892354867725
ITC11,2012,545138.7,31869.61,5.846147044779613
ITC11,2013,533526.88,28167.54,5.279497820241034
ITC11,2014,514817.47,30955.9,6.012985534465255
ITC11,2015,525847.99,31256.61,5.944039074866484
ITC11,2016,539659.28,32565.87,6.034524227953607
ITC11,2017,556049.65,31671.92,5.695879855333062
ITC12,2012,29229.88,1553.29,5.3140485010544
ITC12,2013,32738.37,1390.84,4.248348344770983
ITC12,2014,32738.33,1538.27,4.698681942542579
ITC12,2015,32151.71,1253.48,3.8986417829720414
ITC12,2016,32283.3,988.91,3.0632246393646247
ITC12,2017,33093.36,1082.05,3.2696891461006072
ITC13,2012,36451.83,1851.42,5.079086564378249
ITC13,2013,37203.35,1323.09,3.5563732835887087
ITC13,2014,37227.35,1596.83,4.289400131892278
ITC13,2015,38815.93,1172.59,3.020898893830445
ITC13,2016,38758.39,1259.68,3.250083401297113
ITC13,2017,39598.12,1418.44,3.582089250701801
ITC14,2012,21621.85,1264.81,5.849684462707863
ITC14,2013,20467.08,1264.68,6.179093451532901
ITC14,2014,19294.51,1208.62,6.264061642405015
ITC14,2015,19589.37,1337.05,6.82538540034723
ITC14,2016,19914.3,1374.42,6.901673671683163
ITC14,2017,20818.37,1549.67,7.443762407911859
ITC15,2012,69538.26,4292.81,6.173306608477119
ITC15,2013,61855.98,3402.07,5.499985611738752
ITC15,2014,60114.06,3715.13,6.180134896894337
ITC15,2015,59847.74,3716.07,6.209206897369893
ITC15,2016,62714.67,4115.28,6.56190967759218
ITC15,2017,64501.33,4636.38,7.1880378280571895
ITC16,2012,121702.7,5378.83,4.419647222288413
ITC16,2013,116100.28,4956.71,4.269335095488143
ITC16,2014,116706.29,4711.71,4.037237410254408
ITC16,2015,114011.1,4346.75,3.812567372825979
ITC16,2016,116949.92,8702.88,7.4415442096924895
ITC16,2017,122138.96,12978.77,10.62623261242768
ITC17,2012,31893.06,2000.36,6.272085525816588
ITC17,2013,30093.41,1288.57,4.281900921165132
ITC17,2014,29396.76,1368.07,4.653812188826252
ITC17,2015,29534.26,1357.87,4.59760969125348
ITC17,2016,30529.46,1823.54,5.973050293061194
ITC17,2017,31350.88,1836.74,5.858655323231756
ITC18,2012,80188.24,4577.74,5.708742329299159
ITC18,2013,76885.12,4038.62,5.252797940615818
ITC18,2014,74450.56,3367.66,4.523350798167266
ITC18,2015,73295.61,4062.1,5.542078168119482
ITC18,2016,73729.06,4962.28,6.730426238989076
ITC18,2017,73832.91,4878.67,6.607717344474165
ITC2,2012,22293.87,1549.42,6.949982214842018
ITC2,2013,22174.78,1577.03,7.11181802029152
ITC2,2014,21305.48,1401.24,6.576899464363159
ITC2,2015,21056.91,1111.64,5.279217131098533
ITC2,2016,21860.84,1207.01,5.521334038399257
ITC2,2017,23047.52,1058.6,4.593118912577145
ITC20,2012,22293.87,1549.42,6.949982214842018
