area_code,year,public_transport_access_value
001272,2001,195.96093921
001272,2002,201.47307994
001272,2003,186.70356363
001272,2004,182.26530299
001272,2005,184.16707204
001272,2006,193.20699742
001272,2007,194.17170859
001272,2008,199.88024796
001272,2009,202.48982189
001272,2010,209.67464109
001272,2011,217.27825348
001272,2012,230.38693431
002158,2001,5.8224475765
002158,2002,6.6723010542
002158,2003,6.7971117846
002158,2004,6.8996984164
002158,2005,7.4950646338
002158,2006,7.8493815809
002158,2007,11.150828444
002158,2008,10.922396374
002158,2009,12.525652068
002158,2010,12.986183552
002158,2011,12.973340848
002158,2012,12.931125856
003106,2001,76.532369993
003106,2002,71.040170995
003106,2003,72.515631759
003106,2004,60.183604382
003106,2005,63.523104839
003106,2006,71.096138492
003106,2007,76.590235426
003106,2008,75.131742095
003106,2009,72.550669584
003106,2010,87.035011725
003106,2011,85.2375719
003106,2012,84.037924417
004078,2001,46.751692411
004078,2002,46.734213183
004078,2003,45.655012464
004078,2004,47.363579229
004078,2005,45.565974975
004078,2006,45.660432496
004078,2007,45.596724331
004078,2008,46.200905865
004078,2009,53.494781548
004078,2010,55.78441778
004078,2011,53.234049028
004078,2012,63.784311117
005005,2001,36.701821934
005005,2002,29.306492397
005005,2003,30.416989271
005005,2004,31.756212727
005005,2005,43.080017395
005005,2006,45.570649412
005005,2007,51.061249242
005005,2008,51.786155212
005005,2009,46.849373049
005005,2010,48.581774291
005005,2011,49.71892893
005005,2012,43.615688667
006003,2001,36.841355333
006003,2002,36.721126959
006003,2003,36.03909008
006003,2004,36.402581727
006003,2005,38.380233356
006003,2006,41.785540894
006003,2007,39.292816003
006003,2008,41.819692786
006003,2009,42.562025263
006003,2010,41.529881321
006003,2011,40.469905241
006003,2012,36.503675061
007003,2001,47.080403546
007003,2002,48.446658851
007003,2003,47.383805905
007003,2004,46.804969561
007003,2005,45.034843206
007003,2006,44.369388874
007003,2007,44.78515231
007003,2008,44.329675059
007003,2009,45.220320596
007003,2010,48.996820055
007003,2011,49.068890666
007003,2012,53.675836137
008031,2001,32.642402481
008031,2002,32.946006564
008031,2003,32.793915467
008031,2004,33.663736675
008031,2005,33.931644947
