area_code,year,hourly_wage_eur
IT,2014,14.08
IT,2015,14.04
IT,2016,14.02
IT,2017,14.13
IT,2018,14.22
IT,2019,14.4
IT,2020,14.75
IT,2021,14.79
IT,2022,14.76
IT,2023,15.07
ITC,2014,15.15
ITC,2015,15.15
ITC,2016,15.13
ITC,2017,15.21
ITC,2018,15.38
ITC,2019,15.44
ITC,2020,16.02
ITC,2021,16.0
ITC,2022,16.05
ITC,2023,16.47
ITD,2014,14.16
ITD,2015,14.25
ITD,2016,14.26
ITD,2017,14.32
ITD,2018,14.39
ITD,2019,14.54
ITD,2020,14.9
ITD,2021,15.04
ITD,2022,15.04
ITD,2023,15.46
ITE,2014,14.07
ITE,2015,13.96
ITE,2016,13.86
ITE,2017,14.07
ITE,2018,14.11
ITE,2019,14.4
ITE,2020,14.71
ITE,2021,14.76
ITE,2022,14.76
ITE,2023,14.95
ITF,2014,12.19
ITF,2015,12.02
ITF,2016,12.09
ITF,2017,12.25
ITF,2018,12.26
ITF,2019,12.6
ITF,2020,12.73
ITF,2021,12.69
ITF,2022,12.58
ITF,2023,12.78
ITG,2014,11.98
ITG,2015,11.96
ITG,2016,12.03
ITG,2017,12.2
ITG,2018,12.13
ITG,2019,12.41
ITG,2020,12.56
ITG,2021,12.45
ITG,2022,12.44
ITG,2023,12.6
