area_code,year,self_employment_share
IT,2004,27.84
IT,2005,26.52
IT,2006,26.4
IT,2007,26.04
IT,2008,25.44
IT,2009,24.94
IT,2010,25.14
IT,2011,24.93
IT,2012,24.83
IT,2013,24.69
IT,2014,24.49
IT,2015,24.32
IT,2016,23.86
IT,2017,23.13
IT,2018,22.94
IT,2019,22.77
IT,2020,22.46
IT,2021,21.83
IT,2022,21.54
IT,2023,21.37
IT,2024,21.25
IT,2025,21.5
IT108,2018,20.34
IT108,2019,22.21
IT108,2020,19.15
IT108,2021,16.21
IT108,2022,17.51
IT108,2023,18.06
IT108,2024,16.58
IT108,2025,17.73
IT109,2018,29.76
IT109,2019,30.11
IT109,2020,25.35
IT109,2021,24.53
IT109,2022,23.13
IT109,2023,23.8
IT109,2024,25.55
IT109,2025,23.1
IT110,2018,24.52
IT110,2019,25.91
IT110,2020,28.4
IT110,2021,23.3
IT110,2022,22.12
IT110,2023,29.45
IT110,2024,26.08
IT110,2025,22.54
IT111,2018,25.33
IT111,2019,25.56
IT111,2020,27.58
IT111,2021,27.0
IT111,2022,25.23
IT111,2023,24.96
IT111,2024,26.18
IT111,2025,25.65
ITC,2004,27.15
ITC,2005,25.83
ITC,2006,25.44
ITC,2007,24.94
ITC,2008,24.65
ITC,2009,24.19
ITC,2010,23.99
ITC,2011,23.94
ITC,2012,23.84
ITC,2013,23.22
ITC,2014,23.05
ITC,2015,23.27
ITC,2016,22.61
ITC,2017,21.72
ITC,2018,21.77
ITC,2019,21.68
ITC,2020,21.27
ITC,2021,20.69
ITC,2022,20.42
ITC,2023,20.39
ITC,2024,19.89
ITC,2025,20.64
ITC1,2018,23.77
ITC1,2019,23.54
ITC1,2020,22.53
ITC1,2021,22.62
ITC1,2022,22.73
ITC1,2023,21.86
ITC1,2024,22.23
ITC1,2025,21.97
ITC11,2018,22.33
ITC11,2019,21.65
ITC11,2020,20.4
ITC11,2021,21.78
ITC11,2022,21.75
ITC11,2023,21.23
ITC11,2024,21.94
ITC11,2025,20.57
ITC12,2018,25.42
ITC12,2019,20.95
ITC12,2020,20.46
ITC12,2021,23.86
ITC12,2022,22.22
ITC12,2023,19.84
ITC12,2024,19.82
ITC12,2025,19.19
ITC13,2018,24.91
ITC13,2019,22.58
ITC13,2020,20.25
ITC13,2021,22.1
ITC13,2022,20.0
ITC13,2023,17.6
