area_code,year,neet_rate_percent
IT,2018.0,23.184508
IT,2019.0,22.067804
IT,2020.0,23.742047
IT,2021.0,23.066929
IT,2022.0,19.036906
IT,2023.0,16.056448
IT,2024.0,15.190796
IT,2025.0,13.320796
ITC,2018.0,16.147167
ITC,2019.0,15.436064
ITC,2020.0,18.672079
ITC,2021.0,18.675679
ITC,2022.0,14.165355
ITC,2023.0,10.976058
ITC,2024.0,10.192678
ITC,2025.0,9.181184
ITC1,2018.0,17.60657
ITC1,2019.0,16.514095
ITC1,2020.0,20.014564
ITC1,2021.0,19.194039
ITC1,2022.0,15.351761
ITC1,2023.0,11.720898
ITC1,2024.0,9.810216
ITC1,2025.0,9.326424
ITC2,2018.0,16.252215
ITC2,2019.0,14.70605
ITC2,2020.0,17.179385
ITC2,2021.0,18.005808
ITC2,2022.0,15.341938
ITC2,2023.0,9.891843
ITC2,2024.0,10.326754
ITC2,2025.0,8.10632
ITC3,2018.0,19.818545
ITC3,2019.0,17.754189
ITC3,2020.0,20.382562
ITC3,2021.0,19.558219
ITC3,2022.0,14.820858
ITC3,2023.0,11.285621
ITC3,2024.0,12.365195
ITC3,2025.0,14.015103
ITC4,2018.0,15.036368
ITC4,2019.0,14.686107
ITC4,2020.0,17.911056
ITC4,2021.0,18.353668
ITC4,2022.0,13.584102
ITC4,2023.0,10.6473
ITC4,2024.0,10.050766
ITC4,2025.0,8.484758
ITCD,2018.0,15.529016
ITCD,2019.0,14.406603
ITCD,2020.0,17.113238
ITCD,2021.0,17.000545
ITCD,2022.0,13.476692
ITCD,2023.0,10.800537
ITCD,2024.0,9.77837
ITCD,2025.0,8.702847
ITD,2018.0,14.685726
ITD,2019.0,13.00566
ITD,2020.0,14.993331
ITD,2021.0,14.7296
ITD,2022.0,12.544086
ITD,2023.0,10.5623
ITD,2024.0,9.214216
ITD,2025.0,8.049348
ITD1,2018.0,10.937181
ITD1,2019.0,9.407855
ITD1,2020.0,12.372887
ITD1,2021.0,13.271414
ITD1,2022.0,9.891953
ITD1,2023.0,8.012354
ITD1,2024.0,7.972941
ITD1,2025.0,5.615461
ITD2,2018.0,14.178774
ITD2,2019.0,12.537306
ITD2,2020.0,14.715312
ITD2,2021.0,17.573075
ITD2,2022.0,11.051929
ITD2,2023.0,9.656504
ITD2,2024.0,7.318831
ITD2,2025.0,6.658034
ITD3,2018.0,14.760315
ITD3,2019.0,12.421351
ITD3,2020.0,14.778037
ITD3,2021.0,13.888638
ITD3,2022.0,13.139445
ITD3,2023.0,10.507069
ITD3,2024.0,8.973313
ITD3,2025.0,8.28008
ITD4,2018.0,14.35801
ITD4,2019.0,13.681505
ITD4,2020.0,13.663244
ITD4,2021.0,16.168373
ITD4,2022.0,13.543224
ITD4,2023.0,10.990138
ITD4,2024.0,10.612919
ITD4,2025.0,8.498152
ITD5,2018.0,15.308302
ITD5,2019.0,14.10048
ITD5,2020.0,16.009114
ITD5,2021.0,15.138667
ITD5,2022.0,12.182407
ITD5,2023.0,10.996891
ITD5,2024.0,9.554061
ITD5,2025.0,8.195861
ITDA,2018.0,12.516967
ITDA,2019.0,10.929952
ITDA,2020.0,13.518583
ITDA,2021.0,15.377163
ITDA,2022.0,10.460539
ITDA,2023.0,8.819003
ITDA,2024.0,7.651727
ITDA,2025.0,6.128416
ITE,2018.0,19.408117
ITE,2019.0,17.991253
ITE,2020.0,20.24083
ITE,2021.0,19.567661
ITE,2022.0,15.347427
ITE,2023.0,12.267074
ITE,2024.0,12.945479
ITE,2025.0,11.82218
ITE1,2018.0,16.002868
ITE1,2019.0,15.687991
ITE1,2020.0,17.490466
ITE1,2021.0,17.856578
ITE1,2022.0,13.751564
ITE1,2023.0,11.021755
ITE1,2024.0,11.040906
ITE1,2025.0,10.115167
ITE2,2018.0,18.864652
ITE2,2019.0,15.032724
ITE2,2020.0,19.202788
ITE2,2021.0,19.177898
ITE2,2022.0,14.432132
ITE2,2023.0,10.484685
ITE2,2024.0,10.068461
ITE2,2025.0,8.354077
ITE3,2018.0,16.633899
ITE3,2019.0,15.257656
ITE3,2020.0,17.897508
ITE3,2021.0,15.979972
ITE3,2022.0,13.121498
ITE3,2023.0,10.623826
ITE3,2024.0,10.589946
ITE3,2025.0,10.785138
ITE4,2018.0,22.238724
ITE4,2019.0,20.510114
ITE4,2020.0,22.659039
ITE4,2021.0,21.600365
ITE4,2022.0,17.042921
ITE4,2023.0,13.722569
ITE4,2024.0,15.155948
ITE4,2025.0,13.660885
ITF1,2018.0,20.529549
ITF1,2019.0,22.702007
ITF1,2020.0,20.827213
ITF1,2021.0,21.093093
ITF1,2022.0,17.894494
ITF1,2023.0,15.240714
ITF1,2024.0,17.217976
ITF1,2025.0,14.036271
ITF2,2018.0,25.826299
ITF2,2019.0,24.478675
ITF2,2020.0,28.58083
ITF2,2021.0,27.734528
ITF2,2022.0,20.934199
ITF2,2023.0,18.066572
ITF2,2024.0,18.960077
ITF2,2025.0,13.190073
ITF3,2018.0,35.857493
ITF3,2019.0,34.24544
ITF3,2020.0,35.329671
ITF3,2021.0,34.121402
ITF3,2022.0,29.671389
ITF3,2023.0,26.927499
ITF3,2024.0,24.903245
ITF3,2025.0,21.545762
ITF4,2018.0,30.384458
ITF4,2019.0,29.560274
ITF4,2020.0,30.521994
ITF4,2021.0,30.638374
ITF4,2022.0,25.974838
ITF4,2023.0,22.24229
ITF4,2024.0,21.419766
ITF4,2025.0,19.010722
ITF5,2018.0,26.033696
ITF5,2019.0,25.947489
ITF5,2020.0,26.801872
ITF5,2021.0,25.183971
ITF5,2022.0,20.603809
ITF5,2023.0,16.900509
ITF5,2024.0,17.036644
ITF5,2025.0,14.89962
ITF6,2018.0,36.038872
ITF6,2019.0,34.980033
ITF6,2020.0,34.36572
ITF6,2021.0,33.505495
ITF6,2022.0,28.232164
ITF6,2023.0,27.214301
ITF6,2024.0,26.232599
ITF6,2025.0,20.875886
ITFG,2018.0,33.629966
ITFG,2019.0,32.898368
ITFG,2020.0,33.323516
ITFG,2021.0,32.169627
ITFG,2022.0,27.902835
ITFG,2023.0,24.723709
ITFG,2024.0,23.343489
ITFG,2025.0,20.193903
ITG1,2018.0,38.361858
ITG1,2019.0,37.97464
ITG1,2020.0,38.434161
ITG1,2021.0,36.320204
ITG1,2022.0,32.410618
ITG1,2023.0,27.896386
ITG1,2024.0,25.742155
ITG1,2025.0,22.835329
ITG2,2018.0,27.622047
ITG2,2019.0,27.924643
ITG2,2020.0,26.177857
ITG2,2021.0,23.638789
ITG2,2022.0,21.435226
ITG2,2023.0,19.551049
ITG2,2024.0,17.787085
ITG2,2025.0,15.715626
