area_code,year,unemployment_count
IT,2004.0,1954.178
IT,2005.0,1886.315
IT,2006.0,1664.018
IT,2007.0,1488.661
IT,2008.0,1671.13
IT,2009.0,1921.202
IT,2010.0,2078.104
IT,2011.0,2086.38
IT,2012.0,2718.538
IT,2013.0,3078.091
IT,2014.0,3222.661
IT,2015.0,3008.663
IT,2016.0,2978.04
IT,2017.0,2873.083
IT,2018.0,333.277
IT,2019.0,326.827
IT,2020.0,307.14
IT,2021.0,291.756
IT,2022.0,239.074
IT,2023.0,238.702
IT,2024.0,217.241
IT,2025.0,208.367
ITC,2004.0,317.498
ITC,2005.0,308.626
ITC,2006.0,274.45
ITC,2007.0,263.935
ITC,2008.0,301.693
ITC,2009.0,415.418
ITC,2010.0,446.16
ITC,2011.0,454.037
ITC,2012.0,584.142
ITC,2013.0,652.287
ITC,2014.0,681.194
ITC,2015.0,632.354
ITC,2016.0,596.373
ITC,2017.0,544.586
ITC,2018.0,63.872
ITC,2019.0,58.04
ITC,2020.0,58.111
ITC,2021.0,60.415
ITC,2022.0,50.505
ITC,2023.0,44.809
ITC,2024.0,49.406
ITC,2025.0,43.131
ITC1,2018.0,17.163
ITC1,2019.0,17.454
ITC1,2020.0,17.224
ITC1,2021.0,15.658
ITC1,2022.0,14.483
ITC1,2023.0,12.085
ITC1,2024.0,11.528
ITC1,2025.0,14.438
ITC2,2018.0,0.42
ITC2,2019.0,0.331
ITC2,2020.0,0.326
ITC2,2021.0,0.426
ITC2,2022.0,0.385
ITC2,2023.0,0.391
ITC2,2024.0,0.282
ITC2,2025.0,0.355
ITC3,2018.0,7.524
ITC3,2019.0,7.648
ITC3,2020.0,6.516
ITC3,2021.0,6.805
ITC3,2022.0,4.868
ITC3,2023.0,5.449
ITC3,2024.0,5.698
ITC3,2025.0,3.008
ITC4,2018.0,38.764
ITC4,2019.0,32.607
ITC4,2020.0,34.045
ITC4,2021.0,37.526
ITC4,2022.0,30.768
ITC4,2023.0,26.885
ITC4,2024.0,31.898
ITC4,2025.0,25.33
ITCD,2004.0,514.782
ITCD,2005.0,511.908
ITCD,2006.0,461.679
ITCD,2007.0,425.423
ITCD,2008.0,478.456
ITCD,2009.0,659.205
ITCD,2010.0,735.95
ITCD,2011.0,718.69
ITCD,2012.0,938.568
ITCD,2013.0,1065.783
ITCD,2014.0,1092.983
ITCD,2015.0,1017.292
ITCD,2016.0,957.616
ITCD,2017.0,880.811
ITCD,2018.0,106.064
ITCD,2019.0,102.898
ITCD,2020.0,104.48
ITCD,2021.0,99.825
ITCD,2022.0,81.164
ITCD,2023.0,84.057
ITCD,2024.0,84.692
ITCD,2025.0,76.644
ITD,2004.0,197.284
ITD,2005.0,203.282
ITD,2006.0,187.229
ITD,2007.0,161.488
ITD,2008.0,176.763
ITD,2009.0,243.787
ITD,2010.0,289.79
ITD,2011.0,264.653
ITD,2012.0,354.425
ITD,2013.0,413.496
ITD,2014.0,411.789
ITD,2015.0,384.939
ITD,2016.0,361.242
ITD,2017.0,336.226
ITD,2018.0,42.192
ITD,2019.0,44.857
ITD,2020.0,46.368
ITD,2021.0,39.409
ITD,2022.0,30.659
ITD,2023.0,39.248
ITD,2024.0,35.286
ITD,2025.0,33.512
ITD1,2018.0,1.147
ITD1,2019.0,0.952
ITD1,2020.0,0.822
ITD1,2021.0,1.238
ITD1,2022.0,0.484
ITD1,2023.0,0.267
ITD1,2024.0,0.807
ITD1,2025.0,0.795
ITD2,2018.0,1.349
ITD2,2019.0,1.304
ITD2,2020.0,1.933
ITD2,2021.0,1.261
ITD2,2022.0,1.58
ITD2,2023.0,1.977
ITD2,2024.0,1.283
ITD2,2025.0,1.172
ITD3,2018.0,18.943
ITD3,2019.0,17.507
ITD3,2020.0,21.157
ITD3,2021.0,14.902
ITD3,2022.0,10.997
ITD3,2023.0,14.225
