area_code,year,tax_revenue_per_capita_usd
ITA,2001,4798.096644723937
ITA,2002,5119.413877296916
ITA,2003,6256.509482454952
ITA,2004,6940.109376968084
ITA,2005,7014.998993987979
ITA,2006,7795.008249440451
ITA,2007,8961.693535007073
ITA,2008,9577.529540435306
ITA,2009,8851.525530562387
ITA,2010,8511.68623280847
ITA,2011,9104.928483848471
ITA,2012,8682.485572903643
ITA,2013,8990.794948945248
ITA,2014,8996.060504832492
ITA,2015,7610.685703224776
ITA,2016,7873.980356807165
ITA,2017,8111.578341288999
ITA,2018,8462.007634914857
ITA,2019,8338.779615676365
ITA,2020,7973.390116409956
ITA,2021,9167.775688052661
ITA,2022,8773.146992073838
ITA,2023,9716.166873072347
ITA,2024,10351.819585588883
