area_code,frequency,year,income_inequality,data_type,measure,imputed_rents
IT,A,2003,0.31,DISUG_REDDNET_GINI,16,1
IT,A,2004,0.306,DISUG_REDDNET_GINI,16,1
IT,A,2005,0.303,DISUG_REDDNET_GINI,16,1
IT,A,2006,0.294,DISUG_REDDNET_GINI,16,1
IT,A,2007,0.288,DISUG_REDDNET_GINI,16,1
IT,A,2008,0.294,DISUG_REDDNET_GINI,16,1
IT,A,2009,0.293,DISUG_REDDNET_GINI,16,1
IT,A,2010,0.298,DISUG_REDDNET_GINI,16,1
IT,A,2011,0.298,DISUG_REDDNET_GINI,16,1
IT,A,2012,0.301,DISUG_REDDNET_GINI,16,1
IT,A,2013,0.296,DISUG_REDDNET_GINI,16,1
IT,A,2014,0.295,DISUG_REDDNET_GINI,16,1
IT,A,2015,0.303,DISUG_REDDNET_GINI,16,1
IT,A,2016,0.303,DISUG_REDDNET_GINI,16,1
IT,A,2017,0.307,DISUG_REDDNET_GINI,16,1
IT,A,2018,0.303,DISUG_REDDNET_GINI,16,1
IT,A,2019,0.3,DISUG_REDDNET_GINI,16,1
IT,A,2020,0.305,DISUG_REDDNET_GINI,16,1
IT,A,2021,0.301,DISUG_REDDNET_GINI,16,1
IT,A,2022,0.296,DISUG_REDDNET_GINI,16,1
IT,A,2023,0.301,DISUG_REDDNET_GINI,16,1
IT,A,2024,0.288,DISUG_REDDNET_GINI,16,1
