area_code,year,cultural_sites
IT,2011,2253887
IT,2011,0
IT,2011,10000
IT,2011,2243887
IT,2011,0
IT,2011,1680846
IT,2011,563041
IT,2011,7075772
IT,2011,0
IT,2011,82814
IT,2011,6992958
IT,2011,11003
IT,2011,1096991
IT,2011,5884964
IT,2011,131161
IT,2011,0
IT,2011,38000
IT,2011,93161
IT,2011,0
IT,2011,93161
IT,2011,0
IT,2011,9460820
IT,2011,0
IT,2011,130814
IT,2011,9330006
IT,2011,11003
IT,2011,2870998
IT,2011,6448005
IT,2011,5868378
IT,2011,0
IT,2011,91000
IT,2011,5777378
IT,2011,0
IT,2011,1495920
IT,2011,4281458
IT,2011,19808910
IT,2011,0
IT,2011,11081217
IT,2011,8727693
IT,2011,155555
IT,2011,1262041
IT,2011,7310097
IT,2011,770005
IT,2011,0
IT,2011,123591
IT,2011,646414
IT,2011,2115
IT,2011,643064
IT,2011,1235
IT,2011,3196305
IT,2011,0
IT,2011,419997
IT,2011,2776308
IT,2011,168091
IT,2011,744713
IT,2011,1863504
IT,2011,739939
IT,2011,0
IT,2011,680463
IT,2011,59476
IT,2011,0
IT,2011,55911
IT,2011,3565
IT,2011,70772
IT,2011,0
IT,2011,53772
IT,2011,17000
IT,2011,0
IT,2011,17000
IT,2011,0
IT,2011,5078055
IT,2011,0
IT,2011,202890
IT,2011,4875165
IT,2011,3000
IT,2011,58115
IT,2011,4814050
IT,2011,40485061
IT,2011,0
IT,2011,13667557
IT,2011,26817504
IT,2011,336350
IT,2011,6399018
IT,2011,20082136
IT,2011,4952697
IT,2011,0
IT,2011,1014627
IT,2011,3938070
IT,2011,7589
IT,2011,2122254
IT,2011,1808227
IT,2011,6846367
IT,2011,500
IT,2011,1001374
IT,2011,5844493
IT,2011,111272
IT,2011,3393943
IT,2011,2339278
IT,2011,26329454
IT,2011,0
IT,2011,5301158
IT,2011,21028296
IT,2011,184830
IT,2011,10691546
IT,2011,10151920
IT,2011,22186839
IT,2011,0
IT,2011,3672182
IT,2011,18514657
IT,2011,159331
IT,2011,8216813
IT,2011,10138513
IT,2011,4142615
IT,2011,0
IT,2011,1628976
IT,2011,2513639
IT,2011,25499
IT,2011,2474733
IT,2011,13407
IT,2011,4111496
IT,2011,6540
IT,2011,1559920
IT,2011,2545036
IT,2011,16045
IT,2011,2506253
IT,2011,22738
IT,2011,4198910
IT,2011,0
IT,2011,1347092
IT,2011,2851818
IT,2011,39549
IT,2011,2523893
IT,2011,288376
IT,2011,1210619
IT,2011,0
IT,2011,1066968
IT,2011,143651
IT,2011,0
IT,2011,143651
IT,2011,0
IT,2011,2881240
IT,2011,0
IT,2011,565481
IT,2011,2315759
IT,2011,52036
IT,2011,2263723
IT,2011,0
IT,2011,201011
IT,2011,0
IT,2011,10614
IT,2011,190397
IT,2011,546
IT,2011,189851
IT,2011,0
IT,2011,2091280
IT,2011,0
IT,2011,1340466
IT,2011,750814
IT,2011,395
IT,2011,714611
IT,2011,35808
IT,2011,1933893
IT,2011,0
IT,2011,1463045
IT,2011,470848
IT,2011,12397
IT,2011,458451
IT,2011,0
IT,2011,4138613
IT,2011,0
IT,2011,1896175
IT,2011,2242438
IT,2011,25947
IT,2011,1304558
IT,2011,911933
IT,2011,53942883
IT,2011,7040
IT,2011,15552293
IT,2011,38383550
IT,2011,443017
IT,2011,24190480
IT,2011,13750053
IT,2011,6846367
IT,2011,500
IT,2011,1001374
IT,2011,5844493
IT,2011,111272
IT,2011,3393943
IT,2011,2339278
IT,2011,5868378
IT,2011,0
IT,2011,91000
IT,2011,5777378
IT,2011,0
IT,2011,1495920
IT,2011,4281458
IT,2011,2253887
IT,2011,0
IT,2011,10000
IT,2011,2243887
IT,2011,0
IT,2011,1680846
IT,2011,563041
IT,2011,7075772
IT,2011,0
IT,2011,82814
IT,2011,6992958
IT,2011,11003
IT,2011,1096991
IT,2011,5884964
IT,2011,26329454
IT,2011,0
IT,2011,5301158
IT,2011,21028296
IT,2011,184830
IT,2011,10691546
IT,2011,10151920
IT,2011,22186839
IT,2011,0
IT,2011,3672182
IT,2011,18514657
IT,2011,159331
IT,2011,8216813
IT,2011,10138513
IT,2011,19808910
IT,2011,0
IT,2011,11081217
IT,2011,8727693
IT,2011,155555
IT,2011,1262041
IT,2011,7310097
IT,2011,770005
IT,2011,0
IT,2011,123591
IT,2011,646414
IT,2011,2115
IT,2011,643064
IT,2011,1235
IT,2011,4142615
IT,2011,0
IT,2011,1628976
IT,2011,2513639
IT,2011,25499
IT,2011,2474733
IT,2011,13407
IT,2011,4111496
IT,2011,6540
IT,2011,1559920
IT,2011,2545036
IT,2011,16045
IT,2011,2506253
IT,2011,22738
IT,2011,3196305
IT,2011,0
IT,2011,419997
IT,2011,2776308
IT,2011,168091
IT,2011,744713
IT,2011,1863504
IT,2011,4198910
IT,2011,0
IT,2011,1347092
IT,2011,2851818
IT,2011,39549
IT,2011,2523893
IT,2011,288376
IT,2011,1210619
IT,2011,0
IT,2011,1066968
IT,2011,143651
IT,2011,0
IT,2011,143651
IT,2011,0
IT,2011,739939
IT,2011,0
IT,2011,680463
IT,2011,59476
IT,2011,0
IT,2011,55911
IT,2011,3565
IT,2011,70772
IT,2011,0
IT,2011,53772
IT,2011,17000
IT,2011,0
IT,2011,17000
IT,2011,0
IT,2011,2881240
IT,2011,0
IT,2011,565481
IT,2011,2315759
IT,2011,52036
IT,2011,2263723
IT,2011,0
IT,2011,201011
IT,2011,0
IT,2011,10614
IT,2011,190397
IT,2011,546
IT,2011,189851
IT,2011,0
IT,2011,131161
IT,2011,0
IT,2011,38000
IT,2011,93161
IT,2011,0
IT,2011,93161
IT,2011,0
IT,2011,5078055
IT,2011,0
IT,2011,202890
IT,2011,4875165
IT,2011,3000
IT,2011,58115
IT,2011,4814050
IT,2011,2091280
IT,2011,0
IT,2011,1340466
IT,2011,750814
IT,2011,395
IT,2011,714611
IT,2011,35808
IT,2011,1933893
IT,2011,0
IT,2011,1463045
IT,2011,470848
IT,2011,12397
IT,2011,458451
IT,2011,0
IT,2011,4138613
IT,2011,0
IT,2011,1896175
IT,2011,2242438
IT,2011,25947
IT,2011,1304558
IT,2011,911933
IT,2011,103888764
IT,2011,7040
IT,2011,29350664
IT,2011,74531060
IT,2011,790370
IT,2011,33460496
IT,2011,40280194
IT,2011,4952697
IT,2011,0
IT,2011,1014627
IT,2011,3938070
IT,2011,7589
IT,2011,2122254
IT,2011,1808227
IT,2011,77
IT,2011,0
IT,2011,1
IT,2011,76
IT,2011,0
IT,2011,44
IT,2011,32
IT,2011,154
IT,2011,0
IT,2011,14
IT,2011,140
IT,2011,2
IT,2011,60
IT,2011,78
IT,2011,9
IT,2011,0
IT,2011,1
IT,2011,8
IT,2011,0
IT,2011,8
IT,2011,0
IT,2011,240
IT,2011,0
IT,2011,16
IT,2011,224
IT,2011,2
IT,2011,112
IT,2011,110
IT,2011,35
IT,2011,0
IT,2011,4
IT,2011,31
IT,2011,0
IT,2011,12
IT,2011,19
IT,2011,173
IT,2011,0
IT,2011,89
IT,2011,84
IT,2011,4
IT,2011,46
IT,2011,34
IT,2011,35
IT,2011,0
IT,2011,12
IT,2011,23
IT,2011,1
IT,2011,21
IT,2011,1
IT,2011,114
IT,2011,0
IT,2011,24
IT,2011,90
IT,2011,4
IT,2011,69
IT,2011,17
IT,2011,12
IT,2011,0
IT,2011,3
IT,2011,9
IT,2011,0
IT,2011,8
IT,2011,1
IT,2011,4
IT,2011,0
IT,2011,1
IT,2011,3
IT,2011,0
IT,2011,1
IT,2011,2
IT,2011,17
IT,2011,0
IT,2011,5
IT,2011,12
IT,2011,1
IT,2011,2
IT,2011,9
IT,2011,501
IT,2011,3
IT,2011,183
IT,2011,315
IT,2011,12
IT,2011,197
IT,2011,106
IT,2011,111
IT,2011,3
IT,2011,45
IT,2011,63
IT,2011,2
IT,2011,38
IT,2011,23
IT,2011,597
IT,2011,4
IT,2011,43
IT,2011,550
IT,2011,13
IT,2011,429
IT,2011,108
IT,2011,837
IT,2011,9
IT,2011,277
IT,2011,551
IT,2011,15
IT,2011,464
IT,2011,72
IT,2011,457
IT,2011,4
IT,2011,139
IT,2011,314
IT,2011,10
IT,2011,234
IT,2011,70
IT,2011,380
IT,2011,5
IT,2011,138
IT,2011,237
IT,2011,5
IT,2011,230
IT,2011,2
IT,2011,649
IT,2011,11
IT,2011,252
IT,2011,386
IT,2011,12
IT,2011,373
IT,2011,1
IT,2011,438
IT,2011,3
IT,2011,164
IT,2011,271
IT,2011,4
IT,2011,260
IT,2011,7
IT,2011,85
IT,2011,0
IT,2011,60
IT,2011,25
IT,2011,0
IT,2011,25
IT,2011,0
IT,2011,357
IT,2011,5
IT,2011,77
IT,2011,275
IT,2011,10
IT,2011,265
IT,2011,0
IT,2011,16
IT,2011,0
IT,2011,6
IT,2011,10
IT,2011,1
IT,2011,9
IT,2011,0
IT,2011,393
IT,2011,7
IT,2011,321
IT,2011,65
IT,2011,2
IT,2011,61
IT,2011,2
IT,2011,146
IT,2011,0
IT,2011,55
IT,2011,91
IT,2011,2
IT,2011,89
IT,2011,0
IT,2011,329
IT,2011,2
IT,2011,164
IT,2011,163
IT,2011,7
IT,2011,148
IT,2011,8
IT,2011,3847
IT,2011,41
IT,2011,1419
IT,2011,2387
IT,2011,66
IT,2011,2123
IT,2011,198
IT,2011,597
IT,2011,4
IT,2011,43
IT,2011,550
IT,2011,13
IT,2011,429
IT,2011,108
IT,2011,35
IT,2011,0
IT,2011,4
IT,2011,31
IT,2011,0
IT,2011,12
IT,2011,19
IT,2011,77
IT,2011,0
IT,2011,1
IT,2011,76
IT,2011,0
IT,2011,44
IT,2011,32
IT,2011,154
IT,2011,0
IT,2011,14
IT,2011,140
IT,2011,2
IT,2011,60
IT,2011,78
IT,2011,837
IT,2011,9
IT,2011,277
IT,2011,551
IT,2011,15
IT,2011,464
IT,2011,72
IT,2011,457
IT,2011,4
IT,2011,139
IT,2011,314
IT,2011,10
IT,2011,234
IT,2011,70
IT,2011,173
IT,2011,0
IT,2011,89
IT,2011,84
IT,2011,4
IT,2011,46
IT,2011,34
IT,2011,35
IT,2011,0
IT,2011,12
IT,2011,23
IT,2011,1
IT,2011,21
IT,2011,1
IT,2011,380
IT,2011,5
IT,2011,138
IT,2011,237
IT,2011,5
IT,2011,230
IT,2011,2
IT,2011,649
IT,2011,11
IT,2011,252
IT,2011,386
IT,2011,12
IT,2011,373
IT,2011,1
IT,2011,114
IT,2011,0
IT,2011,24
IT,2011,90
IT,2011,4
IT,2011,69
IT,2011,17
IT,2011,438
IT,2011,3
IT,2011,164
IT,2011,271
IT,2011,4
IT,2011,260
IT,2011,7
IT,2011,85
IT,2011,0
IT,2011,60
IT,2011,25
IT,2011,0
IT,2011,25
IT,2011,0
IT,2011,12
IT,2011,0
IT,2011,3
IT,2011,9
IT,2011,0
IT,2011,8
IT,2011,1
IT,2011,4
IT,2011,0
IT,2011,1
IT,2011,3
IT,2011,0
IT,2011,1
IT,2011,2
IT,2011,357
IT,2011,5
IT,2011,77
IT,2011,275
IT,2011,10
IT,2011,265
IT,2011,0
IT,2011,16
IT,2011,0
IT,2011,6
IT,2011,10
IT,2011,1
IT,2011,9
IT,2011,0
IT,2011,9
IT,2011,0
IT,2011,1
IT,2011,8
IT,2011,0
IT,2011,8
IT,2011,0
IT,2011,17
IT,2011,0
IT,2011,5
IT,2011,12
IT,2011,1
IT,2011,2
IT,2011,9
IT,2011,393
IT,2011,7
IT,2011,321
IT,2011,65
IT,2011,2
IT,2011,61
IT,2011,2
IT,2011,146
IT,2011,0
IT,2011,55
IT,2011,91
IT,2011,2
IT,2011,89
IT,2011,0
IT,2011,329
IT,2011,2
IT,2011,164
IT,2011,163
IT,2011,7
IT,2011,148
IT,2011,8
IT,2011,4588
IT,2011,44
IT,2011,1618
IT,2011,2926
IT,2011,80
IT,2011,2432
IT,2011,414
IT,2011,111
IT,2011,3
IT,2011,45
IT,2011,63
IT,2011,2
IT,2011,38
IT,2011,23
IT,2015,4065879
IT,2015,0
IT,2015,250
IT,2015,4065629
IT,2015,2282
IT,2015,2207186
IT,2015,1856161
IT,2015,7486669
IT,2015,0
IT,2015,142297
IT,2015,7344372
IT,2015,0
IT,2015,1743932
IT,2015,5600440
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,11552548
IT,2015,0
IT,2015,142547
IT,2015,11410001
IT,2015,2282
IT,2015,3951118
IT,2015,7456601
IT,2015,6714865
IT,2015,0
IT,2015,96260
IT,2015,6618605
IT,2015,0
IT,2015,932606
IT,2015,5685999
IT,2015,18878418
IT,2015,0
IT,2015,6969812
IT,2015,11908606
IT,2015,5650
IT,2015,1625013
IT,2015,10277943
IT,2015,1650038
IT,2015,0
IT,2015,49636
IT,2015,1600402
IT,2015,0
IT,2015,1178208
IT,2015,422194
IT,2015,4191368
IT,2015,0
IT,2015,810555
IT,2015,3380813
IT,2015,0
IT,2015,1261958
IT,2015,2118855
IT,2015,202268
IT,2015,0
IT,2015,133323
IT,2015,68945
IT,2015,0
IT,2015,68945
IT,2015,0
IT,2015,432049
IT,2015,0
IT,2015,0
IT,2015,432049
IT,2015,0
IT,2015,0
IT,2015,432049
IT,2015,3484839
IT,2015,0
IT,2015,568169
IT,2015,2916670
IT,2015,0
IT,2015,31323
IT,2015,2885347
IT,2015,39416714
IT,2015,110989
IT,2015,9220314
IT,2015,30085411
IT,2015,5650
IT,2015,6053886
IT,2015,24025875
IT,2015,3862869
IT,2015,110989
IT,2015,592559
IT,2015,3159321
IT,2015,0
IT,2015,955833
IT,2015,2203488
IT,2015,8452221
IT,2015,0
IT,2015,1279969
IT,2015,7172252
IT,2015,347297
IT,2015,3758657
IT,2015,3066298
IT,2015,29660313
IT,2015,0
IT,2015,8171185
IT,2015,21489128
IT,2015,23924
IT,2015,10379587
IT,2015,11085617
IT,2015,24374699
IT,2015,0
IT,2015,5852716
IT,2015,18521983
IT,2015,23924
IT,2015,7631105
IT,2015,10866954
IT,2015,5285614
IT,2015,0
IT,2015,2318469
IT,2015,2967145
IT,2015,0
IT,2015,2748482
IT,2015,218663
IT,2015,2661151
IT,2015,1500
IT,2015,1133504
IT,2015,1526147
IT,2015,14048
IT,2015,1496292
IT,2015,15807
IT,2015,3473227
IT,2015,0
IT,2015,1554648
IT,2015,1918579
IT,2015,24873
IT,2015,1675852
IT,2015,217854
IT,2015,1327493
IT,2015,0
IT,2015,1242414
IT,2015,85079
IT,2015,0
IT,2015,85079
IT,2015,0
IT,2015,3407081
IT,2015,20
IT,2015,352143
IT,2015,3054918
IT,2015,9761
IT,2015,3045157
IT,2015,0
IT,2015,1322587
IT,2015,0
IT,2015,548956
IT,2015,773631
IT,2015,8000
IT,2015,491343
IT,2015,274288
IT,2015,1663005
IT,2015,0
IT,2015,1540982
IT,2015,122023
IT,2015,0
IT,2015,122023
IT,2015,0
IT,2015,1935683
IT,2015,3500
IT,2015,1326427
IT,2015,605756
IT,2015,10000
IT,2015,595756
IT,2015,0
IT,2015,5695242
IT,2015,0
IT,2015,3200773
IT,2015,2494469
IT,2015,2200
IT,2015,1486457
IT,2015,1005812
IT,2015,59598003
IT,2015,5020
IT,2015,20351001
IT,2015,39241982
IT,2015,440103
IT,2015,23136203
IT,2015,15665676
IT,2015,8452221
IT,2015,0
IT,2015,1279969
IT,2015,7172252
IT,2015,347297
IT,2015,3758657
IT,2015,3066298
IT,2015,6714865
IT,2015,0
IT,2015,96260
IT,2015,6618605
IT,2015,0
IT,2015,932606
IT,2015,5685999
IT,2015,4065879
IT,2015,0
IT,2015,250
IT,2015,4065629
IT,2015,2282
IT,2015,2207186
IT,2015,1856161
IT,2015,7486669
IT,2015,0
IT,2015,142297
IT,2015,7344372
IT,2015,0
IT,2015,1743932
IT,2015,5600440
IT,2015,29660313
IT,2015,0
IT,2015,8171185
IT,2015,21489128
IT,2015,23924
IT,2015,10379587
IT,2015,11085617
IT,2015,24374699
IT,2015,0
IT,2015,5852716
IT,2015,18521983
IT,2015,23924
IT,2015,7631105
IT,2015,10866954
IT,2015,18878418
IT,2015,0
IT,2015,6969812
IT,2015,11908606
IT,2015,5650
IT,2015,1625013
IT,2015,10277943
IT,2015,1650038
IT,2015,0
IT,2015,49636
IT,2015,1600402
IT,2015,0
IT,2015,1178208
IT,2015,422194
IT,2015,5285614
IT,2015,0
IT,2015,2318469
IT,2015,2967145
IT,2015,0
IT,2015,2748482
IT,2015,218663
IT,2015,2661151
IT,2015,1500
IT,2015,1133504
IT,2015,1526147
IT,2015,14048
IT,2015,1496292
IT,2015,15807
IT,2015,4191368
IT,2015,0
IT,2015,810555
IT,2015,3380813
IT,2015,0
IT,2015,1261958
IT,2015,2118855
IT,2015,3473227
IT,2015,0
IT,2015,1554648
IT,2015,1918579
IT,2015,24873
IT,2015,1675852
IT,2015,217854
IT,2015,1327493
IT,2015,0
IT,2015,1242414
IT,2015,85079
IT,2015,0
IT,2015,85079
IT,2015,0
IT,2015,202268
IT,2015,0
IT,2015,133323
IT,2015,68945
IT,2015,0
IT,2015,68945
IT,2015,0
IT,2015,432049
IT,2015,0
IT,2015,0
IT,2015,432049
IT,2015,0
IT,2015,0
IT,2015,432049
IT,2015,3407081
IT,2015,20
IT,2015,352143
IT,2015,3054918
IT,2015,9761
IT,2015,3045157
IT,2015,0
IT,2015,1322587
IT,2015,0
IT,2015,548956
IT,2015,773631
IT,2015,8000
IT,2015,491343
IT,2015,274288
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,3484839
IT,2015,0
IT,2015,568169
IT,2015,2916670
IT,2015,0
IT,2015,31323
IT,2015,2885347
IT,2015,1663005
IT,2015,0
IT,2015,1540982
IT,2015,122023
IT,2015,0
IT,2015,122023
IT,2015,0
IT,2015,1935683
IT,2015,3500
IT,2015,1326427
IT,2015,605756
IT,2015,10000
IT,2015,595756
IT,2015,0
IT,2015,5695242
IT,2015,0
IT,2015,3200773
IT,2015,2494469
IT,2015,2200
IT,2015,1486457
IT,2015,1005812
IT,2015,110567265
IT,2015,116009
IT,2015,29713862
IT,2015,80737394
IT,2015,448035
IT,2015,33141207
IT,2015,47148152
IT,2015,3862869
IT,2015,110989
IT,2015,592559
IT,2015,3159321
IT,2015,0
IT,2015,955833
IT,2015,2203488
IT,2015,81
IT,2015,0
IT,2015,1
IT,2015,80
IT,2015,1
IT,2015,42
IT,2015,37
IT,2015,201
IT,2015,4
IT,2015,17
IT,2015,180
IT,2015,0
IT,2015,97
IT,2015,83
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,0
IT,2015,282
IT,2015,4
IT,2015,18
IT,2015,260
IT,2015,1
IT,2015,139
IT,2015,120
IT,2015,38
IT,2015,0
IT,2015,6
IT,2015,32
IT,2015,0
IT,2015,14
IT,2015,18
IT,2015,193
IT,2015,1
IT,2015,81
IT,2015,111
IT,2015,2
IT,2015,63
IT,2015,46
IT,2015,31
IT,2015,0
IT,2015,7
IT,2015,24
IT,2015,0
IT,2015,20
IT,2015,4
IT,2015,130
IT,2015,1
IT,2015,26
IT,2015,103
IT,2015,1
IT,2015,83
IT,2015,19
IT,2015,19
IT,2015,0
IT,2015,12
IT,2015,7
IT,2015,0
IT,2015,7
IT,2015,0
IT,2015,1
IT,2015,0
IT,2015,0
IT,2015,1
IT,2015,0
IT,2015,0
IT,2015,1
IT,2015,16
IT,2015,0
IT,2015,8
IT,2015,8
IT,2015,0
IT,2015,1
IT,2015,7
IT,2015,536
IT,2015,4
IT,2015,177
IT,2015,355
IT,2015,3
IT,2015,232
IT,2015,120
IT,2015,108
IT,2015,2
IT,2015,37
IT,2015,69
IT,2015,0
IT,2015,44
IT,2015,25
IT,2015,613
IT,2015,0
IT,2015,50
IT,2015,563
IT,2015,8
IT,2015,446
IT,2015,109
IT,2015,1084
IT,2015,1
IT,2015,466
IT,2015,617
IT,2015,4
IT,2015,539
IT,2015,74
