area_code,year,museums_events
1001,2011,2.0
1001,2015,2.0
1001,2017,1.0
1001,2018,50098.0
1001,2018,1.0
1001,2019,48685.0
1001,2019,1.0
1001,2020,19462.0
1001,2020,1.0
1008,2011,1.0
1008,2015,1.0
1008,2017,1.0
1008,2018,2328.0
1008,2018,1.0
1008,2019,2020.0
1008,2019,1.0
1008,2020,271.0
1008,2020,1.0
1009,2015,1.0
1009,2017,1.0
1009,2018,150.0
1009,2018,1.0
1009,2019,1000.0
1009,2019,1.0
1009,2020,50.0
1009,2020,1.0
1010,2011,1.0
1010,2015,1.0
1010,2017,1.0
1010,2018,1624.0
1010,2018,1.0
1010,2019,1640.0
1010,2019,1.0
1010,2020,1247.0
1010,2020,1.0
1011,2011,5845.0
1011,2011,4.0
1011,2015,5070.0
1011,2015,4.0
1011,2017,7000.0
1011,2017,3.0
1011,2019,4500.0
1011,2019,3.0
1011,2020,0.0
1011,2020,2.0
1013,2011,1.0
1013,2019,1.0
1014,2018,200.0
1014,2018,1.0
1014,2019,60.0
1014,2019,1.0
1019,2011,1.0
1019,2015,1.0
1019,2017,1.0
1019,2018,408.0
1019,2018,1.0
1019,2019,319.0
1019,2019,1.0
1019,2020,166.0
1019,2020,1.0
1022,2011,2.0
1022,2015,6877.0
1022,2015,3.0
1022,2017,2.0
1022,2018,6424.0
1022,2018,3.0
1022,2019,6386.0
1022,2019,2.0
1022,2020,5300.0
1022,2020,1.0
1035,2011,1.0
1035,2015,1.0
1035,2017,1.0
1035,2018,200.0
1035,2018,1.0
1035,2019,100.0
1035,2019,1.0
1035,2020,0.0
1035,2020,1.0
1048,2018,0.0
1048,2018,1.0
1048,2019,1.0
1048,2020,400.0
1048,2020,1.0
1054,2015,1.0
1054,2017,1.0
1054,2018,50.0
1054,2018,1.0
1054,2019,50.0
1054,2019,1.0
1054,2020,0.0
1054,2020,1.0
1056,2011,1.0
1056,2015,1.0
1056,2017,1.0
1056,2018,72146.0
1056,2018,1.0
1056,2019,64639.0
1056,2019,1.0
1056,2020,13004.0
1056,2020,1.0
1058,2015,1.0
1058,2017,1.0
1058,2018,400.0
1058,2018,1.0
1058,2019,193.0
1058,2019,1.0
1058,2020,0.0
1058,2020,1.0
1059,2011,3061.0
1059,2011,3.0
1059,2015,2942.0
1059,2015,4.0
1059,2017,3183.0
1059,2017,4.0
1059,2018,3760.0
1059,2018,5.0
1059,2019,1300.0
1059,2019,5.0
1059,2020,674.0
1059,2020,3.0
1066,2018,1768.0
1066,2018,1.0
1066,2019,5000.0
1066,2019,1.0
1066,2020,637.0
1066,2020,1.0
1070,2011,1.0
1070,2015,1.0
1070,2017,1.0
1070,2018,8000.0
1070,2018,1.0
1070,2019,8942.0
1070,2019,1.0
1070,2020,500.0
1070,2020,1.0
1072,2011,1.0
1072,2015,1.0
1072,2018,250.0
1072,2018,1.0
1072,2019,150.0
1072,2019,1.0
1072,2020,0.0
1072,2020,1.0
1073,2011,1.0
1073,2015,1.0
1073,2017,1.0
1073,2018,0.0
1073,2018,1.0
1073,2019,2051.0
1073,2019,1.0
1073,2020,1024.0
1073,2020,1.0
1074,2011,1.0
1074,2015,1.0
1074,2017,1.0
1074,2018,300.0
1074,2018,1.0
1074,2019,30.0
1074,2019,1.0
1074,2020,100.0
1074,2020,1.0
1077,2011,1.0
1077,2015,1.0
1077,2017,1.0
1077,2018,185.0
1077,2018,1.0
1077,2019,300.0
1077,2019,1.0
1077,2020,0.0
1077,2020,1.0
1078,2011,6739.0
1078,2011,3.0
1078,2015,10550.0
1078,2015,4.0
1078,2017,16698.0
1078,2017,4.0
1078,2018,20772.0
1078,2018,6.0
1078,2019,45316.0
1078,2019,6.0
1078,2020,14071.0
1078,2020,5.0
1080,2011,1.0
1080,2015,1.0
1080,2017,1.0
1080,2018,110.0
1080,2018,1.0
1080,2019,70.0
1080,2019,1.0
1080,2020,200.0
1080,2020,1.0
1089,2015,1.0
1089,2019,1.0
1093,2011,1.0
1093,2015,1.0
1093,2017,1.0
1093,2018,400.0
1093,2018,1.0
1093,2019,350.0
1093,2019,1.0
1093,2020,35.0
1093,2020,1.0
1094,2011,1.0
1094,2015,1.0
1094,2017,1.0
1094,2018,200.0
1094,2018,1.0
1094,2019,200.0
1094,2019,1.0
1094,2020,0.0
1094,2020,1.0
1095,2018,500.0
1095,2018,1.0
1095,2019,400.0
1095,2019,1.0
1095,2020,0.0
1095,2020,1.0
1098,2011,1.0
1098,2015,1.0
1098,2017,1.0
1098,2018,2165.0
1098,2018,1.0
1098,2019,2241.0
1098,2019,1.0
1098,2020,120.0
1098,2020,1.0
1100,2011,1.0
1103,2011,54700.0
1103,2011,3.0
1103,2015,1.0
1103,2017,1.0
1103,2018,50000.0
1103,2018,1.0
1103,2019,50000.0
1103,2019,1.0
1103,2020,50000.0
1103,2020,1.0
1106,2018,200.0
1106,2018,1.0
1106,2019,50.0
1106,2019,1.0
1110,2011,2.0
1110,2015,2.0
1110,2017,2.0
1110,2018,5500.0
1110,2018,2.0
1110,2019,5000.0
1110,2019,1.0
1110,2020,1147.0
1110,2020,1.0
1113,2011,1.0
1113,2015,1.0
1113,2017,1.0
1113,2018,250.0
