area_code,year,car_ownership_density
IT108,2019,2840.268082953971
ITD41,2019,3056.887409747292
ITG28,2019,2764.0166476685313
ITD4,2019,2972.619091478466
ITG27,2019,2763.992269190743
ITD44,2019,2527.573673102478
ITG2,2019,2726.95273897939
ITC1,2019,3072.6083928224075
ITC,2019,2802.4709487441864
IT111,2019,2633.8075717386064
ITD42,2019,3116.4329856924855
ITF64,2019,2974.360374627966
ITF63,2019,2981.766078312031
ITG11,2019,3110.6872268350803
ITD54,2019,2848.0103553384274
ITD53,2019,2786.1247817113826
ITD34,2019,2899.106660895868
ITD33,2019,2890.884065643197
ITD57,2019,3018.5793323017665
ITG12,2019,2809.7132352941176
ITG16,2019,2984.020893594316
ITG15,2019,2913.2288931573476
ITG1,2019,3065.332093002855
ITG,2019,2975.9838865874
ITC15,2019,3009.376002368674
ITC14,2019,3045.2022658350975
ITG13,2019,3079.234172208713
ITF52,2019,2883.0960451977403
ITF51,2019,3119.3911251272625
ITF62,2019,2483.8140497812074
ITD58,2019,2869.1009451630216
ITD32,2019,2907.0141538093767
ITD31,2019,2922.1786226180125
ITD3,2019,2841.425839164457
ITE11,2019,2931.749957974112
ITD51,2019,2882.953061381271
ITD5,2019,2818.8464105732014
ITD55,2019,2618.0404027663917
ITF61,2019,3139.7947343791066
ITC18,2019,3192.0952023159707
ITC17,2019,3257.6413542298033
ITC16,2019,3125.3908692933082
ITF65,2019,2952.7052868849123
ITF42,2019,2707.4629449801646
ITF5,2019,3035.6032437976796
ITF45,2019,3064.928525304945
ITE12,2019,3130.2244836875184
ITD20,2019,5188.359788359789
ITD2,2019,5188.359788359789
ITD10,2019,3528.322935466909
ITE16,2019,2920.850248727772
ITD56,2019,3111.776848426358
ITDA,2019,4326.737821969138
ITD59,2019,2819.098327897173
ITF44,2019,3026.159235290625
ITC3,2019,2582.314121767916
ITC20,2019,7094.895353079704
ITC2,2019,7094.895353079704
ITF6,2019,2980.94878397711
ITF33,2019,2581.9377267875443
ITF32,2019,2994.2892271852197
ITF41,2019,2501.380946543307
ITE18,2019,3283.3715394110386
ITE17,2019,3008.624031007752
ITD1,2019,3528.322935466909
ITD,2019,2995.186733615163
ITE2,2019,3405.784001226365
ITE1,2019,3152.410056238926
ITE,2019,3017.647799432948
ITE13,2019,3087.5499548794637
ITF4,2019,2774.12067030851
ITF35,2019,2801.8285409278574
ITC32,2019,2893.841652264677
ITC31,2019,2753.4127467176763
ITF43,2019,2776.525311788397
ITF21,2019,3436.0842705528275
ITF2,2019,3164.9794438795807
ITF31,2019,2743.793512037041
ITE21,2019,3413.6134830830492
ITC4B,2019,2964.1235779371327
ITC4A,2019,2737.7151150736054
ITC49,2019,2689.165925729744
ITE33,2019,3146.1674814878347
ITE15,2019,2707.8951366498422
ITE14,2019,3392.074522882436
ITE19,2019,3255.0646145408427
ITF3,2019,2693.353002231761
ITC4,2019,2666.975328516663
ITC34,2019,2747.437853168038
ITC33,2019,2390.993421015351
ITF34,2019,2935.7002741923247
ITF1,2019,3090.238172784411
ITF14,2019,3188.860131957861
ITF13,2019,2852.747658770197
ITE34,2019,3175.6777454434064
ITC48,2019,2866.412616045729
ITC47,2019,2762.958920928329
ITC46,2019,2633.8927516906374
ITE43,2019,2765.1080360486962
ITE1A,2019,3160.9773625583903
ITE3,2019,3039.7874561599006
ITE22,2019,3381.787318163261
ITF12,2019,3132.413289521723
ITC43,2019,2813.461761335102
ITC42,2019,2929.1598742431297
ITC41,2019,3002.3361892363737
ITF22,2019,3060.0318861908263
ITE42,2019,3249.7309247461967
ITE41,2019,3362.990870888277
ITF,2019,2817.5253437918723
ITE45,2019,3385.4715986138317
ITE44,2019,2925.1164707986904
ITC45,2019,2370.258296153061
ITC44,2019,2701.115623395416
ITF11,2019,3174.8306679906923
ITE32,2019,2935.165315152781
ITE31,2019,2945.6732064565117
ITE4,2019,2873.7631716992764
ITD43,2019,2964.1799785275075
ITD37,2019,3158.2096602763454
ITD36,2019,2826.361827185634
ITD35,2019,2535.6284601407765
ITD52,2019,2803.842466468595
ITG18,2019,3093.826681269322
ITG17,2019,3354.3494829856004
ITG25,2019,2741.529237928633
ITG14,2019,3109.0953560832436
ITC13,2019,3448.450584031148
ITC12,2019,3204.967278189036
ITC11,2019,2992.9225914763647
ITG19,2019,3040.7837544145614
IT109,2019,3171.3600958657876
IT110,2019,2597.6571642559566
ITG26,2019,2743.3410864345738
IT110,2020,2647.1787498821536
IT109,2020,3182.7926216926403
ITD42,2020,3123.399517535721
ITG19,2020,3092.4076661781583
ITC11,2020,2926.9967488349153
ITC12,2020,3190.443083669813
ITC13,2020,3454.7496190145175
