area_code,year,public_transportation_usage
001272,2001,195.96093921
061022,2001,45.92865633
059011,2001,7.4188894962
004078,2001,46.751692411
042002,2001,136.61015587
078045,2001,117.27470965
041044,2001,19.902702823
109006,2001,26.946907006
040012,2001,36.792610008
080063,2001,40.052067688
008031,2001,32.642402481
007003,2001,47.080403546
039014,2001,39.811075963
079023,2001,40.137221269
110002,2001,7.1139644085
107009,2001,4.9205213659
081021,2001,35.621818182
084001,2001,24.175664376
082053,2001,51.269468665
037006,2001,241.28146795
010025,2001,254.47649112
106025,2001,0.0
107003,2001,1.2612583478
038008,2001,64.343755352
058091,2001,457.30291071
009056,2001,77.544187878
043023,2001,69.670496973
077014,2001,19.372141264
057059,2001,97.636746921
062008,2001,31.999232018
108033,2001,41.966108446
011015,2001,146.99018814
085004,2001,14.731832089
035033,2001,82.335926418
055032,2001,45.985226423
065116,2001,61.111369216
074001,2001,17.89541952
046017,2001,30.646259723
045010,2001,15.162079964
104025,2001,3.15129812
032006,2001,361.5679683
088009,2001,4.9911284855
016024,2001,204.51712922
015146,2001,629.81056369
031007,2001,18.594671911
087015,2001,136.3052433
033032,2001,82.485281533
034027,2001,149.18353469
064008,2001,84.307759979
012133,2001,69.69243315
106015,2001,0.0
105018,2001,12.361941433
014061,2001,5.0919766962
086009,2001,37.590445471
105010,2001,0.0
013075,2001,110.13447804
036023,2001,46.304096852
083048,2001,31.209480327
063049,2001,227.10080158
056059,2001,45.967404931
075035,2001,11.517483873
076063,2001,22.9251578
044007,2001,29.266118169
103072,2001,17.736528331
019036,2001,31.93200576
048017,2001,214.64040251
072006,2001,57.771108585
071024,2001,53.886458374
052032,2001,271.14967462
067041,2001,45.932977324
091051,2001,39.438439691
028060,2001,135.94413295
021008,2001,114.69907106
098031,2001,26.51648766
093033,2001,37.503955575
069022,2001,81.165319106
070006,2001,56.167562645
027042,2001,595.60962127
051002,2001,59.794588769
025006,2001,87.679279177
060038,2001,11.584815172
002158,2001,5.8224475765
110009,2001,13.131105591
IT,2001,206.61892549
006003,2001,36.841355333
050026,2001,71.331465652
049009,2001,66.795551581
097042,2001,73.615064594
096004,2001,16.740734349
003106,2001,76.532369993
110001,2001,3.6685131516
005005,2001,36.701821934
024116,2001,71.891795138
095038,2001,3.7110958648
023091,2001,110.81872719
026086,2001,68.600447581
089017,2001,13.343871488
092009,2001,209.05884946
090064,2001,70.126343329
029041,2001,17.669806644
018110,2001,104.80589843
101010,2001,10.019370784
102047,2001,2.9772658294
030129,2001,99.668471191
054039,2001,140.92162064
017029,2001,156.80636841
094023,2001,30.218612777
022205,2001,163.98866232
099014,2001,91.870534873
100005,2001,48.917484836
020030,2001,54.88754009
068028,2001,63.451228882
053011,2001,20.870581524
066049,2001,69.947420427
047014,2001,39.61781567
073027,2001,60.24164146
104017,2001,51.418380797
010025,2002,252.03211186
106025,2002,0.0
037006,2002,249.02438992
062008,2002,32.44935872
057059,2002,102.99067327
082053,2002,63.757080265
107003,2002,1.276930129
083048,2002,31.772578588
043023,2002,70.9505175
084001,2002,23.261497244
059011,2002,7.8098018539
016024,2002,225.89811693
015146,2002,644.65688617
088009,2002,4.8918807766
104025,2002,3.1457782226
087015,2002,130.16822876
033032,2002,82.960873578
031007,2002,21.314138472
032006,2002,375.87378906
089017,2002,15.303721255
014061,2002,5.7937427578
034027,2002,155.25019635
085004,2002,13.962205472
045010,2002,16.14352462
055032,2002,45.618133303
074001,2002,18.110205163
046017,2002,30.687882377
065116,2002,62.794348509
056059,2002,44.344402573
036023,2002,45.286490723
011015,2002,132.88425203
044007,2002,29.399166699
035033,2002,80.264664005
075035,2002,14.34215252
076063,2002,21.77605505
063049,2002,251.4055061
105018,2002,12.048192771
064008,2002,84.138098666
012133,2002,71.504283523
106015,2002,0.0
013075,2002,111.67879969
105010,2002,0.0
086009,2002,37.608552745
008031,2002,32.946006564
007003,2002,48.446658851
080063,2002,38.847236019
109006,2002,26.930460004
079023,2002,41.073418999
004078,2002,46.734213183
039014,2002,39.352167614
