area_code,year,urban_population_percentage
ITA,2001,67.27519882288
ITA,2002,67.3538786566538
ITA,2003,67.4299414611787
ITA,2004,67.5072499739908
ITA,2005,67.5897169318419
ITA,2006,67.6812550714834
ITA,2007,67.7857771296669
ITA,2008,67.9071958431441
ITA,2009,68.0494239486665
ITA,2010,68.2163741829857
ITA,2011,68.4015073889511
ITA,2012,68.7608794235259
ITA,2013,69.3073989916076
ITA,2014,69.5807638614879
ITA,2015,69.6100006103516
ITA,2016,69.5969232525286
ITA,2017,69.5180784259382
ITA,2018,69.4800033569336
ITA,2019,69.5050010681153
ITA,2020,69.5187492370606
ITA,2021,69.4812507629394
ITA,2022,69.4839779766539
ITA,2023,69.5381540123301
ITA,2024,69.6047535143071
