area_code,status,suggestion
IT108,NOT_IN_NUTS3_2024,
IT109,NOT_IN_NUTS3_2024,
IT110,NOT_IN_NUTS3_2024,
IT111,NOT_IN_NUTS3_2024,
ITC11,VALID_NUTS3_2024,
ITC12,VALID_NUTS3_2024,
ITC13,VALID_NUTS3_2024,
ITC14,VALID_NUTS3_2024,
ITC15,VALID_NUTS3_2024,
ITC16,VALID_NUTS3_2024,
ITC17,VALID_NUTS3_2024,
ITC18,VALID_NUTS3_2024,
ITC20,VALID_NUTS3_2024,
ITC31,VALID_NUTS3_2024,
ITC32,VALID_NUTS3_2024,
ITC33,VALID_NUTS3_2024,
ITC34,VALID_NUTS3_2024,
ITC41,VALID_NUTS3_2024,
ITC42,VALID_NUTS3_2024,
ITC43,VALID_NUTS3_2024,
ITC44,VALID_NUTS3_2024,
ITC45,NOT_IN_NUTS3_2024,
ITC46,VALID_NUTS3_2024,
ITC47,VALID_NUTS3_2024,
ITC48,VALID_NUTS3_2024,
ITC49,VALID_NUTS3_2024,
ITC4A,VALID_NUTS3_2024,
ITC4B,VALID_NUTS3_2024,
ITD31,NOT_IN_NUTS3_2024,ITH31
ITD32,NOT_IN_NUTS3_2024,ITH32
ITD33,NOT_IN_NUTS3_2024,ITH33
ITD34,NOT_IN_NUTS3_2024,ITH34
ITD35,NOT_IN_NUTS3_2024,ITH35
ITD36,NOT_IN_NUTS3_2024,ITH36
ITD37,NOT_IN_NUTS3_2024,ITH37
ITD41,NOT_IN_NUTS3_2024,ITH41
ITD42,NOT_IN_NUTS3_2024,ITH42
ITD43,NOT_IN_NUTS3_2024,ITH43
ITD44,NOT_IN_NUTS3_2024,ITH44
ITD51,NOT_IN_NUTS3_2024,ITH51
ITD52,NOT_IN_NUTS3_2024,ITH52
ITD53,NOT_IN_NUTS3_2024,ITH53
ITD54,NOT_IN_NUTS3_2024,ITH54
ITD55,NOT_IN_NUTS3_2024,ITH55
ITD56,NOT_IN_NUTS3_2024,ITH56
ITD57,NOT_IN_NUTS3_2024,ITH57
ITD58,NOT_IN_NUTS3_2024,ITH58
ITD59,NOT_IN_NUTS3_2024,ITH59
ITE11,NOT_IN_NUTS3_2024,ITI11
ITE12,NOT_IN_NUTS3_2024,ITI12
ITE13,NOT_IN_NUTS3_2024,ITI13
ITE14,NOT_IN_NUTS3_2024,ITI14
ITE15,NOT_IN_NUTS3_2024,ITI15
ITE16,NOT_IN_NUTS3_2024,ITI16
ITE17,NOT_IN_NUTS3_2024,ITI17
ITE18,NOT_IN_NUTS3_2024,ITI18
ITE19,NOT_IN_NUTS3_2024,ITI19
ITE1A,NOT_IN_NUTS3_2024,ITI1A
ITE21,NOT_IN_NUTS3_2024,ITI21
ITE22,NOT_IN_NUTS3_2024,ITI22
ITE31,NOT_IN_NUTS3_2024,ITI31
ITE32,NOT_IN_NUTS3_2024,ITI32
ITE33,NOT_IN_NUTS3_2024,ITI33
ITE34,NOT_IN_NUTS3_2024,ITI34
ITE41,NOT_IN_NUTS3_2024,ITI41
ITE42,NOT_IN_NUTS3_2024,ITI42
ITE43,NOT_IN_NUTS3_2024,ITI43
ITE44,NOT_IN_NUTS3_2024,ITI44
ITE45,NOT_IN_NUTS3_2024,ITI45
ITF11,VALID_NUTS3_2024,
ITF12,VALID_NUTS3_2024,
ITF13,VALID_NUTS3_2024,
ITF14,VALID_NUTS3_2024,
ITF21,VALID_NUTS3_2024,
ITF22,VALID_NUTS3_2024,
ITF31,VALID_NUTS3_2024,
ITF32,VALID_NUTS3_2024,
ITF33,VALID_NUTS3_2024,
ITF34,VALID_NUTS3_2024,
ITF35,VALID_NUTS3_2024,
ITF41,NOT_IN_NUTS3_2024,
ITF42,NOT_IN_NUTS3_2024,
ITF43,VALID_NUTS3_2024,
ITF44,VALID_NUTS3_2024,
ITF45,VALID_NUTS3_2024,
ITF51,VALID_NUTS3_2024,
ITF52,VALID_NUTS3_2024,
ITF61,VALID_NUTS3_2024,
ITF62,VALID_NUTS3_2024,
ITF63,VALID_NUTS3_2024,
ITF64,VALID_NUTS3_2024,
ITF65,VALID_NUTS3_2024,
ITG11,VALID_NUTS3_2024,
ITG12,VALID_NUTS3_2024,
ITG13,VALID_NUTS3_2024,
ITG14,VALID_NUTS3_2024,
ITG15,VALID_NUTS3_2024,
ITG16,VALID_NUTS3_2024,
ITG17,VALID_NUTS3_2024,
ITG18,VALID_NUTS3_2024,
ITG19,VALID_NUTS3_2024,
ITG25,NOT_IN_NUTS3_2024,
ITG26,NOT_IN_NUTS3_2024,
ITG27,NOT_IN_NUTS3_2024,
ITG28,NOT_IN_NUTS3_2024,
ITG29,NOT_IN_NUTS3_2024,
ITG2A,NOT_IN_NUTS3_2024,
ITG2B,NOT_IN_NUTS3_2024,
ITG2C,NOT_IN_NUTS3_2024,
ITTOT,NOT_IN_NUTS3_2024,
